player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jordyn Bailey,173127,WR,TCU,1,14.5,0,0.0,,0,0,0,,0,0,305,0,,62.5,51.4,,52.8,0.0,0,0,0,0.0,0,18,0,0,94.4,17,83.3,15,39.6,2,0,16.7,3,0,0,,,0.0
CJ Donaldson,157372,HB,W VIRGINIA,1,2.0,0,100.0,100.0,1,1,0,0.0,0,0,343,0,70.7,22.1,57.2,31.9,53.3,0.0,0,0,6,14.7,5,34,0,2,82.4,28,23.5,8,89.6,2,0,11.8,4,11,7,3.5,5.5,0.39
Aidan Laughery,158212,HB,ILLINOIS,1,-2.5,0,100.0,,0,0,0,0.0,0,0,187,0,70.7,75.5,67.0,72.7,65.5,0.0,0,0,2,30.0,3,10,0,2,70.0,7,0.0,0,79.2,2,0,0.0,0,2,7,3.5,1.0,0.29
Greg Desrosiers Jr.,158759,HB,MEMPHIS,1,0.0,2,100.0,,0,0,0,0.0,0,1,218,0,70.7,68.4,69.2,70.0,63.6,0.0,0,0,20,8.3,1,12,0,2,83.3,10,25.0,3,116.7,2,0,0.0,0,24,24,12.0,12.0,2.4
Al-Jay Henderson,145676,HB,BUFFALO,1,-2.0,0,100.0,,0,0,0,0.0,0,1,126,0,70.7,77.3,62.7,52.3,69.3,0.0,0,0,35,25.0,4,16,0,2,68.8,11,0.0,0,118.8,2,0,0.0,0,36,40,20.0,18.0,3.27
Dalevon Campbell,101711,WR,S CAROLINA,1,38.0,0,50.0,,0,0,0,0.0,0,1,289,0,66.7,61.0,59.4,,62.5,0.0,0,0,60,0.0,0,22,0,1,100.0,22,9.1,2,95.8,2,0,90.9,20,60,5,5.0,60.0,2.73
Benji Gosnell,157639,TE,VA TECH,1,7.5,0,50.0,,0,0,0,0.0,0,1,337,0,66.7,61.0,61.6,69.3,59.2,56.5,13,0,11,8.7,2,23,0,1,82.6,19,26.1,6,66.7,2,0,13.0,3,11,10,10.0,11.0,0.58
Mark Fletcher Jr.,175374,HB,MIAMI FL,1,-2.0,1,100.0,,0,0,0,0.0,0,0,220,1,66.7,25.4,62.6,85.3,28.6,0.0,0,0,7,35.3,6,17,0,1,64.7,11,0.0,0,95.8,1,0,0.0,0,7,9,9.0,7.0,0.64
Koby Drake,121761,WR,MEMPHIS,1,33.0,0,0.0,,0,0,0,,0,0,218,0,,69.7,51.2,,50.9,0.0,0,0,0,0.0,0,32,0,0,96.9,31,9.4,3,39.6,1,0,90.6,29,0,0,,,0.0
Dre'lon Miller,190790,WR,COLORADO,1,0.0,0,100.0,,0,0,0,0.0,0,0,143,0,66.7,61.0,56.5,,55.5,0.0,0,0,0,0.0,0,9,0,1,100.0,9,55.6,5,79.2,1,0,22.2,2,0,0,0.0,0.0,0.0
