player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Trey Sofia,147362,ED,ARMY,1,0,0,114,67.7,0,1,6,100.0,16.7,1,0,8.3,0,6,6,1,0,,0,0,0,,,0,,0,0,0,0
Kyle Lewis,147364,DI,ARMY,1,0,0,114,55.4,0,1,3,100.0,33.3,1,0,16.7,0,3,3,1,0,,0,0,0,,,0,,0,0,0,0
Carter Hooper,147404,ED,UCONN,1,0,0,146,55.9,0,0,10,100.0,0.0,0,0,0.0,0,11,11,0,0,57.6,0,0,2,100.0,0.0,0,0.0,0,3,3,0
Pryce Yates,147408,ED,UCONN,1,0,0,146,60.0,1,1,17,100.0,5.9,1,0,5.9,0,18,18,2,0,66.5,1,0,3,100.0,33.3,1,16.7,0,4,4,1
Collin McCarthy,147409,DI,UCONN,1,1,0,146,93.6,1,1,16,100.0,25.0,4,0,12.5,1,17,17,3,0,82.4,1,0,3,100.0,33.3,1,16.7,0,4,4,1
Dominic Schofield,147434,ED,UMASS,1,0,0,216,60.0,0,0,1,33.3,0.0,0,0,0.0,0,3,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Jordan Mahoney,147438,CB,UMASS,1,0,0,216,60.0,0,0,1,2.9,0.0,0,0,0.0,0,34,1,0,0,,0,0,0,0.0,,0,,0,17,0,0
Gabriel Rubio,147499,DI,NOTRE DAME,1,0,0,258,57.2,0,1,7,100.0,0.0,0,0,7.1,0,7,7,1,0,58.7,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Jailin Walker,148369,LB,JAMES MAD,1,0,0,197,67.3,0,1,3,9.1,33.3,1,0,16.7,0,33,3,1,0,69.2,0,1,2,11.8,50.0,1,25.0,0,17,2,1
Bryce Carter,151075,ED,VIRGINIA,1,0,0,335,56.7,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,57.4,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Michael Diatta,151079,DI,VIRGINIA,1,0,0,335,56.8,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,57.8,0,0,2,100.0,0.0,0,0.0,0,2,2,0
