player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Haaziq Daniels,125263,QB,AIR FORCE,1,44.4,9,11,16.8,3.13,0,1,9.1,36.4,4,0,5,0.0,11,0,2,101,73.0,55.9,49.9,60.6,1,1,11,0,0.0,79.9,0.0,0,0,0,1,2,1,9.1,121,11.0
Steven Krajewski,77650,QB,UCONN,1,45.5,11,11,2.5,2.07,0,0,0.0,45.5,5,0,4,0.0,13,0,1,146,67.8,38.6,38.8,54.9,0,0,13,0,0.0,52.5,0.0,0,1,0,0,0,0,0.0,30,2.7
Matt Myers,77698,QB,BUFFALO,1,72.7,11,11,11.1,2.65,0,2,16.7,63.6,7,0,7,12.5,13,1,4,126,25.3,61.1,57.8,62.6,0,0,14,0,14.3,114.2,7.7,1,1,0,0,1,2,14.3,76,6.9
Jack Tuttle,83580,QB,INDIANA,1,62.5,8,10,11.6,2.64,0,0,0.0,50.0,5,0,7,0.0,11,0,2,190,66.7,38.4,35.0,59.1,1,2,11,0,0.0,16.7,0.0,0,1,0,1,0,1,9.1,26,2.6
Joe Milton III,82151,QB,TENNESSEE,1,66.7,9,10,14.1,2.7,1,2,16.7,60.0,6,0,4,0.0,11,0,3,307,67.0,65.7,70.7,59.1,0,0,13,1,25.0,122.1,9.1,1,0,0,0,1,1,7.7,88,8.8
Paul Tyson,98363,QB,ALABAMA,1,87.5,8,8,5.1,2.86,0,0,0.0,75.0,6,0,1,14.3,8,1,2,103,64.9,80.7,80.3,,0,0,8,0,0.0,87.0,0.0,0,0,0,0,0,0,0.0,43,5.4
Ryan Hilinski,71295,QB,NWESTERN,1,42.9,7,8,9.9,2.5,0,0,0.0,37.5,3,0,3,0.0,9,0,2,256,65.1,43.9,43.2,,1,1,9,0,33.3,6.8,11.1,1,0,0,0,0,0,0.0,25,3.1
Hunter Helms,122149,QB,CLEMSON,1,42.9,7,8,10.6,2.01,1,0,0.0,37.5,3,0,1,0.0,8,0,2,140,66.2,44.4,45.1,57.3,0,0,8,0,0.0,55.2,0.0,0,0,0,0,0,1,12.5,42,5.3
Isaiah Chavez,128257,QB,NEW MEXICO,1,50.0,6,7,22.8,3.3,0,1,12.5,28.6,2,0,3,33.3,8,1,1,241,70.5,41.8,35.7,56.1,0,1,10,0,0.0,7.7,0.0,0,1,0,1,0,2,20.0,34,4.9
Spencer Rattler,97408,QB,OKLAHOMA,1,83.3,6,6,9.8,3.29,0,0,0.0,66.7,4,0,3,20.0,9,1,2,261,65.1,69.0,72.9,57.3,0,0,9,0,66.7,82.6,22.2,2,1,0,0,0,0,0.0,36,6.0
Max Johnson,124099,QB,LSU,1,66.7,6,6,12.3,2.96,0,0,0.0,50.0,3,0,2,25.0,8,1,1,211,65.1,72.6,76.5,57.3,0,0,9,0,50.0,58.3,12.5,1,1,0,0,0,0,0.0,21,3.5
Chandler Rogers,98683,QB,LA MONROE,1,80.0,5,6,6.2,2.82,0,0,0.0,66.7,4,0,8,0.0,12,0,2,209,22.6,54.7,45.7,65.7,1,0,12,0,62.5,81.9,41.7,5,1,0,0,0,1,8.3,35,5.8
Tucker Melton,130376,QB,BOWL GREEN,1,40.0,5,5,7.2,3.12,0,0,0.0,20.0,1,0,2,50.0,5,1,0,122,64.2,25.8,25.5,,0,1,6,0,0.0,0.0,0.0,0,0,0,0,0,2,33.3,2,0.4
Hudson Card,123109,QB,TEXAS,1,60.0,5,5,16.6,2.48,0,1,20.0,60.0,3,0,1,0.0,6,0,2,311,63.8,39.8,39.3,,0,1,6,0,100.0,95.4,16.7,1,0,0,0,1,1,16.7,52,10.4
Jalen Milroe,146590,QB,ALABAMA,1,75.0,4,5,3.0,3.16,1,0,0.0,40.0,2,0,3,33.3,8,1,2,103,67.2,69.9,44.9,78.1,0,0,8,0,33.3,49.6,12.5,1,2,0,0,0,0,0.0,17,3.4
Dylan Plautz,83559,QB,STANFORD,1,40.0,5,5,9.0,2.48,0,0,0.0,40.0,2,0,1,0.0,6,0,1,300,64.2,26.9,27.0,,0,1,6,0,100.0,17.5,16.7,1,0,0,0,0,2,33.3,26,5.2
Sam Huard,146463,QB,WASHINGTON,1,60.0,5,5,11.2,2.42,0,0,0.0,60.0,3,0,2,0.0,6,0,0,340,10.3,48.6,47.0,,0,0,6,0,50.0,68.8,16.7,1,0,0,0,0,1,16.7,20,4.0
Chance McDonald,145529,QB,W KENTUCKY,1,40.0,5,5,4.4,1.64,0,0,0.0,20.0,1,0,0,50.0,5,1,1,346,63.8,55.4,54.5,,0,1,5,0,,0.0,0.0,0,0,0,0,0,0,0.0,13,2.6
Antavious Willis,100883,WR,SO MISS,1,50.0,4,4,18.5,2.98,0,0,0.0,50.0,2,0,2,0.0,6,0,1,296,19.9,38.0,31.7,56.6,0,1,6,2,100.0,24.0,33.3,2,0,0,0,0,1,16.7,19,4.8
Billy Wiles,144144,QB,CLEMSON,1,50.0,4,4,10.5,2.1,0,0,0.0,50.0,2,0,0,0.0,4,0,2,140,65.2,59.5,61.8,58.2,0,0,4,0,,115.6,0.0,0,0,0,0,1,0,0.0,31,7.8
Evan Conley,97783,QB,LOUISVILLE,1,100.0,2,4,-4.0,2.63,1,0,0.0,50.0,2,0,1,0.0,4,0,0,210,63.3,59.3,57.9,,0,0,4,0,0.0,56.3,0.0,0,0,0,1,0,0,0.0,10,2.5
Preston Stone,124716,QB,SMU,1,50.0,4,4,6.0,1.75,0,0,0.0,50.0,2,0,1,0.0,4,0,1,287,63.3,61.2,60.7,,0,0,4,0,0.0,57.3,0.0,0,0,0,0,0,0,0.0,13,3.3
