player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jeremiah Jones-Thomas,205374,WR,S ALABAMA,4,1.0,0,50.0,,0,0,0,50.0,1,0,288,0,24.5,61.0,47.0,,48.7,0.0,0,0,-3,0.0,0,10,0,1,90.0,9,100.0,10,56.3,2,0,0.0,0,-3,0,0.0,-3.0,-0.33
AJ Johnson,168341,WR,UAB,5,15.0,1,50.0,100.0,1,1,0,0.0,0,1,321,0,66.7,61.0,59.6,,59.4,5.3,1,0,21,0.0,0,19,0,1,100.0,19,68.4,13,87.5,2,0,26.3,5,21,11,11.0,21.0,1.11
Jayden York,123162,TE,HOUSTON,2,24.0,0,0.0,0.0,0,1,0,,0,0,182,0,,,81.2,69.9,57.2,40.0,2,0,0,40.0,2,5,0,0,60.0,3,40.0,2,39.6,1,0,0.0,0,0,0,,,0.0
Vaughn Blue,174921,HB,LIBERTY,3,17.0,0,0.0,,0,0,0,,0,0,206,0,,70.5,62.3,75.9,54.1,0.0,0,0,0,25.0,3,12,0,0,75.0,9,25.0,3,39.6,1,0,8.3,1,0,0,,,0.0
Max White,144851,HB,WYOMING,2,3.0,0,100.0,,0,0,0,0.0,0,0,351,0,66.7,73.1,56.9,24.3,62.8,0.0,0,0,5,20.0,1,5,0,1,80.0,4,0.0,0,87.5,1,0,0.0,0,5,2,2.0,5.0,1.25
Noah Fox-Flores,204537,TE,UCLA,3,3.0,0,100.0,,0,0,0,0.0,0,1,324,0,66.7,61.0,67.7,,67.7,50.0,3,0,4,0.0,0,6,0,1,83.3,5,33.3,2,122.9,1,1,16.7,1,4,1,1.0,4.0,0.8
Jack Layne,158966,QB,NEW MEXICO,5,-8.0,0,100.0,,0,0,0,0.0,0,0,241,1,,63.8,83.2,,31.2,0.0,0,0,2,0.0,0,197,0,1,1.0,2,0.0,0,79.2,1,0,0.0,0,2,10,10.0,2.0,1.0
Josh McCray,144799,HB,GEORGIA,5,1.0,0,0.0,0.0,0,1,0,,0,0,173,0,,77.3,65.8,74.7,54.3,0.0,0,0,0,12.5,2,16,0,0,81.3,13,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
J'Marion Burnette,190802,HB,HOUSTON,2,0.0,1,100.0,,0,0,0,0.0,0,1,182,0,66.7,74.0,70.0,79.5,79.2,10.0,1,0,39,40.0,4,10,0,1,60.0,6,0.0,0,158.3,1,1,0.0,0,39,39,39.0,39.0,6.5
Quincy Brown,144698,WR,FAU,4,8.0,1,100.0,100.0,1,1,0,0.0,0,1,165,0,66.7,61.0,48.9,,54.4,0.0,0,0,10,0.0,0,37,0,1,94.6,35,8.1,3,108.3,1,0,91.9,34,10,2,2.0,10.0,0.29
