player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Dylan Lonergan,172386,QB,BOSTON COL,7,1,0,121,-6.0,0,100.0,,0,0,0.0,0,0,0,,,0,-1,0.0,0,65,1,0.0,0,79.2,1,,0,-1,5,5.0,-1.0,,0,,0,,,0,0,,0,0,2,,,0,0,0.0,0,132,0,0.0,0,0.0,0,,0,0,0,,,
Semaj Fleming,207827,WR,BOSTON COL,2,1,0,121,15.0,0,0.0,,0,0,,0,0,0,,57.5,0,0,0.0,0,2,0,100.0,2,39.6,1,50.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,54.9,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0
Kory Hall,191056,WR,COLO STATE,1,1,0,144,,0,,,0,0,,0,0,0,,59.3,0,0,0.0,0,1,0,0.0,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,57.9,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
AJ Bianco,158232,QB,NEVADA,4,1,0,239,,0,,,0,0,,0,0,0,,,0,0,0.0,0,8,0,0.0,0,0.0,0,,0,0,0,,,,0,9.0,0,0.0,,0,0,,0,0,0,,54.3,0,0,0.0,0,18,0,5.6,1,39.6,1,100.0,0,0,0,,,0.0
Kevin Jennings,158272,QB,SMU,9,1,0,287,,0,,,0,0,,0,0,1,,,0,0,0.0,0,77,0,0.0,0,0.0,0,,0,0,0,,,,0,4.0,0,0.0,,0,0,,0,0,2,,54.3,0,0,0.0,0,260,0,0.4,1,39.6,1,100.0,0,0,0,,,0.0
Bear Bachmeier,203434,QB,BYU,8,1,0,128,,0,,,0,0,,0,0,0,,51.6,0,0,0.0,0,65,0,3.1,2,0.0,0,0.0,0,0,0,,,0.0,0,-3.0,1,100.0,,0,0,0.0,0,0,2,,49.3,0,3,0.0,0,150,1,2.0,3,79.2,1,33.3,0,3,6,6.0,3.0,1.0
Clark Sanderson,189371,WR,CLEMSON,1,1,0,140,,0,,,0,0,,0,0,0,,58.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,31.0,0,100.0,100.0,1,1,0.0,0,1,0,66.7,86.7,0,31,0.0,0,1,1,100.0,1,118.8,1,100.0,0,31,0,0.0,31.0,31.0
Isaiah Augustave,172398,TE,S CAROLINA,3,1,0,289,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,5.0,1,100.0,,0,0,0.0,0,0,1,66.7,27.6,0,11,0.0,0,5,1,100.0,5,112.5,1,20.0,0,11,6,6.0,11.0,2.2
Jon Monteiro,191099,WR,LIBERTY,4,1,0,206,35.0,0,100.0,100.0,1,1,0.0,0,1,0,66.7,80.7,0,40,0.0,0,3,1,100.0,3,118.8,1,33.3,0,40,5,5.0,40.0,13.33,0,,0,,,0,0,,0,0,0,,54.5,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0
Ka'Morreun Pimpton,172490,TE,TCU,1,1,0,305,11.0,0,100.0,100.0,1,1,0.0,0,1,0,66.7,73.7,0,3,0.0,0,1,1,100.0,1,118.8,1,100.0,1,3,0,0.0,3.0,3.0,0,,0,,,0,0,,0,0,0,,59.2,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0
Johnathan Arceneaux,146053,HB,FRESNO ST,4,1,0,169,,0,,,0,0,,0,0,0,,57.1,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,16.0,0,0.0,0.0,0,1,,0,0,0,,52.8,0,0,0.0,0,16,0,100.0,16,39.6,1,6.3,0,0,0,,,0.0
Noah Kim,129623,QB,E MICHIGAN,9,1,0,160,,0,,,0,0,,0,0,0,,,0,0,0.0,0,83,0,0.0,0,0.0,0,,0,0,0,,,,0,19.0,0,0.0,0.0,0,1,,0,0,0,,60.0,0,0,0.0,0,213,0,0.5,1,39.6,1,100.0,0,0,0,,,0.0
Daylon Gordon,143915,HB,GA TECH,2,1,0,176,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,-6.0,0,100.0,,0,0,0.0,0,0,0,66.7,58.7,0,4,0.0,0,7,1,100.0,7,83.3,1,14.3,0,4,10,10.0,4.0,0.57
