player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Turon Ivy Jr.,83983,TE,COAST CAR,1,0,141,73.3,100.0,6,100.0,6,73.3,0,100.0,6,6,,,0,0.0,0
Chase Lane,99205,WR,TEXAS A&M,1,0,312,60.0,100.0,2,33.3,2,40.1,0,100.0,6,6,60.1,100.0,3,50.0,3
Kearis Jackson,84188,WR,GEORGIA,1,0,173,60.0,100.0,1,16.7,1,81.8,0,100.0,6,6,60.0,100.0,3,50.0,3
Spencer Witter,99632,TE,BOSTON COL,1,0,121,56.8,100.0,5,83.3,5,57.0,0,100.0,6,6,60.0,100.0,1,16.7,1
Mac Dalena,128174,WR,FRESNO ST,1,0,169,59.8,100.0,4,66.7,4,60.2,0,100.0,6,6,60.0,100.0,2,33.3,2
Wesley Grimes,157534,WR,WAKE,1,0,339,60.0,100.0,3,50.0,3,59.5,0,100.0,6,6,59.2,100.0,3,50.0,3
Christian Forbes,123384,T,WAKE,1,0,339,59.1,100.0,3,50.0,3,58.4,0,100.0,6,6,59.3,100.0,3,50.0,3
Jacob Isaia,81727,G,FRESNO ST,1,0,169,65.8,100.0,3,50.0,3,59.5,0,100.0,6,6,54.5,100.0,3,50.0,3
Rylan Green,155885,TE,LA MONROE,1,0,209,57.4,100.0,4,66.7,4,55.3,0,100.0,6,6,60.0,100.0,1,16.7,1
Jordan Daniels,100260,T,AKRON,1,0,102,60.0,100.0,1,16.7,1,57.7,0,100.0,6,6,57.5,100.0,5,83.3,5
D.J. Stuckey,91386,G,UNLV,1,0,325,64.0,100.0,4,66.7,4,60.7,0,100.0,6,6,57.8,100.0,2,33.3,2
