player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kadin Semonza,174001,QB,BALL ST,1,2.13,2.0,2.6,4.6,41,117,76.0,25,28,5.3,1.77,3,0,0.0,60.7,17,4,10.5,30,73.2,2,6,,,,,68.2,63.9,73.7,63.5,,,,0,2,30,50.0,39.3,6.7,2,0,0,0,0,1,3.3,110,3.9,85.7,7,7,13.0,3.14,0,0,0.0,71.4,5,6,16.7,11,26.8,1,4,,,,,20.6,56.9,71.2,58.5,,57.8,,0,1,14,50.0,96.1,27.3,3,1,0,0,1,1,7.1,58,8.3
Carson Conklin,170765,QB,SACRAMENTO,1,2.87,2.82,2.3,5.9,41,279,61.5,13,16,7.2,1.99,2,1,6.3,43.8,7,12,12.5,18,43.9,1,4,,,,,23.3,28.8,72.0,28.9,,,,0,2,18,16.7,16.7,11.1,2,0,0,1,0,4,22.2,68,4.3,64.7,17,22,10.6,3.56,0,0,0.0,50.0,11,12,0.0,23,56.1,0,4,,,,,67.7,53.3,73.1,54.7,,57.3,,0,0,25,0.0,81.8,0.0,0,1,0,5,1,0,0.0,121,5.5
Collin Hurst,177732,QB,PRESBYTERN,1,2.48,2.37,3.33,3.8,41,271,88.0,25,27,5.9,1.9,1,2,6.7,70.4,19,1,13.6,27,65.9,3,14,,,,,68.2,74.2,73.7,73.5,,,,1,1,30,0.0,105.8,0.0,0,0,0,0,2,1,3.3,232,8.6,60.0,10,10,18.7,3.6,0,1,10.0,60.0,6,7,0.0,14,34.1,0,4,,,,,20.6,58.3,71.2,60.5,,57.3,,0,0,14,42.9,137.5,21.4,3,1,0,0,1,1,7.1,126,12.6
Shedeur Sanders,131396,QB,COLORADO,1,3.0,2.82,3.75,4.6,40,143,100.0,19,19,3.2,1.87,0,1,5.3,100.0,19,4,0.0,20,50.0,0,10,,,,,67.1,78.8,72.4,78.1,,,,0,0,20,25.0,139.9,5.0,1,0,0,0,2,0,0.0,174,9.2,60.0,15,16,15.7,4.13,0,1,5.9,56.3,9,10,0.0,20,50.0,0,5,,,,,67.4,61.4,72.7,59.0,,63.2,,0,1,22,10.0,74.0,5.0,1,3,0,1,1,1,4.5,116,7.3
Jake Garcia,143941,QB,E CAROLINA,1,2.71,2.57,3.67,3.85,40,156,57.1,14,15,5.6,1.79,1,0,0.0,46.7,7,5,12.5,15,37.5,1,1,,,,,66.5,29.2,71.6,29.3,,,,0,1,16,0.0,28.5,0.0,0,0,0,0,0,3,18.8,55,3.7,58.8,17,20,21.5,3.26,1,3,14.3,50.0,10,14,0.0,25,62.5,0,10,,,,,26.0,67.8,73.4,66.9,,62.0,,0,1,27,21.4,106.0,12.0,3,2,0,2,2,3,11.1,239,12.0
Evan Bullock,170452,QB,LA TECH,1,2.53,2.35,4.85,4.5,40,208,72.7,22,23,4.5,1.8,1,0,0.0,69.6,16,3,0.0,23,57.5,0,6,,,,,67.5,57.4,72.8,57.2,,,,0,0,23,0.0,83.4,0.0,0,0,0,0,0,1,4.3,129,5.6,71.4,14,14,7.4,3.51,0,0,0.0,71.4,10,12,0.0,17,42.5,0,4,,,,,66.7,61.3,71.8,63.3,,57.3,,0,0,17,16.7,86.0,11.8,2,1,0,0,0,1,5.9,82,5.9
Austin Smith,145763,QB,AUSTINPEAY,1,3.01,2.62,3.68,4.94,40,116,86.7,15,16,2.7,1.98,0,0,0.0,68.8,11,5,15.4,17,42.5,2,3,,,,,66.8,61.9,72.0,61.6,,,,1,0,18,20.0,94.8,5.9,1,0,0,0,1,0,0.0,56,3.5,53.3,15,15,8.3,3.78,0,0,0.0,53.3,8,17,0.0,23,57.5,0,5,,,,,67.6,29.3,73.0,26.7,,66.9,,0,2,24,17.6,25.8,13.0,3,5,0,0,0,3,12.5,68,4.5
Myles Burkett,158691,QB,ALBANY,1,2.8,2.7,3.83,3.75,39,106,81.3,16,16,8.6,1.86,0,0,0.0,75.0,12,1,7.7,16,41.0,1,7,,,,,66.5,69.9,71.6,69.4,,,,0,1,16,0.0,64.1,0.0,0,0,0,0,0,1,6.3,98,6.1,50.0,16,16,17.9,3.61,0,1,6.3,43.8,7,11,12.5,22,56.4,1,6,,,,,17.3,35.3,72.7,35.9,,56.3,,0,1,22,36.4,79.2,18.2,4,2,0,0,2,2,9.1,104,6.5
Nicholas Vattiato,145302,QB,MIDDLE TN,1,2.89,2.57,3.48,5.13,39,224,88.9,18,19,8.2,2.02,1,0,0.0,78.9,15,3,6.3,21,53.8,1,6,,,,,25.2,69.1,72.8,68.6,,,,0,0,23,66.7,97.8,9.5,2,0,0,0,0,1,4.3,142,7.5,60.0,10,12,16.5,3.89,0,1,8.3,50.0,6,10,0.0,18,46.2,0,2,,,,,66.8,64.5,72.0,65.3,,59.2,,0,0,18,30.0,89.2,16.7,3,3,0,2,0,0,0.0,131,10.9
Kurtis Rourke,97998,QB,INDIANA,1,2.52,2.39,2.97,5.1,39,190,71.4,21,21,10.0,2.02,0,1,4.8,71.4,15,0,0.0,21,53.8,0,11,,,,,67.2,82.6,72.5,81.8,,,,0,1,21,,124.8,0.0,0,0,0,0,3,1,4.8,219,10.4,63.6,11,12,17.5,3.28,1,0,0.0,58.3,7,5,0.0,17,43.6,0,7,,,,,22.4,43.2,71.8,52.2,,43.9,,0,1,17,60.0,64.6,17.6,3,2,0,0,0,2,11.8,140,11.7
