player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kaden Anderson,127312,QB,WYOMING,1,2.51,2.44,3.3,,27,351,66.7,12,13,5.8,1.94,1,0,0.0,46.2,6,2,25.0,13,48.1,2,4,,,,,66.0,56.6,71.0,56.4,,,0,0,13,0.0,62.7,0.0,0,0,0,0,0,0,0.0,69,5.3,58.3,12,12,12.8,3.04,0,2,12.5,41.7,5,3,28.6,14,51.9,2,4,,,,,67.0,61.0,72.2,57.4,,64.9,0,0,19,66.7,113.5,14.3,2,0,0,0,2,2,10.5,107,8.9
Jayden Maiava,158135,QB,USC,1,2.81,2.51,,10.6,27,326,92.3,13,13,3.2,1.91,0,0,0.0,92.3,12,0,0.0,13,48.1,0,5,,,,,66.0,66.7,71.0,66.4,,,0,0,13,,130.1,0.0,0,0,0,0,1,0,0.0,118,9.1,80.0,10,13,12.1,3.64,2,1,7.1,61.5,8,4,0.0,14,51.9,0,8,,,,,66.4,89.9,71.4,87.7,,63.1,0,0,15,0.0,130.1,0.0,0,1,0,1,2,0,0.0,116,8.9
Reggie Graff,165710,QB,UTAHTC,1,2.33,2.15,3.85,3.5,27,1285,65.0,20,21,4.0,1.95,0,0,0.0,52.4,11,9,15.4,21,77.8,2,5,,,,,67.5,67.8,72.8,67.4,,,1,1,23,0.0,61.6,0.0,0,0,0,0,1,0,0.0,100,4.8,50.0,2,3,10.0,3.67,0,0,0.0,33.3,1,3,0.0,6,22.2,0,1,,,,,8.1,45.8,0.0,51.4,,64.3,1,0,6,66.7,43.8,33.3,2,1,0,0,0,0,0.0,10,3.3
Aidan Chiles,173727,QB,MICH STATE,1,3.52,3.24,3.5,5.0,27,223,70.0,10,10,3.4,1.91,0,0,0.0,70.0,7,2,0.0,10,37.0,0,4,,,,,65.6,64.6,70.4,64.3,,,0,0,11,0.0,116.2,0.0,0,0,0,0,1,0,0.0,54,5.4,62.5,8,11,18.6,4.47,0,2,14.3,45.5,5,10,0.0,17,63.0,0,3,,,,,67.0,63.3,72.4,66.2,,56.5,0,0,20,20.0,131.6,11.8,2,4,0,3,2,0,0.0,158,14.4
Keali'i Ah Yat,178141,QB,MONTANA,1,2.67,2.67,,,27,232,90.0,10,10,4.2,1.88,0,0,0.0,90.0,9,0,0.0,10,37.0,0,6,,,,,65.4,76.2,70.1,75.7,,,0,0,10,,152.1,0.0,0,0,0,0,1,0,0.0,148,14.8,82.4,17,17,11.8,3.14,0,0,0.0,76.5,13,5,7.1,17,63.0,1,10,,,,,66.7,82.6,71.8,81.8,,,0,0,17,0.0,125.9,0.0,0,0,0,0,1,0,0.0,165,9.7
Demond Williams Jr.,183648,QB,WASHINGTON,1,3.34,2.8,3.5,5.3,27,340,100.0,10,10,4.1,1.71,0,1,10.0,100.0,10,2,0.0,10,37.0,0,7,,,,,65.4,85.9,70.1,85.2,,,0,0,10,0.0,158.3,0.0,0,0,0,0,3,0,0.0,175,17.5,75.0,8,9,20.0,4.3,0,0,0.0,66.7,6,11,0.0,17,63.0,0,7,,,,,66.7,77.1,71.8,74.6,,66.3,0,0,17,27.3,146.8,17.6,3,5,0,1,1,0,0.0,123,13.7
Kobe Muasau,185530,QB,MORGAN ST,1,2.53,2.38,2.97,3.6,27,235,84.6,13,13,7.5,1.87,0,2,15.4,76.9,10,2,9.1,14,51.9,1,4,,,,,66.2,85.4,71.2,84.6,,,0,0,14,50.0,129.3,7.1,1,0,0,0,1,0,0.0,117,9.0,66.7,9,9,10.7,3.25,0,0,0.0,55.6,5,6,16.7,13,48.1,1,3,,,,,20.3,33.5,71.0,30.0,,60.5,0,1,13,33.3,26.9,15.4,2,2,0,0,0,2,15.4,39,4.3
Jalon Daniels,122555,QB,KANSAS,1,2.86,2.68,,5.05,26,198,73.3,15,15,6.7,1.79,0,0,0.0,66.7,10,3,9.1,15,57.7,1,4,,,,,66.4,55.4,71.4,55.2,,,0,0,15,0.0,105.4,0.0,0,0,0,0,1,1,6.7,92,6.1,50.0,8,9,15.5,4.32,0,0,0.0,22.2,2,6,50.0,11,42.3,2,4,,,,,65.6,61.1,70.4,51.9,,70.3,0,0,11,0.0,88.0,0.0,0,2,0,1,2,0,0.0,46,5.1
DJ Williams,138061,QB,S ILLINOIS,1,2.73,2.72,2.9,,26,295,84.6,13,13,11.2,1.95,0,1,7.1,84.6,11,1,0.0,13,50.0,0,9,,,,,66.2,72.4,71.2,71.9,,,0,0,14,0.0,158.3,0.0,0,0,0,0,3,0,0.0,229,17.6,58.3,12,12,12.3,3.52,0,2,16.7,58.3,7,3,0.0,13,50.0,0,4,,,,,66.8,89.3,71.2,71.4,,73.9,0,0,13,33.3,117.7,7.7,1,0,0,0,1,0,0.0,113,9.4
Bear Bachmeier,203434,QB,BYU,1,2.24,2.06,6.7,,26,128,78.9,19,19,6.4,1.77,0,0,0.0,73.7,14,1,6.7,19,73.1,1,6,,,,,67.1,69.1,72.4,68.7,,,0,0,20,0.0,99.5,0.0,0,0,0,0,0,0,0.0,164,8.6,66.7,6,6,25.7,3.5,0,1,14.3,66.7,4,2,0.0,7,26.9,0,4,,,,,64.9,93.2,69.5,92.9,,,0,0,8,50.0,149.3,14.3,1,0,0,0,1,0,0.0,82,13.7
