player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Connor Watkins,108971,QB,VILLANOVA,1,2.49,2.55,,3.2,32,334,60.0,15,16,9.6,1.91,1,0,0.0,50.0,8,2,11.1,16,50.0,1,4,,66.5,41.9,71.6,42.1,,,0,1,16,0.0,42.4,0.0,0,0,0,0,0,1,6.3,95,5.9,45.5,11,14,16.1,3.29,0,0,0.0,35.7,5,8,0.0,15,46.9,0,6,,66.4,66.0,71.4,63.4,,63.1,1,0,15,0.0,87.8,0.0,0,1,0,2,1,0,0.0,108,7.7
Grant Sergent,108937,QB,SAN DIEGO,1,2.72,2.41,3.2,4.4,32,283,76.9,13,13,5.8,2.01,0,0,0.0,76.9,10,2,0.0,15,46.9,0,3,,66.4,59.7,71.4,59.5,,,0,0,15,100.0,85.7,13.3,2,0,0,0,0,0,0.0,61,4.7,81.8,11,11,12.9,3.34,0,0,0.0,72.7,8,5,11.1,17,53.1,1,7,,66.7,90.0,71.8,87.9,,67.5,0,0,17,60.0,148.9,17.6,3,3,0,0,2,0,0.0,123,11.2
LaNorris Sellers,174326,QB,S CAROLINA,1,3.23,2.97,2.9,7.1,31,289,90.0,10,10,0.2,2.07,0,0,0.0,90.0,9,1,0.0,11,35.5,0,5,,65.8,59.4,70.7,59.2,,,0,0,12,100.0,132.1,9.1,1,0,0,0,1,0,0.0,77,7.7,87.5,16,17,15.0,3.87,0,2,11.8,82.4,14,9,0.0,20,64.5,0,10,,67.1,88.7,72.4,88.9,,61.8,0,1,20,11.1,133.5,5.0,1,2,0,1,2,1,5.0,230,13.5
Carson Haggard,158414,QB,ABILENE CH,1,2.59,2.47,6.4,,31,100,58.8,17,17,8.9,1.95,0,2,11.8,41.2,7,4,30.0,17,54.8,3,5,,66.7,76.4,71.8,75.8,,,0,0,17,0.0,88.1,0.0,0,0,0,0,1,0,0.0,131,7.7,41.7,12,13,14.8,3.37,0,0,0.0,38.5,5,5,0.0,14,45.2,0,4,,66.4,50.9,71.4,50.9,,,0,2,15,20.0,39.7,7.1,1,0,0,1,1,2,13.3,61,4.7
Deshawn Purdie,184271,QB,CHARLOTTE,1,2.6,2.56,3.6,,31,136,86.7,15,16,9.9,1.7,1,3,17.6,81.3,13,1,0.0,16,51.6,0,7,,66.7,88.9,71.8,88.0,,,0,0,17,0.0,158.3,0.0,0,0,0,0,2,1,5.9,239,14.9,21.4,14,14,28.3,3.55,0,2,14.3,21.4,3,7,0.0,15,48.4,0,3,,66.4,43.5,71.4,43.8,,,0,1,15,14.3,69.3,6.7,1,0,0,0,1,1,6.7,162,11.6
Luke Altmyer,146802,QB,ILLINOIS,1,3.06,2.98,3.0,3.6,31,187,38.5,13,13,11.5,2.11,0,0,0.0,38.5,5,4,0.0,13,41.9,0,4,,66.4,54.3,71.4,54.2,,,0,0,15,0.0,56.6,0.0,0,0,0,0,0,0,0.0,70,5.4,58.3,12,13,17.9,3.74,0,0,0.0,53.8,7,10,0.0,18,58.1,0,8,,67.7,70.2,73.1,69.2,,62.9,0,0,25,10.0,138.6,5.6,1,4,0,1,2,0,0.0,179,13.8
Jameson Wang,148782,QB,CORNELL,1,3.52,3.24,4.53,4.9,31,147,57.1,7,7,8.3,2.1,0,0,0.0,57.1,4,0,0.0,7,22.6,0,1,,64.6,38.7,69.1,38.9,,,0,1,7,,24.4,0.0,0,0,0,0,0,1,14.3,24,3.4,66.7,18,18,14.5,3.94,0,1,5.3,55.6,10,8,16.7,24,77.4,2,7,,67.7,77.3,73.1,79.0,,58.3,0,1,25,37.5,55.3,12.5,3,3,0,0,0,1,4.0,130,7.2
Amari Odom,178686,QB,WOFFORD,1,2.54,2.4,3.77,,31,350,68.4,19,19,4.7,1.82,0,0,0.0,57.9,11,5,15.4,19,61.3,2,5,,67.2,55.8,72.5,55.6,,,0,0,21,0.0,100.3,0.0,0,0,0,0,1,2,9.5,148,7.8,55.6,9,9,17.7,3.67,0,0,0.0,44.4,4,11,20.0,12,38.7,1,4,,20.0,60.4,71.0,60.2,,,0,0,13,27.3,70.1,25.0,3,0,0,0,0,1,7.7,67,7.4
Maddux Madsen,163379,QB,BOISE ST,1,3.2,3.08,2.4,4.7,31,120,50.0,4,4,9.5,1.98,0,0,0.0,50.0,2,1,0.0,5,16.1,0,0,,63.8,59.8,68.1,59.6,,,0,0,5,100.0,57.3,20.0,1,0,0,0,0,0,0.0,13,3.3,61.9,21,22,11.1,3.43,0,0,0.0,54.5,12,6,7.7,26,83.9,1,9,,67.9,63.5,73.4,64.8,,57.1,0,0,27,16.7,76.7,3.8,1,3,0,1,0,1,3.7,154,7.0
Hunter Watson,183993,QB,SM HOUSTON,1,2.75,2.46,3.25,4.33,31,281,55.6,18,18,10.3,1.98,0,1,5.6,55.6,10,2,0.0,19,61.3,0,5,,66.8,70.8,72.2,70.2,,,0,0,19,50.0,65.0,5.3,1,0,0,0,0,1,5.3,72,4.0,50.0,6,7,12.7,3.98,0,0,0.0,42.9,3,3,0.0,12,38.7,0,3,,66.0,57.3,71.0,48.1,,65.4,0,0,13,33.3,50.3,8.3,1,4,0,1,0,0,0.0,12,1.7
