player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
George Martin,103959,QB,ROB MORRIS,1,2.66,2.6,2.93,4.3,43,277,88.2,17,17,7.3,2.14,0,1,5.6,82.4,14,1,6.7,18,41.9,1,8,,,,66.8,64.3,72.2,64.0,,,,0,0,19,100.0,115.2,5.6,1,0,0,0,1,0,0.0,118,6.9,66.7,21,22,12.0,3.04,0,2,9.1,63.6,14,7,0.0,25,58.1,0,10,,,,67.7,80.6,73.1,81.8,,57.3,,0,0,25,28.6,105.7,8.0,2,1,0,1,1,0,0.0,187,8.5
Seth Morgan,103954,QB,VA MILT IN,1,2.22,2.08,3.9,4.5,43,336,72.4,29,30,8.7,1.73,1,3,9.1,63.3,19,5,9.5,30,69.8,2,13,,,,68.5,84.3,74.1,83.4,,,,0,0,33,0.0,124.0,0.0,0,0,0,0,3,0,0.0,258,8.6,100.0,8,10,12.9,3.35,0,2,15.4,80.0,8,6,0.0,13,30.2,0,6,,,,22.2,77.9,71.6,74.0,,64.9,,0,0,16,33.3,118.8,15.4,2,1,0,2,0,2,12.5,203,20.3
Sam Hartman,77618,QB,WAKE,1,3.11,2.89,4.23,4.77,43,339,84.6,13,14,8.0,2.17,1,1,7.1,78.6,11,3,0.0,14,32.6,0,6,,,,66.2,81.9,71.2,81.2,,,,0,0,14,0.0,126.2,0.0,0,0,0,0,1,0,0.0,120,8.6,63.6,22,23,19.5,3.57,1,4,16.7,56.5,13,11,7.1,29,67.4,1,13,,,,68.3,93.0,73.9,90.3,,86.6,,0,0,31,27.3,129.3,10.3,3,3,0,0,2,0,0.0,282,12.3
Kobe Tracy,141317,QB,DIXIE,1,2.33,2.21,2.65,4.35,43,1285,82.1,28,28,5.6,1.76,0,1,3.4,71.4,20,3,13.0,29,67.4,3,10,,,,68.2,84.1,73.7,83.2,,,,0,0,30,33.3,103.6,3.4,1,0,0,0,0,0,0.0,282,10.1,50.0,10,11,9.2,3.49,0,0,0.0,45.5,5,5,0.0,14,32.6,0,2,,,,22.4,32.1,71.8,29.8,,60.8,,0,1,17,20.0,44.9,7.1,1,2,0,1,1,2,11.8,32,2.9
Skyler Perry,82082,QB,ARKAPB,1,2.63,2.38,3.98,4.7,43,112,86.4,22,22,2.5,1.8,0,1,4.2,81.8,18,1,5.3,22,51.2,1,6,,,,67.6,66.3,73.0,65.9,,,,0,0,24,0.0,104.9,0.0,0,0,0,0,0,0,0.0,202,9.2,63.6,11,15,9.6,3.5,0,1,6.3,46.7,7,13,0.0,21,48.8,0,3,,,,24.8,38.1,72.7,45.9,,44.2,,1,1,22,30.8,65.7,19.0,4,2,0,3,1,2,9.1,109,7.3
Connor Sampson,33374,QB,W ILLINOIS,1,2.8,2.61,4.3,5.15,43,345,84.2,19,20,6.5,1.86,1,1,5.0,75.0,15,4,6.3,20,46.5,1,9,,,,67.1,84.6,72.4,83.8,,,,0,0,20,0.0,115.0,0.0,0,0,0,0,1,0,0.0,162,8.1,76.5,17,19,7.6,3.63,0,1,5.0,63.2,12,12,7.7,23,53.5,1,7,,,,67.6,87.6,73.0,87.4,,62.1,,0,0,24,16.7,120.3,8.7,2,2,0,2,2,0,0.0,139,7.3
Casey Thompson,77677,QB,TEXAS,1,3.02,2.94,2.9,4.6,42,311,84.6,13,13,6.3,1.95,0,1,7.7,76.9,10,4,9.1,14,33.3,1,6,,,,21.0,85.2,71.2,84.4,,,,0,1,14,25.0,115.4,7.1,1,0,0,0,2,1,7.1,130,10.0,60.9,23,25,12.7,3.56,0,0,0.0,52.0,13,15,7.1,28,66.7,1,8,,,,68.1,72.7,73.6,65.3,,77.5,,1,0,29,6.7,69.9,3.6,1,2,0,1,0,1,3.4,147,5.9
Zerrick Cooper,40465,QB,JVILLE ST,1,2.39,2.37,2.75,,42,196,74.1,27,27,6.6,1.67,0,1,3.7,63.0,17,2,15.0,27,64.3,3,8,,,,67.9,83.5,73.4,82.6,,,,0,2,27,0.0,64.9,0.0,0,0,0,0,1,1,3.7,187,6.9,53.8,13,13,9.8,3.67,0,0,0.0,38.5,5,9,28.6,15,35.7,2,2,,,,66.7,56.6,71.8,56.4,,,,0,1,17,22.2,21.6,13.3,2,0,0,0,0,0,0.0,61,4.7
Todd Centeio,60552,QB,COLO STATE,1,3.35,3.17,3.2,4.66,42,144,88.9,9,9,3.8,1.96,0,0,0.0,77.8,7,5,12.5,9,21.4,1,3,,,,65.1,64.6,69.8,64.3,,,,0,0,9,0.0,88.0,0.0,0,0,0,0,0,0,0.0,46,5.1,78.3,23,27,11.5,3.73,2,4,13.8,59.3,16,14,11.1,33,78.6,2,14,,,,68.7,90.9,74.4,86.1,,78.7,,0,0,36,7.1,99.3,3.0,1,5,0,2,1,1,2.8,230,8.5
Taulia Tagovailoa,97271,QB,MARYLAND,1,2.62,2.56,3.95,,42,215,78.9,19,19,4.3,1.74,0,0,0.0,73.7,14,2,6.7,19,45.2,1,10,,,,67.2,73.0,72.5,72.5,,,,0,0,21,0.0,137.4,0.0,0,0,0,0,2,0,0.0,177,9.3,72.2,18,21,15.5,3.36,0,2,8.3,57.1,12,8,7.7,23,54.8,1,10,,,,67.8,82.7,73.3,81.9,,,,0,0,26,25.0,97.7,8.7,2,0,0,3,0,0,0.0,242,11.5
