player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Jordan Hudson,157298,WR,SMU,1,5,0,287,4.5,0,100.0,100.0,2,2,0.0,0,1,0,70.7,68.9,0,5,0.0,0,4,2,100.0,4,85.4,2,50.0,0,9,0,0.0,4.5,2.25,0,0.3,0,66.7,,0,0,0.0,0,0,0,70.7,60.4,0,9,0.0,0,17,2,94.1,16,71.5,3,18.8,0,10,16,8.0,5.0,0.63
Jacob Bernard,97218,WR,LA LAFAYET,1,4,0,207,32.5,0,0.0,0.0,0,2,100.0,1,0,0,16.8,46.2,1,0,0.0,0,6,0,100.0,6,0.0,2,33.3,0,0,0,,,0.0,0,9.5,0,50.0,,0,0,0.0,0,1,0,66.7,62.1,0,6,0.0,0,12,1,100.0,12,56.3,2,16.7,0,6,3,3.0,6.0,0.5
Xavier Guillory,141590,WR,ARIZONA ST,1,4,0,110,23.0,0,50.0,100.0,1,1,0.0,0,1,0,66.7,75.5,0,21,0.0,0,6,1,100.0,6,127.1,2,33.3,1,21,0,0.0,21.0,3.5,0,20.0,0,0.0,,0,0,,0,0,0,,54.7,0,0,0.0,0,8,0,100.0,8,39.6,1,12.5,0,0,0,,,0.0
Kaytron Allen,164158,HB,PENN STATE,1,4,0,266,-1.0,0,0.0,,0,0,,0,0,0,,55.8,0,0,0.0,0,7,0,85.7,6,39.6,1,16.7,0,0,0,,,0.0,0,-3.0,0,100.0,,0,0,0.0,0,0,0,70.7,62.8,0,6,0.0,0,8,2,100.0,8,91.7,2,25.0,0,12,18,9.0,6.0,1.5
Jordan James,163295,HB,OREGON,1,4,0,264,,0,,,0,0,,0,0,0,,57.3,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,0.0,0,66.7,,0,0,33.3,1,1,0,31.6,49.3,0,11,7.7,1,13,2,92.3,12,81.3,3,25.0,0,17,11,5.5,8.5,1.42
Cade McDonald,101725,WR,MIAMI OH,1,4,0,221,23.0,0,0.0,,0,0,,0,0,0,,56.8,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,0,8.0,0,66.7,,0,0,0.0,0,1,0,70.7,60.2,1,14,0.0,0,17,2,100.0,17,41.7,3,17.6,0,17,12,6.0,8.5,1.0
Carl Chester,162627,WR,MARSHALL,1,4,0,214,20.5,1,50.0,,0,0,0.0,0,1,0,66.7,75.8,0,25,0.0,0,2,1,100.0,2,95.8,2,100.0,0,25,12,12.0,25.0,12.5,0,9.0,0,0.0,0.0,0,1,,0,0,0,,52.9,0,0,0.0,0,15,0,100.0,15,39.6,2,13.3,0,0,0,,,0.0
Tre Stewart,160817,HB,JVILLE ST,1,4,0,196,6.0,0,66.7,50.0,1,2,0.0,0,1,0,70.7,68.7,0,7,50.0,5,10,2,50.0,5,70.1,3,60.0,0,4,3,1.5,2.0,0.8,0,13.0,0,100.0,,0,0,0.0,0,1,0,66.7,75.5,0,50,0.0,0,5,1,100.0,5,118.8,1,20.0,0,50,37,37.0,50.0,10.0
Chuck Montgomery,145265,WR,MARSHALL,1,4,0,214,,0,,,0,0,,0,0,0,,58.7,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,6.0,3,75.0,0.0,0,1,0.0,0,1,0,73.1,69.9,0,27,0.0,0,13,3,100.0,13,101.0,4,30.8,0,35,15,5.0,11.7,2.69
Lawson Luckie,173544,TE,GEORGIA,1,4,0,173,6.0,0,0.0,0.0,0,1,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,39.6,1,100.0,0,0,0,,,0.0,0,14.0,0,33.3,0.0,0,1,0.0,0,1,0,66.7,69.0,1,14,7.1,1,14,1,78.6,11,9.7,3,27.3,0,14,0,0.0,14.0,1.27
