player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Ryan Wingo,184520,WR,TEXAS,1,4,0,311,12.0,0,0.0,,0,0,,0,0,0,,56.2,0,0,0.0,0,4,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0,0,25.5,0,50.0,0.0,0,1,0.0,0,1,0,66.7,56.8,0,13,0.0,0,24,1,87.5,21,70.8,2,9.5,0,13,5,5.0,13.0,0.62
Gee Scott Jr.,129756,TE,OHIO STATE,1,4,0,260,,0,,,0,0,,0,0,0,,58.8,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,9.3,0,100.0,,0,0,0.0,0,1,0,73.1,61.3,0,26,0.0,0,16,3,93.8,15,118.8,3,20.0,0,41,13,4.3,13.7,2.73
TreVeyon Henderson,145059,HB,OHIO STATE,1,4,0,260,,0,,,0,0,,0,0,0,,58.7,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,7.0,1,100.0,,0,0,0.0,0,2,0,73.1,84.8,0,21,0.0,0,9,3,100.0,9,118.8,3,33.3,0,44,23,7.7,14.7,4.89
Matthew Golden,156165,WR,TEXAS,1,4,0,311,7.0,0,0.0,,0,0,100.0,1,0,0,16.4,45.0,0,0,0.0,0,4,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0,0,14.0,0,66.7,100.0,1,1,0.0,0,1,0,70.7,60.7,0,43,0.0,0,24,2,87.5,21,109.7,3,14.3,0,49,9,4.5,24.5,2.33
Quintrevion Wisner,176190,HB,TEXAS,1,3,0,311,-2.0,0,0.0,0.0,0,1,,0,0,0,,58.6,0,0,33.3,1,3,0,66.7,2,39.6,1,50.0,0,0,0,,,0.0,0,-6.5,0,100.0,,0,0,0.0,0,1,0,70.7,58.2,0,6,8.3,1,12,2,83.3,10,79.2,2,20.0,0,0,13,6.5,0.0,0.0
Matthew Hibner,129581,TE,SMU,1,3,0,287,8.5,0,100.0,,0,0,0.0,0,2,0,70.7,75.9,0,20,31.3,5,16,2,56.3,9,118.8,2,22.2,0,38,21,10.5,19.0,4.22,0,18.0,0,0.0,0.0,0,1,,0,0,0,,52.1,0,0,11.8,2,17,0,82.4,14,39.6,1,7.1,0,0,0,,,0.0
Key'Shawn Smith,143950,WR,SMU,1,3,0,287,14.0,0,66.7,,0,0,0.0,0,2,0,70.7,66.1,0,10,0.0,0,18,2,83.3,15,78.5,3,20.0,0,15,8,4.0,7.5,1.0,0,,0,,,0,0,,0,0,0,,55.5,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0
Beaux Collins,144112,WR,NOTRE DAME,1,3,0,258,,0,,,0,0,,0,0,0,,56.2,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,7.7,1,66.7,,0,0,33.3,1,1,0,31.6,53.6,0,10,0.0,0,28,2,96.4,27,82.6,3,11.1,0,18,6,3.0,9.0,0.67
Miles Cross,145887,WR,INDIANA,1,3,0,190,4.5,0,50.0,,0,0,0.0,0,0,0,66.7,54.9,0,1,0.0,0,9,1,88.9,8,56.3,2,25.0,0,1,1,1.0,1.0,0.13,0,21.0,0,0.0,,0,0,,0,0,0,,56.5,0,0,0.0,0,4,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0
Mitchell Evans,147486,TE,NOTRE DAME,1,3,0,258,,0,,,0,0,,0,0,0,,60.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,4.5,0,50.0,0.0,0,1,0.0,0,0,0,66.7,58.0,0,9,0.0,0,21,1,95.2,20,62.5,2,10.0,0,9,6,6.0,9.0,0.45
Adam Randall,156252,WR,CLEMSON,1,3,0,140,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,-3.7,0,33.3,,0,0,50.0,1,0,0,24.5,39.4,0,1,0.0,0,9,1,100.0,9,42.4,3,33.3,0,1,4,4.0,1.0,0.11
Kaytron Allen,164158,HB,PENN STATE,1,3,0,266,,0,,,0,0,,0,0,0,,,0,0,100.0,2,2,0,0.0,0,0.0,0,,0,0,0,,,,0,1.3,0,66.7,,0,0,0.0,0,2,0,70.7,64.9,0,15,9.1,1,11,2,90.9,10,96.5,3,30.0,0,28,23,11.5,14.0,2.8
DeAndre Moore Jr.,173164,WR,TEXAS,1,3,0,311,,0,,,0,0,,0,0,0,,56.2,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,4.7,0,66.7,,0,0,33.3,1,1,0,31.6,54.8,1,7,0.0,0,14,2,85.7,12,36.1,3,25.0,0,13,4,2.0,6.5,1.08
Peyton Lewis,184885,HB,TENNESSEE,1,3,0,307,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,,0,0,0,,,,0,-2.7,1,100.0,,0,0,0.0,0,0,0,73.1,64.5,0,4,41.7,5,12,3,58.3,7,79.2,3,42.9,0,7,15,5.0,2.3,1.0
Braylon Staley,184893,WR,TENNESSEE,1,3,0,307,,0,,,0,0,,0,0,0,,55.0,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0,0,4.7,0,66.7,,0,0,0.0,0,0,0,70.7,54.4,0,7,0.0,0,19,2,100.0,19,72.9,3,15.8,0,11,13,6.5,5.5,0.58
Romello Brinson,143936,WR,SMU,1,2,0,287,,0,,,0,0,,0,0,0,,54.9,0,0,0.0,0,10,0,70.0,7,0.0,0,0.0,0,0,0,,,0.0,0,-2.0,0,100.0,100.0,1,1,0.0,0,0,0,66.7,56.7,0,-2,0.0,0,8,1,87.5,7,79.2,1,14.3,0,-2,0,0.0,-2.0,-0.29
Squirrel White,163776,WR,TENNESSEE,1,2,0,307,,0,,,0,0,,0,0,0,,60.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,22.0,0,50.0,100.0,1,1,0.0,0,1,0,66.7,64.3,0,17,0.0,0,10,1,100.0,10,79.2,2,20.0,0,17,1,1.0,17.0,1.7
