player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Teddy Hoffmann,198966,WR,NC STATE,1,5,0,248,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Terrell Anderson,183348,WR,NC STATE,1,5,0,248,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Caleb Hawkins,199001,HB,N TEXAS,1,5,0,251,,0,,,0,0,,0,0,0,,56.8,0,0,50.0,4,8,0,50.0,4,0.0,0,0.0,0,0,0,,,0.0,0,-3.3,2,66.7,,0,0,33.3,1,2,0,31.6,51.6,0,20,16.7,4,24,2,83.3,20,93.8,3,15.0,0,26,35,17.5,13.0,1.3
Dontae McMillan,103994,HB,E MICHIGAN,1,5,0,160,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,-3.8,0,100.0,,0,0,0.0,0,0,0,76.3,59.9,0,5,0.0,0,15,5,100.0,15,79.2,5,33.3,0,9,28,5.6,1.8,0.6
Mason Williams,171367,TE,OHIO,1,5,0,259,20.0,0,66.7,100.0,1,1,0.0,0,1,0,70.7,75.4,0,30,6.3,1,16,2,87.5,14,109.7,3,21.4,0,39,7,3.5,19.5,2.79,0,,0,,,0,0,,0,0,0,,59.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Ethan Ervin,199664,HB,FAU,1,5,0,165,-2.0,0,100.0,,0,0,0.0,0,0,0,66.7,66.1,0,0,50.0,1,2,1,50.0,1,79.2,1,100.0,0,0,2,2.0,0.0,0.0,0,3.3,1,50.0,,0,0,0.0,0,1,0,70.7,83.1,0,19,9.1,1,11,2,90.9,10,65.6,4,40.0,0,21,19,9.5,10.5,2.1
Reymello Murphy,90224,WR,UCONN,1,5,0,146,,0,,,0,0,,0,0,0,,54.1,0,0,0.0,0,10,0,100.0,10,0.0,0,0.0,0,0,0,,,0.0,0,10.5,0,75.0,,0,0,0.0,0,2,0,73.1,67.8,0,10,0.0,0,14,3,100.0,14,82.3,4,28.6,0,17,6,2.0,5.7,1.21
Eli Stowers,147013,TE,VANDERBILT,1,5,0,333,8.3,0,50.0,,0,0,0.0,0,2,0,70.7,71.9,1,19,0.0,0,15,2,86.7,13,34.4,4,30.8,0,29,5,2.5,14.5,2.23,0,2.0,1,100.0,,0,0,0.0,0,1,0,66.7,69.8,0,13,0.0,0,4,1,100.0,4,118.8,1,25.0,0,13,11,11.0,13.0,3.25
Juice Vereen,170383,TE,UCONN,1,5,0,146,25.0,0,0.0,0.0,0,1,,0,0,0,,54.7,0,0,0.0,0,7,0,100.0,7,39.6,1,14.3,0,0,0,,,0.0,0,18.0,0,0.0,,0,0,,0,0,0,,52.5,0,0,0.0,0,8,0,100.0,8,39.6,1,12.5,0,0,0,,,0.0
Noah Rogers,170266,WR,NC STATE,1,5,0,248,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Jahlil McClain,176467,WR,FRESNO ST,1,5,0,169,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Marcello Bussey,169936,WR,MEMPHIS,1,5,0,218,,0,,,0,0,,0,0,0,,59.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,10.8,0,50.0,100.0,1,1,33.3,1,1,0,70.7,57.6,0,19,0.0,0,23,2,95.7,22,68.8,4,18.2,0,24,8,4.0,12.0,1.09
Rahsul Faison,176482,HB,S CAROLINA,1,5,0,289,-4.0,1,100.0,,0,0,0.0,0,1,0,66.7,70.5,0,33,0.0,0,3,1,66.7,2,118.8,1,50.0,0,33,37,37.0,33.0,16.5,0,-3.7,1,66.7,,0,0,33.3,1,1,0,31.6,52.3,1,12,25.0,5,20,2,60.0,12,43.1,3,25.0,0,18,26,13.0,9.0,1.5
Christian Moss,144095,WR,KENNESAW,1,5,0,200,4.0,0,0.0,,0,0,100.0,1,0,0,16.4,45.2,0,0,0.0,0,4,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0,0,21.3,0,66.7,0.0,0,1,0.0,0,2,0,70.7,78.2,0,70,0.0,0,8,2,100.0,8,149.3,3,37.5,1,93,42,21.0,46.5,11.63
Michael Trigg,146410,TE,BAYLOR,1,5,0,118,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Jo Silver,164549,HB,DELAWARE,1,5,0,151,0.5,0,50.0,0.0,0,1,0.0,0,1,0,66.7,68.6,0,12,35.7,5,14,1,50.0,7,68.8,2,28.6,0,12,12,12.0,12.0,1.71,0,0.7,0,33.3,,0,0,0.0,0,1,0,66.7,59.8,0,15,13.0,3,23,1,87.0,20,50.7,3,15.0,0,15,15,15.0,15.0,0.75
CJ Daniels,123874,WR,MIAMI FL,1,5,0,220,1.0,1,50.0,,0,0,50.0,1,0,0,24.5,47.6,0,-1,0.0,0,4,1,100.0,4,56.3,2,50.0,0,-1,2,2.0,-1.0,-0.25,0,,0,,,0,0,,0,0,0,,52.7,0,0,0.0,0,13,0,100.0,13,0.0,0,0.0,0,0,0,,,0.0
DJ Miller,200142,WR,KENTUCKY,1,5,0,202,15.0,0,100.0,,0,0,0.0,0,2,0,70.7,84.7,0,56,0.0,0,5,2,80.0,4,158.3,2,50.0,1,63,33,16.5,31.5,15.75,0,17.3,1,100.0,100.0,1,1,0.0,0,2,0,73.1,72.4,0,28,0.0,0,14,3,85.7,12,158.3,3,25.0,1,57,6,2.0,19.0,4.75
Joshua Moore,200153,WR,MIAMI FL,1,5,0,220,6.0,0,100.0,,0,0,0.0,0,1,0,66.7,60.5,0,9,0.0,0,1,1,100.0,1,104.2,1,100.0,0,9,3,3.0,9.0,9.0,0,8.7,0,66.7,0.0,0,1,0.0,0,1,0,70.7,57.4,0,8,0.0,0,8,2,100.0,8,75.7,3,37.5,0,13,3,1.5,6.5,1.63
Jeron Askren,185519,TE,MO STATE,1,5,0,230,1.0,0,100.0,,0,0,0.0,0,0,0,66.7,57.2,0,5,16.7,1,6,1,83.3,5,87.5,1,20.0,0,5,4,4.0,5.0,1.0,0,3.0,1,100.0,100.0,1,1,0.0,0,1,0,73.1,83.6,0,9,16.7,2,12,3,83.3,10,95.8,3,30.0,0,21,12,4.0,7.0,2.1
Kobe Paysour,143974,WR,N CAROLINA,1,5,0,245,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
J.J. Hester,124207,WR,KENTUCKY,1,5,0,202,-1.0,2,100.0,,0,0,0.0,0,1,0,66.7,67.2,0,13,0.0,0,5,1,100.0,5,118.8,1,20.0,0,13,14,14.0,13.0,2.6,0,9.0,0,0.0,,0,0,,0,0,0,,54.4,0,0,0.0,0,7,0,71.4,5,39.6,1,20.0,0,0,0,,,0.0
Dallen Bentley,176648,TE,UTAH,1,5,0,328,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Trey Leckner,176682,TE,WASH STATE,1,5,0,341,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
DJ Epps,163572,WR,TROY,1,5,0,318,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
