player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Patrick Barnett,123732,G,UCF,2,100.0,0,323,56.5,78.3,53.9,0,0,12,100.0,100.0,100.0,0,0,0,33,0,0,0,33,12,12,33,0,21,0
Jimmy Calloway,124274,WR,TULANE,7,41.8,0,319,44.9,,48.9,0,0,0,0.0,0.0,,1,0,0,33,0,0,0,79,0,45,0,0,33,0
Damola Ajidahun,199958,T,S CAROLINA,3,100.0,0,289,38.4,24.3,44.8,0,1,20,100.0,100.0,92.5,0,2,1,33,0,0,18,33,20,20,0,11,13,4
Fluff Bothwell,190075,HB,MISS STATE,6,16.9,0,227,79.1,43.0,75.0,0,0,19,21.3,20.0,100.0,1,0,0,33,0,0,0,195,19,95,0,0,14,1
Adonis Moise,198606,WR,KANSAS ST,5,40.7,0,199,59.5,,59.0,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,81,0,46,0,0,33,0
Josh Smith,190746,WR,TULSA,4,41.8,0,320,68.1,,47.0,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,79,0,46,0,0,33,0
Mark Faircloth,190270,T,FLORIDA,2,100.0,0,163,82.0,82.5,79.8,0,0,18,100.0,100.0,100.0,0,0,0,33,0,0,32,33,19,19,0,0,14,0
Rashad Amos,124224,HB,GA STATE,8,20.1,0,175,62.6,85.8,54.7,0,0,18,24.0,23.6,100.0,1,0,0,33,0,0,0,164,21,89,0,0,12,0
Peyton Lewis,184885,HB,TENNESSEE,8,25.6,0,307,73.0,49.5,58.7,0,1,22,36.7,39.1,93.2,0,2,1,33,0,0,0,129,27,69,0,0,6,0
London Montgomery,170288,HB,E CAROLINA,7,16.6,0,156,71.3,21.7,57.1,0,1,23,21.5,20.4,93.5,0,2,1,33,0,0,0,199,23,113,0,0,10,0
Jackson Brown,158312,G,PITTSBURGH,3,100.0,0,268,70.5,81.6,68.8,0,0,19,100.0,100.0,100.0,0,0,0,33,0,25,0,33,20,20,8,0,13,0
Jake Peters,183577,C,NEBRASKA,2,100.0,0,238,75.5,81.0,70.9,0,0,16,100.0,100.0,100.0,0,0,0,33,33,0,0,33,17,17,0,0,16,0
Martel Hight,172615,CB,VANDERBILT,7,38.1,0,333,61.2,,61.9,0,0,0,0.0,0.0,,2,0,0,32,0,0,0,84,0,51,0,0,32,0
Jadarian Price,156985,HB,NOTRE DAME,7,20.8,0,258,81.1,22.5,58.8,0,0,17,28.3,31.3,100.0,1,0,0,32,0,0,0,154,21,67,0,0,11,0
Jeremiah Melvin,183392,WR,WAKE,7,52.5,0,339,58.3,,61.9,0,0,0,0.0,0.0,,0,0,0,32,0,0,0,61,0,29,0,0,32,0
Ryder Burton,175011,QB,UAB,4,44.4,0,321,90.5,,60.0,0,0,0,0.0,0.0,,0,0,0,32,0,0,0,72,0,33,0,0,32,0
Ian Moore,183704,T,OHIO STATE,4,100.0,0,260,78.4,80.5,74.7,0,0,9,100.0,100.0,100.0,0,0,0,32,0,0,31,32,9,9,0,1,23,0
Julian Allen,171369,WR,TOLEDO,4,61.5,0,316,59.1,,60.4,0,0,0,0.0,0.0,,0,0,0,32,0,0,0,52,0,20,0,0,32,0
Chase Tyler,189398,WR,DUKE,6,54.2,0,154,72.0,,75.6,0,0,0,0.0,0.0,,1,0,0,32,0,0,0,59,0,27,0,0,32,0
Harold Mack,198380,WR,E MICHIGAN,3,33.7,0,160,79.5,,54.7,0,0,0,0.0,0.0,,0,0,0,32,0,0,0,95,0,62,0,0,32,0
