player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Nick Laboy,148767,WR,DELAWARE,2,0,151,60.1,100.0,4,33.3,4,57.1,0,100.0,12,12,56.7,100.0,8,66.7,8
Jake Rendina,171009,HB,ARMY,2,0,114,59.1,57.1,4,33.3,7,55.0,0,75.0,12,16,55.3,100.0,4,33.3,4
Wallace Unamba,169929,T,VIRGINIA,1,0,335,,,0,0.0,0,39.7,0,100.0,12,12,39.7,100.0,12,100.0,12
Bryce Dorsey,193162,WR,MEMPHIS,2,0,218,60.3,100.0,4,33.3,4,59.2,0,100.0,12,12,60.3,100.0,6,50.0,6
Jay Ducker,130550,HB,TEMPLE,2,0,306,63.2,40.0,6,50.0,15,63.3,0,29.3,12,41,60.0,13.0,3,25.0,23
Jaden Greathouse,171085,WR,NOTRE DAME,1,0,258,59.1,100.0,7,58.3,7,35.5,0,100.0,12,12,60.4,100.0,4,33.3,4
Leighton Jones,170152,G,IOWA,1,0,192,59.7,100.0,2,16.7,2,67.3,0,100.0,12,12,68.9,100.0,9,75.0,9
Caden Williams,184698,HB,LIBERTY,2,0,206,47.9,41.7,5,41.7,12,47.5,0,41.4,12,29,58.1,37.5,6,50.0,16
Branden Hoch,199670,WR,FAU,2,0,165,60.4,100.0,5,41.7,5,61.7,0,100.0,12,12,61.1,100.0,6,50.0,6
Semaj Demps,175550,WR,FIU,2,0,166,59.9,100.0,3,25.0,3,60.4,0,100.0,12,12,60.5,100.0,9,75.0,9
Logan Cox,188680,G,DOMINION,1,0,263,50.6,100.0,4,33.3,4,50.6,0,100.0,12,12,57.1,100.0,5,41.7,5
Malik Clark,199957,WR,S CAROLINA,1,0,289,60.2,100.0,9,81.8,9,60.4,0,100.0,11,11,60.0,100.0,2,18.2,2
Tyler Keinath,164945,G,BOISE ST,2,0,120,63.6,100.0,7,63.6,7,61.9,0,100.0,11,11,58.6,100.0,4,36.4,4
