player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Dylan Lonergan,172386,QB,BOSTON COL,1,-9.52,0,42,121,71.1,38,39,10.6,2.8,0,0,0.0,66.7,26,5,3.7,41,97.6,1,15,,,,,70.1,66.5,76.9,,68.4,,52.5,,,0,0,43,20.0,113.4,2.4,1,1,0,1,2,1,2.3,362,9.3,75.0,32,33,10.2,2.65,0,0,0.0,66.7,22,4,8.3,34,81.0,2,12,,,,,69.7,68.2,76.5,,68.8,,56.5,,,0,0,36,25.0,116.6,2.9,1,0,0,1,2,1,2.8,307,9.3,57.1,7,7,10.3,3.36,0,0,0.0,57.1,4,1,0.0,8,19.0,0,3,,,,,64.9,58.6,69.5,,62.9,,56.7,,,0,0,8,0.0,82.4,0.0,0,1,0,0,0,0,0.0,55,7.9,0,100.0,1,1,-5.0,2.2,0,0,0.0,0.0,0,0,100.0,1,2.4,1,0,,,,,60.3,60.8,63.6,,60.6,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,-1.44
Darian Mensah,169984,QB,DUKE,1,25.0,0,42,154,64.5,31,33,15.2,3.23,0,2,6.1,48.5,16,15,20.0,40,95.2,4,7,,,,,69.4,71.3,76.1,,70.5,,62.0,,,0,0,40,26.7,75.9,10.0,4,3,0,2,1,1,2.5,185,5.6,61.5,26,28,14.0,3.06,0,1,3.6,46.4,13,10,18.8,34,81.0,3,4,,,,,69.0,72.3,75.7,,71.7,,62.0,,,0,0,34,30.0,69.2,8.8,3,3,0,2,1,0,0.0,111,4.0,85.7,7,7,14.7,3.4,0,1,14.3,71.4,5,5,16.7,8,19.0,1,3,,,,,64.9,62.8,69.5,,62.6,,,,,0,0,8,20.0,110.4,12.5,1,0,0,0,0,1,12.5,82,11.7,0,100.0,2,2,-2.5,1.05,0,0,0.0,100.0,2,0,0.0,2,4.8,0,0,,,,,61.8,62.8,65.5,,62.6,,,,,0,0,2,,83.3,0.0,0,0,0,0,0,0,0.0,8,4.0,7.75
Trinidad Chambliss,178723,QB,OLE MISS,1,1.09,0,42,226,84.0,25,27,8.4,2.69,0,0,0.0,77.8,21,10,0.0,34,81.0,0,16,,,,,71.3,77.7,78.1,,79.5,,61.4,,,0,1,36,50.0,104.2,14.7,5,2,0,2,1,1,2.8,263,9.7,81.8,22,23,5.0,2.19,0,0,0.0,73.9,17,5,5.6,26,61.9,1,10,,,,,71.0,69.9,77.7,,72.9,,57.5,,,0,1,27,40.0,94.8,7.7,2,1,0,1,1,1,3.7,192,8.3,90.9,11,12,7.3,2.84,0,0,0.0,75.0,9,5,10.0,16,38.1,1,6,,,,,66.8,80.1,72.0,,76.9,,64.3,,,0,0,18,60.0,102.4,18.8,3,1,0,1,0,0,0.0,109,9.1,0,87.5,8,8,-2.6,1.39,0,0,0.0,62.5,5,0,28.6,8,19.0,2,0,,,,,65.1,62.2,69.8,,61.9,,,,,0,0,9,,74.0,0.0,0,0,0,0,0,0,0.0,38,4.8,0.73
Mason Heintschel,199088,QB,PITTSBURGH,1,-33.57,0,41,268,65.4,26,30,6.5,3.61,2,2,5.9,43.3,13,22,23.5,38,92.7,4,8,,,,,69.7,39.7,75.9,,34.2,,64.8,,,0,1,43,18.2,41.7,10.5,4,4,0,2,0,3,7.0,125,4.2,72.0,25,28,4.0,3.44,2,0,0.0,53.6,15,20,16.7,36,87.8,3,8,,,,,69.5,32.3,75.7,,28.6,,68.0,,,0,1,40,20.0,50.1,11.1,4,4,0,1,0,3,7.5,123,4.4,50.0,4,5,15.0,3.28,0,2,40.0,20.0,1,2,50.0,5,12.2,1,0,,,,,64.2,81.1,68.6,,87.1,,57.3,,,0,0,6,0.0,39.6,0.0,0,0,0,1,0,0,0.0,3,0.6,0,100.0,3,3,-2.7,1.07,0,0,0.0,100.0,3,0,0.0,3,7.3,0,0,,,,,62.7,64.1,66.6,,63.9,,,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,1,0.3,-3.79
Blake Shapen,122282,QB,MISS STATE,1,1.19,0,40,227,62.5,24,28,8.8,2.69,3,0,0.0,53.6,15,9,0.0,35,87.5,0,6,,,,,73.1,54.9,77.0,,48.8,,64.7,,,0,2,38,44.4,44.6,11.4,4,3,0,1,0,2,5.3,186,6.6,63.2,19,21,5.6,2.4,2,0,0.0,57.1,12,6,0.0,26,65.0,0,5,,,,,73.0,55.7,76.2,,47.9,,64.7,,,0,1,28,33.3,47.7,7.7,2,3,0,0,0,2,7.1,90,4.3,70.0,10,12,9.7,2.67,1,0,0.0,58.3,7,3,0.0,14,35.0,0,2,,,,,66.4,56.2,71.8,,56.0,,,,,0,1,15,66.7,53.8,14.3,2,0,0,1,0,0,0.0,109,9.1,0,80.0,5,5,-1.6,1.14,0,0,0.0,80.0,4,0,0.0,5,12.5,0,1,,,,,63.8,59.0,68.1,,58.8,,,,,0,0,5,,79.2,0.0,0,0,0,0,0,0,0.0,13,2.6,4.79
Ta'Quan Roberson,101625,QB,BUFFALO,1,20.0,0,40,126,64.3,28,31,11.3,2.61,1,2,6.1,45.2,14,15,22.2,38,95.0,4,6,,,,,70.3,67.6,76.2,,67.8,,59.5,,,2,1,40,33.3,44.7,13.2,5,2,0,0,0,1,2.5,137,4.4,66.7,27,30,11.0,2.62,1,2,6.3,46.7,14,14,22.2,37,92.5,4,6,,,,,70.2,72.2,76.1,,72.8,,59.5,,,2,0,39,35.7,76.4,13.5,5,2,0,0,1,0,0.0,175,5.8,66.7,3,3,6.0,1.97,0,0,0.0,66.7,2,1,0.0,3,7.5,0,1,,,,,62.7,38.8,66.6,,39.2,,,,,0,1,3,0.0,44.4,0.0,0,0,0,0,0,1,33.3,19,6.3,0,100.0,2,2,-0.5,1.75,0,0,0.0,100.0,2,0,0.0,2,5.0,0,1,,,,,61.8,62.8,65.5,,62.6,,,,,0,0,2,,158.3,0.0,0,0,0,0,1,0,0.0,57,28.5,0.5
Gio Lopez,172309,QB,N CAROLINA,1,44.12,0,40,245,63.0,27,29,10.7,3.02,0,1,3.1,55.2,16,14,5.9,33,82.5,1,10,,,,,69.2,78.1,76.1,,80.0,54.3,57.8,,,1,0,36,14.3,69.2,6.1,2,2,0,1,0,0,0.0,147,5.1,67.7,31,34,8.2,2.91,0,1,2.7,55.9,19,14,9.5,37,92.5,2,10,,,,,69.5,77.3,76.3,,76.7,,61.1,,,1,0,41,14.3,71.3,5.4,2,1,0,2,0,0,0.0,185,5.4,100.0,2,2,4.0,2.57,0,0,0.0,100.0,2,0,0.0,3,7.5,0,1,,,,,62.7,64.0,67.4,,74.3,54.3,57.3,,,0,0,3,,100.0,0.0,0,1,0,0,0,0,0.0,16,8.0,0,100.0,6,7,-4.5,2.23,0,0,0.0,71.4,5,0,16.7,7,17.5,1,1,,,,,64.9,62.3,69.5,,62.0,,,,,0,0,8,,93.8,0.0,0,0,0,1,0,0,0.0,54,7.7,2.56
Zane Flores,174288,QB,OKLA STATE,1,0.0,0,39,262,73.3,30,33,7.5,2.73,1,0,0.0,63.6,21,18,4.5,36,92.3,1,11,,,,,21.7,57.2,76.6,,51.2,,71.8,,,1,2,38,11.1,57.4,5.6,2,1,0,1,0,2,5.4,218,6.6,73.7,19,21,8.0,2.63,1,0,0.0,66.7,14,6,0.0,21,53.8,0,6,,,,66.7,68.8,68.5,75.5,,64.8,57.4,67.4,,,0,2,21,0.0,45.8,0.0,0,0,0,1,0,0,0.0,140,6.7,78.6,14,15,4.4,2.68,0,0,0.0,66.7,10,12,9.1,18,46.2,1,7,,,,,14.0,45.9,72.4,,42.0,,64.3,,,1,0,20,16.7,83.5,11.1,2,1,0,0,0,2,10.5,93,6.2,0,100.0,3,3,-4.0,1.67,0,0,0.0,100.0,3,0,0.0,3,7.7,0,2,,,,66.7,63.7,62.2,67.4,,63.8,57.4,,,,0,0,3,,87.5,0.0,0,0,0,0,0,0,0.0,15,5.0,-0.47
Bryce Underwood,198795,QB,MICHIGAN,1,1.67,0,39,222,67.7,31,31,12.2,2.89,0,2,6.3,64.5,20,10,4.8,38,97.4,1,17,,,,,69.8,66.2,77.3,,62.6,,66.5,,,0,2,39,30.0,65.7,7.9,3,4,0,0,0,2,5.1,273,8.8,70.0,20,20,10.8,2.87,0,1,5.0,65.0,13,7,7.1,24,61.5,1,10,,,,,68.8,66.8,76.4,,60.2,,69.7,,,0,1,24,14.3,66.9,4.2,1,3,0,0,0,1,4.2,151,7.6,66.7,12,12,13.2,2.81,0,1,7.7,66.7,8,3,0.0,15,38.5,0,7,,,,,66.5,63.0,71.6,,64.8,,57.3,,,0,1,16,66.7,67.7,13.3,2,1,0,0,0,1,6.3,129,10.8,0,100.0,1,1,-4.0,1.2,0,0,0.0,100.0,1,0,0.0,1,2.6,0,0,,,,,60.3,60.8,63.6,,60.6,,,,,0,0,1,,95.8,0.0,0,0,0,0,0,0,0.0,7,7.0,3.2
Michael Van Buren Jr.,184764,QB,LSU,1,-22.0,0,39,211,63.2,19,19,12.5,3.15,0,2,8.7,57.9,11,7,8.3,27,69.2,1,10,,,,,70.8,68.9,76.7,,64.2,55.9,69.9,,,0,0,32,57.1,103.6,14.8,4,4,0,0,1,2,6.5,163,8.6,80.0,25,25,6.6,2.71,0,2,7.7,72.0,18,4,10.0,31,79.5,2,11,,,,,70.8,76.5,76.8,,73.1,55.9,69.9,,,0,0,33,50.0,108.3,6.5,2,4,0,0,1,1,3.1,197,7.9,60.0,5,6,8.2,2.61,0,0,0.0,50.0,3,3,0.0,8,20.5,0,1,,,,,65.6,48.9,70.4,,48.9,,,,,0,0,11,66.7,60.4,25.0,2,0,0,1,0,1,9.1,24,4.0,0,100.0,11,12,-2.8,1.65,0,0,0.0,83.3,10,0,9.1,12,30.8,1,2,,,,,65.8,66.6,70.7,,66.3,,,,,0,0,12,,86.8,0.0,0,0,0,1,0,0,0.0,58,4.8,-3.88
Joe Pesansky,149434,QB,FIU,1,-3.47,0,39,166,80.0,25,29,11.6,3.35,1,2,6.9,65.5,19,14,5.0,34,87.2,1,10,,,,,69.9,90.0,77.0,,90.4,,65.3,,,1,0,34,0.0,105.0,0.0,0,5,0,2,2,0,0.0,176,6.1,87.5,16,18,7.4,3.05,1,1,5.6,72.2,13,5,7.1,19,48.7,1,4,,,,,69.0,87.7,76.1,,88.7,,64.2,,,0,0,19,0.0,121.5,0.0,0,1,0,1,2,0,0.0,96,5.3,78.6,14,16,11.1,3.14,0,1,6.3,68.8,11,9,0.0,20,51.3,0,8,,,,,67.1,79.9,72.4,,80.1,,63.2,,,1,0,20,0.0,88.0,0.0,0,4,0,1,0,0,0.0,110,6.9,0,100.0,5,5,-3.4,1.34,0,0,0.0,100.0,5,0,0.0,5,12.8,0,2,,,,,63.8,65.2,68.1,,64.9,,,,,0,0,5,,91.7,0.0,0,0,0,0,0,0,0.0,30,6.0,1.55
Amari Odom,178686,QB,KENNESAW,1,29.76,0,39,200,70.0,30,32,9.9,3.03,0,2,6.3,59.4,19,12,9.5,38,97.4,2,14,,,,,37.6,55.9,77.4,,52.0,,63.0,,,0,3,38,16.7,45.7,5.3,2,4,0,2,0,4,10.5,255,8.0,54.5,11,12,9.7,3.21,0,0,0.0,41.7,5,7,16.7,17,43.6,1,5,,,,,27.2,41.1,76.2,,29.1,,63.0,,,0,2,17,14.3,15.6,5.9,1,4,0,1,0,3,17.6,53,4.4,80.0,20,21,9.5,2.81,0,2,9.5,71.4,15,5,6.3,22,56.4,1,9,,,,,67.4,74.1,72.7,,73.5,,,,,0,1,22,20.0,83.0,4.5,1,0,0,1,0,1,4.5,208,9.9,0,100.0,1,1,0.0,1.4,0,0,0.0,100.0,1,0,0.0,1,2.6,0,0,,,,,60.3,60.6,63.6,,60.4,,,,,0,0,1,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0,5.48
Tayven Jackson,157615,QB,UCF,1,15.48,0,38,323,86.4,22,22,8.4,2.56,0,0,0.0,81.8,18,10,5.3,27,71.1,1,7,,,,,29.2,61.3,75.8,,64.4,,53.2,,,0,0,28,30.0,109.3,11.1,3,1,0,0,1,0,0.0,145,6.6,85.7,21,21,5.1,2.3,0,0,0.0,76.2,16,9,11.1,23,60.5,2,4,,,,,27.9,64.4,75.5,,68.7,,53.2,,,0,1,24,11.1,65.0,4.3,1,1,0,0,0,0,0.0,97,4.6,91.7,12,12,4.5,2.35,0,0,0.0,91.7,11,4,0.0,15,39.5,0,4,,,,,66.4,60.9,71.4,,60.6,,,,,0,0,15,50.0,122.6,13.3,2,0,0,0,1,0,0.0,81,6.8,0,90.9,11,11,-2.1,1.72,0,0,0.0,81.8,9,3,10.0,11,28.9,1,1,,,,,65.6,67.8,70.4,,67.5,,,,,0,1,11,0.0,41.3,0.0,0,0,0,0,0,0,0.0,33,3.0,2.13
LaNorris Sellers,174326,QB,S CAROLINA,1,34.09,0,38,289,59.1,22,25,12.2,2.75,2,2,6.9,44.0,11,16,15.4,33,86.8,2,8,,,,66.7,71.1,76.8,76.5,,69.2,87.9,70.2,,,0,1,37,25.0,88.6,12.1,4,4,0,1,2,1,2.7,239,9.6,55.6,18,22,12.2,2.66,3,2,8.0,40.9,9,13,10.0,29,76.3,1,7,,,,,70.8,77.2,76.2,,70.5,,73.2,,,0,1,32,30.8,86.4,13.8,4,3,0,1,2,1,3.1,205,9.3,87.5,8,8,4.6,2.31,0,0,0.0,75.0,6,4,14.3,9,23.7,1,1,,,,66.7,65.9,65.3,70.4,,60.5,87.9,57.3,,,0,0,10,0.0,85.9,0.0,0,1,0,0,0,0,0.0,41,5.1,0,100.0,4,5,-3.3,1.44,1,0,0.0,80.0,4,1,0.0,5,13.2,0,0,,,,,63.8,62.6,68.1,,62.4,,,,,0,0,5,0.0,79.2,0.0,0,0,0,0,0,0,0.0,7,1.4,-4.19
Darius Curry,191052,QB,COLO STATE,1,33.33,0,38,144,76.9,26,26,7.6,2.66,0,1,3.8,69.2,18,12,10.0,29,76.3,2,10,,,,,68.2,80.7,74.9,,82.5,,57.3,,,0,3,30,25.0,79.8,10.3,3,0,0,0,2,0,0.0,212,8.2,76.9,26,27,6.3,2.3,1,1,3.7,66.7,18,8,10.0,29,76.3,2,9,,,,,68.1,76.5,74.8,,76.4,,,,,0,3,29,25.0,61.6,6.9,2,0,0,0,1,0,0.0,202,7.5,100.0,8,8,0.8,2.46,0,0,0.0,100.0,8,4,0.0,9,23.7,0,4,,,,,65.4,76.3,70.1,,80.7,,57.3,,,0,0,10,25.0,130.2,11.1,1,0,0,0,1,0,0.0,46,5.8,0,100.0,8,9,-3.5,1.31,1,0,0.0,88.9,8,0,0.0,9,23.7,0,3,,,,,65.1,65.3,69.8,,65.0,,,,,0,0,9,,83.3,0.0,0,0,0,0,0,0,0.0,36,4.0,-1.73
Alonza Barnett III,156710,QB,JAMES MAD,1,-9.52,0,38,197,72.4,29,33,10.2,2.87,2,1,3.0,63.6,21,11,0.0,36,94.7,0,15,,,,,70.9,85.0,77.5,,80.4,60.0,69.8,,,0,1,36,18.2,80.0,5.6,2,1,0,2,0,0,0.0,297,9.0,77.8,18,21,9.6,3.12,2,0,0.0,66.7,14,7,0.0,24,63.2,0,9,,,,,70.4,89.1,76.9,,84.6,60.0,69.8,,,0,1,24,28.6,76.9,8.3,2,1,0,1,0,0,0.0,197,9.4,66.7,12,14,9.8,2.28,1,1,7.1,57.1,8,4,0.0,14,36.8,0,6,,,,,66.2,65.2,71.2,,64.9,,,,,0,0,14,0.0,81.3,0.0,0,0,0,1,0,0,0.0,106,7.6,0,100.0,1,2,-6.0,1.7,1,0,0.0,50.0,1,0,0.0,2,5.3,0,0,,,,,61.8,58.9,65.5,,58.9,,,,,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,6,3.0,-1.81
Owen McCown,157688,QB,UTSA,1,39.39,0,37,331,64.3,28,30,9.8,2.61,0,2,6.5,56.7,17,5,5.6,30,81.1,1,10,,,,,69.3,65.9,76.9,,63.7,,63.7,,,1,1,31,0.0,86.8,0.0,0,0,0,1,2,1,3.2,210,7.0,67.7,31,33,7.5,2.41,0,2,5.9,60.6,20,5,4.8,33,89.2,1,10,,,,,69.5,64.4,77.1,,62.2,,63.7,,,1,1,34,0.0,92.2,0.0,0,0,0,1,2,1,2.9,254,7.7,100.0,4,4,4.8,2.48,0,0,0.0,100.0,4,0,0.0,4,10.8,0,2,,,,,63.3,74.4,67.4,,74.0,,,,,0,0,4,,118.8,0.0,0,0,0,0,0,0,0.0,52,13.0,0,100.0,7,7,-3.1,1.57,0,0,0.0,100.0,7,0,0.0,7,18.9,0,2,,,,,64.6,66.8,69.1,,66.5,,,,,0,0,7,,118.8,0.0,0,0,0,0,0,0,0.0,96,13.7,5.3
JC French IV,162521,QB,GA SOUTHRN,1,16.91,0,37,174,55.0,20,20,15.8,3.02,0,2,8.7,55.0,11,6,0.0,24,64.9,0,7,,,,,34.2,58.3,76.9,,57.1,54.3,60.9,,,0,1,28,50.0,78.1,12.5,3,1,0,0,1,0,0.0,165,8.3,65.2,23,23,6.4,2.56,0,0,0.0,60.9,14,6,6.7,27,73.0,1,5,,,,,34.8,48.6,76.8,,47.8,54.3,57.0,,,0,1,29,50.0,73.5,11.1,3,0,0,0,1,0,0.0,134,5.8,77.8,9,9,16.9,2.42,0,2,18.2,77.8,7,2,0.0,10,27.0,0,6,,,,,66.0,74.0,71.4,,70.6,,64.3,,,0,0,13,0.0,155.8,0.0,0,1,0,0,1,0,0.0,135,15.0,0,91.7,12,12,-1.3,1.6,0,0,0.0,83.3,10,2,9.1,13,35.1,1,4,,,,,66.2,56.2,71.2,,56.0,,,,,0,0,14,0.0,130.6,0.0,0,0,0,0,1,0,0.0,104,8.7,9.17
Logan Fife,128176,QB,NEW MEX ST,1,9.62,0,37,242,73.9,23,26,6.7,2.24,2,1,3.8,57.7,15,3,11.8,28,75.7,2,7,,,,,18.6,63.7,75.1,,72.2,54.3,43.2,,,0,1,28,33.3,53.2,3.6,1,1,0,1,0,1,3.6,119,4.6,75.0,24,26,4.8,2.14,1,1,3.8,65.4,17,3,5.6,28,75.7,1,8,,,,,18.6,57.9,75.1,,66.1,54.3,43.2,,,0,1,28,33.3,62.3,3.6,1,1,0,1,0,1,3.6,136,5.2,100.0,7,8,1.6,1.64,1,0,0.0,75.0,6,0,14.3,9,24.3,1,1,,,,,65.1,79.1,69.8,,78.7,,,,,0,0,9,,80.2,0.0,0,0,0,0,0,0,0.0,30,3.8,0,100.0,8,8,-3.6,1.36,0,0,0.0,100.0,8,0,0.0,9,24.3,0,2,,,,,65.1,65.2,69.8,,65.0,,,,,0,0,9,,91.1,0.0,0,0,0,0,0,0,0.0,47,5.9,-1.48
Chandler Morris,122938,QB,VIRGINIA,1,-18.97,0,37,335,78.3,23,24,10.4,3.12,1,1,3.8,66.7,16,7,11.1,26,70.3,2,11,,,,,27.4,84.5,76.6,,88.0,,52.7,,,0,1,28,0.0,114.8,0.0,0,2,0,0,2,1,3.6,269,11.2,82.1,28,29,6.5,2.61,1,1,3.3,69.0,20,7,13.0,30,81.1,3,10,,,,,28.3,85.3,76.8,,86.7,,57.0,,,0,2,31,0.0,80.2,0.0,0,1,0,0,1,1,3.2,264,9.1,50.0,6,6,5.5,2.94,0,0,0.0,50.0,3,3,0.0,7,18.9,0,2,,,,,64.9,61.1,69.5,,64.7,,57.3,,,0,0,8,0.0,119.4,0.0,0,1,0,0,1,0,0.0,52,8.7,0,72.7,11,11,-2.2,1.62,0,0,0.0,63.6,7,3,12.5,11,29.7,1,1,,,,,65.6,63.7,70.4,,63.5,,,,,0,1,11,0.0,35.0,0.0,0,0,0,0,0,0,0.0,47,4.3,-0.43
Cade Klubnik,156253,QB,CLEMSON,1,17.93,0,37,140,88.2,17,21,9.6,3.14,0,2,8.7,57.1,12,12,20.0,23,62.2,3,8,,,,,29.7,76.3,76.0,,87.8,,44.3,,,0,0,25,16.7,77.1,8.7,2,0,0,4,0,0,0.0,138,6.6,92.0,25,29,3.8,2.41,1,2,6.5,62.1,18,11,21.7,31,83.8,5,9,,,,,34.7,70.9,76.5,,80.2,,44.3,,,0,0,33,9.1,76.4,3.2,1,0,0,3,0,0,0.0,157,5.4,100.0,4,5,5.8,2.98,0,0,0.0,80.0,4,2,0.0,6,16.2,0,2,,,,,64.2,76.0,68.6,,75.6,,,,,0,0,6,50.0,91.7,16.7,1,0,0,1,0,0,0.0,30,6.0,0,100.0,12,13,-3.8,1.46,1,0,0.0,76.9,10,1,16.7,14,37.8,2,3,,,,,66.2,61.7,71.2,,61.4,,,,,0,0,14,0.0,81.9,0.0,0,0,0,0,0,0,0.0,49,3.8,0.59
Haynes King,124329,QB,GA TECH,1,13.19,0,36,176,76.0,25,26,10.3,3.06,0,0,0.0,69.2,18,5,5.3,28,77.8,1,11,,,,,73.9,73.5,77.0,,72.6,,62.5,,,0,0,28,20.0,122.6,3.6,1,1,0,1,1,0,0.0,312,12.0,76.2,21,21,6.5,2.45,0,0,0.0,71.4,15,2,6.3,21,58.3,1,9,,,,,74.0,75.0,76.6,,72.7,,64.1,,,0,0,21,0.0,126.7,0.0,0,0,0,0,1,0,0.0,248,11.8,91.7,12,13,7.9,3.12,0,0,0.0,84.6,11,3,0.0,15,41.7,0,6,,,,,66.4,65.4,71.4,,68.1,,57.3,,,0,0,15,33.3,106.1,6.7,1,1,0,1,0,0,0.0,123,9.5,0,100.0,8,8,-3.3,1.55,0,0,0.0,100.0,8,0,0.0,8,22.2,0,4,,,,,64.9,67.3,69.5,,67.0,,,,,0,0,8,,97.4,0.0,0,0,0,0,0,0,0.0,59,7.4,-2.35
Katin Houser,158386,QB,E CAROLINA,1,-13.23,0,36,156,78.6,28,32,14.4,2.42,1,4,12.1,65.6,21,9,4.5,34,94.4,1,15,,,,,33.3,89.3,77.2,,86.3,,70.4,,,2,0,35,22.2,108.9,5.9,2,0,0,1,1,1,2.9,320,10.0,80.0,25,27,13.1,2.38,0,3,11.1,70.4,19,5,5.0,28,77.8,1,12,,,,,29.4,86.1,76.8,,82.7,,70.4,,,1,0,28,20.0,111.7,3.6,1,0,0,1,1,1,3.6,250,9.3,80.0,5,7,14.8,2.31,1,1,12.5,57.1,4,4,0.0,8,22.2,0,4,,,,,65.1,80.5,69.8,,79.9,,,,,1,0,9,25.0,98.5,12.5,1,0,0,0,0,0,0.0,82,11.7,0,100.0,2,2,-0.5,1.35,0,0,0.0,100.0,2,0,0.0,2,5.6,0,1,,,,,61.8,62.9,65.5,,62.7,,,,,0,0,2,,91.7,0.0,0,0,0,0,0,0,0.0,12,6.0,2.45
Drake Lindsey,184727,QB,MINNESOTA,1,33.33,0,36,225,44.4,18,22,8.1,2.55,1,1,4.2,36.4,8,4,0.0,24,66.7,0,3,,,,,67.8,55.4,76.0,,54.4,,,,,0,0,26,50.0,60.4,8.3,2,0,1,2,1,0,0.0,68,3.1,58.3,24,28,5.0,2.17,1,1,3.3,50.0,14,4,0.0,30,83.3,0,6,,,,,68.4,57.8,76.4,,56.9,,,,,0,0,32,50.0,74.7,6.7,2,0,1,2,1,0,0.0,128,4.6,83.3,6,6,-1.2,2.65,0,0,0.0,83.3,5,0,0.0,6,16.7,0,0,,,,,64.2,66.1,69.4,,66.0,,,,,0,0,6,,79.2,0.0,0,0,0,0,0,0,0.0,10,1.7,0,91.7,12,12,-2.7,1.65,0,0,0.0,91.7,11,0,0.0,12,33.3,0,3,,,,,65.8,68.2,71.2,,68.0,,,,,0,0,12,,91.0,0.0,0,0,0,0,0,0,0.0,70,5.8,-2.9
