player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Connor Bazelak,99135,QB,MISSOURI,1,3.51,0,35,229,59.1,22,24,12.6,2.51,0,1,3.7,54.2,13,9,0.0,25,71.4,0,8,,,,69.1,80.8,76.9,,80.8,,,59.7,,,0,0,28,11.1,96.7,4.0,1,0,1,1,2,0,0.0,125,5.2,66.7,18,19,5.6,1.95,0,0,0.0,63.2,12,5,0.0,19,54.3,0,6,,,,68.8,71.8,76.6,,71.4,,,59.7,,,0,0,23,0.0,72.3,0.0,0,0,1,0,0,0,0.0,80,4.2,76.9,13,15,11.5,2.68,0,1,6.7,66.7,10,6,0.0,16,45.7,0,3,,,,66.5,80.4,71.6,,79.8,,,,,,0,0,16,16.7,121.7,6.3,1,0,0,2,2,0,0.0,88,5.9,0,100.0,9,10,-3.1,1.72,0,0,0.0,90.0,9,2,0.0,10,28.6,0,1,,,,65.6,61.7,70.4,,61.5,,,,,,0,0,11,0.0,84.6,0.0,0,0,0,1,0,0,0.0,43,4.3,1.66
Braxton Burmeister,60513,QB,VA TECH,1,-17.05,0,35,337,70.0,20,26,10.3,3.4,0,2,7.1,46.2,12,14,14.3,31,88.6,2,12,,,,70.4,78.1,76.2,,72.1,,,72.2,,,0,1,33,7.1,49.8,3.2,1,4,0,6,0,1,3.0,158,6.1,77.8,18,22,6.3,3.16,0,2,9.1,54.5,12,11,14.3,27,77.1,2,10,,,,70.1,77.9,75.7,,71.0,,,72.2,,,0,1,27,9.1,53.8,3.7,1,4,0,4,0,1,3.7,133,6.0,60.0,5,8,16.4,3.3,0,0,0.0,37.5,3,3,0.0,8,22.9,0,3,,,,65.4,67.6,70.1,,67.2,,,,,,0,0,10,0.0,59.9,0.0,0,0,0,3,0,0,0.0,51,6.4,0,100.0,3,4,-3.3,1.58,0,0,0.0,75.0,3,0,0.0,4,11.4,0,1,,,,63.3,61.6,67.4,,61.4,,,,,,0,0,4,,91.7,0.0,0,0,0,1,0,0,0.0,26,6.5,0.33
Sean Chambers,75888,QB,WYOMING,1,-21.67,0,35,351,44.0,25,29,14.0,3.14,2,1,3.4,37.9,11,14,0.0,35,100.0,0,11,,,,22.2,50.1,0.0,,54.8,,,55.3,,,1,0,36,21.4,65.7,8.6,3,3,0,1,1,3,8.3,143,4.9,45.5,22,24,14.2,3.1,2,1,4.2,41.7,10,10,0.0,30,85.7,0,10,,,,21.0,59.1,15.6,,64.0,,,55.3,,,0,0,31,30.0,75.0,10.0,3,3,0,0,1,2,6.5,140,5.8,33.3,3,5,12.3,3.4,0,0,0.0,20.0,1,4,0.0,5,14.3,0,1,,,,63.8,28.1,0.0,,30.1,,,,,,1,0,5,0.0,39.6,0.0,0,0,0,1,0,1,20.0,3,0.6,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-5.23
C.J. Stroud,129759,QB,OHIO STATE,1,-3.91,0,35,260,80.6,31,32,14.8,2.86,0,3,9.4,71.9,23,7,8.0,34,97.1,2,20,,,,69.1,90.9,76.0,,91.6,,,53.4,,,0,0,34,0.0,153.6,0.0,0,2,0,1,5,0,0.0,404,12.6,86.4,22,23,12.1,2.91,0,1,4.3,73.9,17,4,10.5,25,71.4,2,14,,,,68.3,90.3,75.4,,91.5,,,53.4,,,0,0,25,0.0,133.4,0.0,0,2,0,1,2,0,0.0,225,9.8,70.0,10,10,19.0,2.56,0,2,20.0,70.0,7,3,0.0,10,28.6,0,6,,,,65.4,80.6,70.1,,79.9,,,,,,0,0,10,0.0,152.1,0.0,0,0,0,0,3,0,0.0,181,18.1,0,100.0,1,1,-3.0,1.3,0,0,0.0,100.0,1,0,0.0,1,2.9,0,0,,,,60.3,60.8,63.6,,60.6,,,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,2,2.0,8.32
Jordan McCloud,101058,QB,ARIZONA,1,-27.27,0,35,109,94.4,18,24,6.1,2.91,0,0,0.0,66.7,16,10,5.9,28,80.0,1,7,,,,32.2,71.8,76.8,,66.9,54.3,,71.1,,,0,0,32,20.0,81.6,7.1,2,2,0,6,0,1,3.1,138,5.8,94.7,19,22,4.3,2.65,0,0,0.0,77.3,17,6,5.6,25,71.4,1,9,,,,70.2,79.1,76.7,,75.5,54.3,,71.1,,,0,0,30,16.7,95.3,4.0,1,2,0,3,0,0,0.0,152,6.9,100.0,5,8,2.6,2.33,0,0,0.0,50.0,4,4,20.0,10,28.6,1,1,,,,18.0,45.1,70.1,,45.1,,,,,,0,0,10,25.0,59.4,10.0,1,0,0,3,0,1,10.0,30,3.8,0,100.0,6,6,-2.5,1.14,0,0,0.0,83.3,5,0,16.7,7,20.0,1,3,,,,64.9,64.7,69.5,,64.4,,,,,,0,0,8,,97.2,0.0,0,0,0,0,0,0,0.0,44,7.3,-3.16
D'Wan Mathis,99130,QB,TEMPLE,1,16.43,0,35,306,66.7,15,19,10.3,3.43,0,0,0.0,47.4,9,21,10.0,27,77.1,1,7,,,,69.5,47.5,5.9,,48.4,,,58.0,,,1,1,27,19.0,40.0,14.8,4,4,0,3,0,1,3.7,93,4.9,75.0,16,20,7.3,3.27,0,0,0.0,55.0,11,17,8.3,27,77.1,1,8,,,,69.5,55.5,5.9,,58.5,,,58.0,,,1,1,27,17.6,49.4,11.1,3,4,0,3,0,1,3.7,107,5.4,83.3,6,7,2.5,1.76,0,0,0.0,71.4,5,4,0.0,8,22.9,0,0,,,,64.9,54.7,69.5,,54.6,,,,,,0,0,8,25.0,74.1,12.5,1,0,0,1,0,0,0.0,13,1.9,0,100.0,7,8,-3.3,1.23,0,0,0.0,87.5,7,0,0.0,8,22.9,0,1,,,,64.9,77.0,69.5,,76.6,,,,,,0,0,8,,80.7,0.0,0,0,0,1,0,0,0.0,27,3.4,-3.49
Carson Strong,83524,QB,NEVADA,1,-78.13,0,34,239,75.0,20,21,9.7,2.69,0,0,0.0,71.4,15,7,0.0,23,67.6,0,10,,,,67.7,63.8,74.5,,63.2,,,,,,0,1,25,28.6,129.4,8.7,2,0,0,1,4,1,4.0,242,11.5,80.6,31,32,5.2,2.16,0,0,0.0,78.1,25,6,0.0,33,97.1,0,18,,,,68.5,76.7,75.3,,76.0,,,,,,0,1,34,16.7,142.3,3.0,1,0,0,1,6,0,0.0,377,11.8,,0,0,,3.2,0,0,0.0,,0,1,,1,2.9,0,0,,,,62.7,27.0,66.6,,27.2,,,,,,0,0,3,100.0,0.0,100.0,1,0,0,0,0,1,33.3,0,,0,90.9,11,11,-3.0,1.15,0,0,0.0,90.9,10,0,0.0,11,32.4,0,8,,,,65.8,68.7,70.7,,68.4,,,,,,0,0,12,,157.4,0.0,0,0,0,0,2,0,0.0,135,12.3,-11.78
Zach Calzada,98006,QB,TEXAS A&M,1,-23.91,0,33,312,70.4,27,28,12.1,2.85,0,2,6.5,64.3,18,14,5.3,30,90.9,1,14,,,,68.5,86.9,76.2,,86.9,,,60.6,,,0,1,33,0.0,115.2,0.0,0,2,0,1,3,0,0.0,260,9.3,81.8,22,23,11.8,2.79,0,2,7.7,73.9,17,12,5.6,25,75.8,1,11,,,,68.0,89.2,75.8,,89.7,,,60.6,,,0,0,28,0.0,132.7,0.0,0,2,0,1,2,0,0.0,221,9.6,50.0,8,8,6.3,2.79,0,0,0.0,50.0,4,2,0.0,8,24.2,0,4,,,,65.1,66.2,69.8,,65.9,,,,,,0,1,9,0.0,77.1,0.0,0,0,0,0,1,0,0.0,64,8.0,0,100.0,3,3,-5.3,2.13,0,0,0.0,100.0,3,0,0.0,3,9.1,0,1,,,,63.3,65.0,67.4,,64.8,,,,,,0,0,4,,101.4,0.0,0,0,0,0,0,0,0.0,25,8.3,-1.61
Chris Reynolds,60361,QB,CHARLOTTE,1,17.44,0,33,136,85.7,21,21,11.1,3.04,0,2,8.7,71.4,15,8,16.7,25,75.8,3,13,,,,19.8,87.1,76.5,,90.0,,,59.7,,,0,0,27,25.0,134.5,8.0,2,2,0,0,4,1,3.7,168,8.0,76.9,13,13,3.7,2.89,0,0,0.0,69.2,9,7,10.0,17,51.5,1,6,,,,16.6,59.5,75.9,,57.9,,,59.7,,,0,0,18,28.6,97.9,11.8,2,2,0,0,1,1,5.6,29,2.2,100.0,15,15,10.9,2.65,0,2,12.5,86.7,13,1,13.3,16,48.5,2,9,,,,66.7,93.4,71.8,,93.8,,,57.3,,,0,0,17,0.0,153.5,0.0,0,1,0,0,3,0,0.0,170,11.3,0,100.0,7,7,-3.1,1.93,0,0,0.0,100.0,7,0,0.0,8,24.2,0,2,,,,64.9,62.1,69.5,,66.4,,,57.3,,,0,0,8,,85.1,0.0,0,1,0,0,0,0,0.0,31,4.4,9.1
Daniel Richardson,97103,QB,C MICHIGAN,1,-19.64,0,33,134,61.5,26,27,17.3,2.91,0,5,17.2,55.6,15,11,6.3,30,90.9,1,11,,,,68.9,70.0,77.1,,72.0,,,53.4,,,0,2,32,9.1,68.4,3.3,1,2,0,1,1,3,9.4,250,9.3,71.4,14,16,13.1,2.85,0,3,16.7,62.5,10,7,0.0,18,54.5,0,6,,,,67.8,73.7,76.4,,75.4,,,56.9,,,1,1,20,14.3,90.6,5.6,1,1,0,1,1,1,5.0,160,10.0,50.0,14,14,18.6,2.74,0,2,14.3,42.9,6,5,14.3,15,45.5,1,5,,,,66.4,61.3,71.4,,63.1,,,57.3,,,0,1,15,0.0,36.9,0.0,0,1,0,0,0,2,13.3,97,6.9,0,50.0,2,3,-2.5,1.73,0,0,0.0,33.3,1,1,0.0,3,9.1,0,0,,,,62.7,60.3,66.6,,60.2,,,,,,1,0,3,0.0,42.4,0.0,0,0,0,0,0,0,0.0,7,2.3,-3.07
Terry Wilson,40709,QB,NEW MEXICO,1,13.33,0,33,241,52.6,19,21,12.3,2.97,0,3,13.0,42.9,9,13,10.0,29,87.9,1,3,,,16.8,29.7,30.0,75.7,,37.1,29.7,,46.1,,,0,1,31,30.8,39.6,13.8,4,3,0,2,0,4,12.9,109,5.2,50.0,14,15,9.4,3.03,0,1,5.9,46.7,7,8,0.0,20,60.6,0,3,,,,26.9,27.7,74.9,,29.2,,,40.7,,,0,1,22,37.5,31.8,15.0,3,2,0,1,0,3,13.6,67,4.5,77.8,9,10,10.2,2.38,0,2,20.0,60.0,6,5,14.3,13,39.4,1,1,,,16.8,66.0,64.6,71.2,,70.0,29.7,,64.3,,,0,0,13,20.0,75.8,7.7,1,1,0,1,0,1,7.7,57,5.7,0,100.0,4,4,-2.5,1.33,0,0,0.0,100.0,4,0,0.0,4,12.1,0,1,,,,63.3,64.9,67.4,,64.7,,,,,,0,0,4,,82.3,0.0,0,0,0,0,0,0,0.0,15,3.8,1.23
Austin Aune,83528,QB,N TEXAS,1,2.5,0,32,251,69.6,23,26,11.1,2.81,1,0,0.0,61.5,16,12,0.0,32,100.0,0,9,,,,40.5,61.4,77.3,,65.5,,,54.7,,,1,2,33,25.0,108.7,9.4,3,3,0,1,4,1,3.0,298,11.5,66.7,9,10,14.6,3.24,0,0,0.0,60.0,6,7,0.0,15,46.9,0,5,,,,30.0,55.9,76.3,,63.5,,,51.9,,,0,1,16,42.9,104.2,20.0,3,2,0,1,2,1,6.3,189,18.9,71.4,14,16,8.9,2.44,1,0,0.0,62.5,10,5,0.0,17,53.1,0,4,,,,66.7,68.9,71.8,,65.3,,,64.3,,,1,1,17,0.0,96.1,0.0,0,1,0,0,2,0,0.0,109,6.8,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-12.09
N'Kosi Perry,60446,QB,FAU,1,10.32,0,32,165,55.6,18,19,15.3,3.46,0,3,13.6,52.6,10,18,0.0,26,81.3,0,8,,,,30.5,47.1,75.7,,41.3,,,63.0,,,0,3,29,22.2,45.8,15.4,4,3,0,1,0,5,17.2,180,9.5,64.7,17,18,13.9,3.18,0,3,14.3,61.1,11,15,0.0,23,71.9,0,8,,,,29.4,61.8,75.4,,61.4,,,59.9,,,0,2,26,20.0,55.8,13.0,3,2,0,1,0,3,11.5,183,10.2,71.4,7,7,2.7,2.84,0,0,0.0,71.4,5,3,0.0,9,28.1,0,1,,,,65.1,28.0,69.8,,26.1,,,64.1,,,0,1,9,33.3,74.1,11.1,1,1,0,0,1,2,22.2,10,1.4,0,100.0,6,6,-3.3,1.45,0,0,0.0,100.0,6,0,0.0,6,18.8,0,1,,,,64.2,65.8,68.6,,65.6,,,,,,0,0,6,,118.8,0.0,0,0,0,0,1,0,0.0,13,2.2,-8.74
Hank Bachmeier,101284,QB,BOISE ST,1,-10.71,0,32,120,69.6,23,27,7.8,3.04,0,2,6.7,55.6,15,9,6.3,29,90.6,1,8,,,,32.2,64.7,77.3,,68.6,,,50.4,,,0,0,32,0.0,72.9,0.0,0,2,0,4,0,0,0.0,159,5.9,72.0,25,28,7.1,2.84,0,2,6.5,60.7,17,8,5.6,29,90.6,1,8,,,,32.2,67.5,77.3,,69.6,,,53.6,,,0,0,32,0.0,77.1,0.0,0,1,0,3,0,0,0.0,164,5.9,100.0,1,2,0.0,3.63,0,0,0.0,50.0,1,1,0.0,3,9.4,0,1,,,,62.7,50.9,66.6,,58.9,,,56.7,,,0,0,3,0.0,60.4,0.0,0,1,0,1,0,0,0.0,8,4.0,0,100.0,3,3,-0.3,1.67,0,0,0.0,100.0,3,0,0.0,3,9.4,0,1,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,,84.7,0.0,0,0,0,0,0,0,0.0,13,4.3,-1.86
Jayden Daniels,97993,QB,ARIZONA ST,1,-13.16,0,32,110,65.0,20,20,12.8,3.52,0,1,5.0,60.0,12,9,7.7,29,90.6,1,9,,,,71.5,67.7,76.6,,69.7,,,59.5,,,0,0,29,22.2,85.0,6.9,2,7,0,0,0,0,0.0,158,7.9,73.7,19,19,7.1,2.97,0,1,5.3,63.2,12,8,14.3,24,75.0,2,7,,,,71.3,68.9,76.3,,66.6,,,63.9,,,0,0,24,25.0,79.3,8.3,2,3,0,0,0,0,0.0,112,5.9,50.0,4,4,28.8,4.46,0,0,0.0,50.0,2,1,0.0,8,25.0,0,3,,,,64.9,58.1,69.5,,66.7,,,53.5,,,0,0,8,0.0,95.8,0.0,0,4,0,0,0,0,0.0,63,15.8,0,100.0,3,3,-2.0,1.6,0,0,0.0,66.7,2,0,33.3,3,9.4,1,1,,,,62.7,56.1,66.6,,56.0,,,,,,0,0,3,,81.3,0.0,0,0,0,0,0,0,0.0,17,5.7,9.86
Layne Hatcher,82068,QB,ARK STATE,1,-11.0,0,32,113,60.0,25,27,14.1,2.83,0,2,6.9,37.0,10,6,33.3,29,90.6,5,8,,,,68.3,85.4,74.6,,86.2,,,57.3,,,0,1,31,16.7,67.8,3.4,1,1,0,2,2,0,0.0,166,6.1,70.6,17,19,8.9,2.84,0,0,0.0,47.4,9,4,25.0,20,62.5,3,6,,,,67.4,74.3,73.6,,75.9,,,57.3,,,0,1,22,0.0,85.2,0.0,0,1,0,2,2,0,0.0,139,7.3,54.5,11,11,17.6,2.43,0,2,18.2,36.4,4,2,33.3,12,37.5,2,2,,,,65.8,89.5,70.7,,88.6,,,,,,0,0,12,50.0,49.8,8.3,1,0,0,0,0,0,0.0,46,4.2,0,100.0,3,3,-2.7,1.27,0,0,0.0,100.0,3,0,0.0,3,9.4,0,0,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,,93.1,0.0,0,0,0,0,0,0,0.0,19,6.3,-3.14
Desmond Ridder,55086,QB,CINCINNATI,1,-5.0,0,31,138,65.0,20,20,13.5,2.7,0,0,0.0,60.0,12,4,7.7,21,67.7,1,7,,,,68.6,68.2,75.2,,67.2,,,61.2,,,0,0,21,25.0,130.2,4.8,1,0,0,0,3,1,4.8,185,9.3,80.0,20,20,7.9,2.38,0,0,0.0,75.0,15,4,6.3,21,67.7,1,8,,,,68.6,69.6,75.2,,68.7,,,61.2,,,0,0,21,25.0,139.8,4.8,1,0,0,0,2,1,4.8,201,10.1,70.0,10,10,8.9,2.38,0,0,0.0,70.0,7,0,0.0,10,32.3,0,4,,,,65.4,65.1,70.1,,64.8,,,,,,0,0,10,,117.9,0.0,0,0,0,0,1,0,0.0,58,5.8,0,100.0,10,10,-2.3,1.72,0,0,0.0,100.0,10,0,0.0,10,32.3,0,5,,,,65.4,67.9,70.1,,67.5,,,,,,0,0,10,,97.5,0.0,0,0,0,0,0,0,0.0,74,7.4,-4.25
Hendon Hooker,60593,QB,TENNESSEE,1,42.31,0,31,307,93.3,15,15,11.4,3.07,0,2,13.3,73.3,11,7,21.4,21,67.7,3,9,,,,73.3,90.3,76.6,,91.5,,,67.8,,,0,0,21,57.1,152.8,19.0,4,2,0,0,3,0,0.0,180,12.0,77.8,9,10,12.4,3.4,0,1,10.0,50.0,5,5,28.6,14,45.2,2,5,,,,73.3,81.0,76.2,,81.7,,,67.8,,,0,0,14,40.0,124.2,14.3,2,2,0,1,2,0,0.0,98,9.8,100.0,13,13,5.2,2.15,0,1,7.7,92.3,12,4,7.7,17,54.8,1,5,,,,66.7,83.1,71.8,,82.5,,,,,,0,0,17,100.0,133.0,23.5,4,0,0,0,1,0,0.0,127,9.8,0,85.7,7,8,1.1,1.96,0,0,0.0,75.0,6,2,0.0,10,32.3,0,1,,,,65.4,56.4,70.1,,56.2,,,,,,0,0,10,100.0,88.0,20.0,2,0,0,1,0,0,0.0,45,5.6,-0.03
Gunnar Holmberg,77625,QB,DUKE,1,1.92,0,31,154,76.0,25,26,11.3,2.51,0,1,3.7,73.1,19,5,0.0,28,90.3,0,14,,,,71.9,63.0,78.1,,66.0,,,54.5,,,0,1,30,20.0,118.1,3.6,1,1,0,1,2,1,3.3,284,10.9,80.0,15,16,9.7,2.36,0,0,0.0,75.0,12,4,0.0,17,54.8,0,9,,,,71.7,58.9,77.6,,59.8,,,56.2,,,0,1,18,25.0,82.3,5.9,1,0,0,1,0,1,5.6,168,10.5,76.9,13,13,10.3,2.51,0,1,7.1,76.9,10,2,0.0,14,45.2,0,6,,,,66.4,69.2,71.4,,71.4,,,57.3,,,0,0,15,0.0,145.5,0.0,0,1,0,0,2,0,0.0,124,9.5,0,100.0,3,3,-1.0,1.7,0,0,0.0,100.0,3,1,0.0,3,9.7,0,1,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,0.0,79.2,0.0,0,0,0,0,0,0,0.0,8,2.7,-0.96
Chandler Rogers,98683,QB,LA MONROE,1,11.84,0,30,209,71.4,21,21,13.9,2.29,0,0,0.0,61.9,13,10,13.3,28,93.3,2,10,,,,21.3,64.2,75.7,,59.1,,,66.4,,,0,0,32,30.0,124.9,10.7,3,4,0,0,2,3,9.4,199,9.5,73.7,19,19,11.5,2.18,0,0,0.0,63.2,12,8,14.3,24,80.0,2,7,,,,29.1,63.0,75.4,,59.3,,,64.2,,,0,0,27,25.0,90.2,8.3,2,3,0,0,0,2,7.4,162,8.5,75.0,4,4,17.8,2.43,0,0,0.0,75.0,3,2,0.0,6,20.0,0,3,,,,13.4,66.6,69.1,,60.7,,,64.0,,,0,0,7,50.0,152.1,16.7,1,1,0,0,2,1,14.3,46,11.5,0,100.0,2,2,-1.0,1.4,0,0,0.0,100.0,2,0,0.0,2,6.7,0,0,,,,61.8,62.8,65.5,,62.6,,,,,,0,0,2,,85.4,0.0,0,0,0,0,0,0,0.0,9,4.5,2.97
Adrian Martinez,83522,QB,NEBRASKA,1,40.0,0,30,238,70.0,20,23,11.1,2.87,1,3,11.5,60.9,14,11,0.0,25,83.3,0,12,,,,32.0,64.7,76.2,,61.9,,,63.7,,,1,1,29,9.1,118.3,4.0,1,1,0,1,3,2,6.9,243,10.6,60.0,15,18,10.9,2.75,0,2,9.5,50.0,9,9,0.0,20,66.7,0,6,,,,29.4,58.2,75.9,,53.4,,,63.7,,,1,1,24,11.1,43.1,5.0,1,1,0,2,0,1,4.2,97,5.4,100.0,9,10,5.0,2.72,1,1,10.0,90.0,9,2,0.0,10,33.3,0,7,,,,65.4,77.8,70.1,,77.3,,,,,,0,0,10,0.0,158.3,0.0,0,0,0,0,3,1,10.0,194,19.4,0,100.0,4,5,-3.0,2.06,0,0,0.0,80.0,4,0,0.0,5,16.7,0,1,,,,63.8,62.6,68.1,,62.4,,,,,,0,0,5,,106.7,0.0,0,0,0,1,0,0,0.0,48,9.6,14.01
Cameron Rising,77663,QB,UTAH,1,0.0,0,30,328,90.0,20,21,13.6,2.48,0,3,13.0,76.2,16,5,11.1,23,76.7,2,13,,,,29.5,88.6,76.2,,91.9,,,48.6,,,1,0,25,40.0,157.2,8.7,2,0,0,0,3,0,0.0,269,12.8,92.3,13,14,5.7,2.21,0,1,6.3,78.6,11,5,8.3,16,53.3,1,6,,,,27.2,64.4,75.7,,72.7,,,48.6,,,1,0,18,40.0,106.8,12.5,2,0,0,0,0,0,0.0,135,9.6,92.3,13,14,14.2,2.36,0,2,14.3,78.6,11,0,8.3,14,46.7,1,8,,,,66.2,93.7,71.2,,93.3,,,,,,0,0,14,,157.1,0.0,0,0,0,1,3,0,0.0,171,12.2,0,100.0,6,7,-2.0,1.63,0,0,0.0,85.7,6,0,0.0,7,23.3,0,1,,,,64.6,64.2,69.1,,63.9,,,,,,0,0,7,,88.7,0.0,0,0,0,1,0,0,0.0,37,5.3,2.57
Jeff Sims,122496,QB,GA TECH,1,-33.82,0,30,176,44.4,18,21,19.7,3.67,1,3,13.6,38.1,8,10,0.0,26,86.7,0,8,,,,71.4,71.7,76.5,,59.1,,,77.2,,,0,2,27,10.0,68.7,3.8,1,4,0,2,2,2,7.4,215,10.2,62.5,16,17,14.9,3.49,1,2,11.1,58.8,10,9,0.0,22,73.3,0,8,,,,71.3,79.9,76.2,,68.3,,,77.2,,,0,2,23,11.1,102.8,4.5,1,4,0,0,2,2,8.7,279,16.4,33.3,6,8,19.0,3.49,0,1,12.5,25.0,2,2,0.0,8,26.7,0,1,,,,64.9,50.8,69.5,,50.8,,,,,,0,0,8,0.0,79.2,0.0,0,0,0,2,1,0,0.0,18,2.3,0,100.0,4,4,-0.5,2.35,0,0,0.0,100.0,4,1,0.0,4,13.3,0,1,,,,63.3,73.4,67.4,,73.0,,,,,,0,0,4,0.0,158.3,0.0,0,0,0,0,1,0,0.0,82,20.5,-14.16
Jake Bentley,40788,QB,S ALABAMA,1,13.33,0,29,288,78.3,23,23,8.6,2.69,0,1,3.7,69.6,16,6,11.1,26,89.7,2,11,,,,68.8,69.7,77.1,,68.7,,,61.1,,,0,1,30,16.7,104.1,3.8,1,2,0,0,2,2,6.7,183,8.0,75.0,20,20,5.4,2.23,0,0,0.0,70.0,14,2,6.7,21,72.4,1,5,,,,68.2,56.4,76.8,,56.5,,,55.9,,,0,1,24,0.0,74.2,0.0,0,1,0,0,1,2,8.3,86,4.3,100.0,6,6,13.5,3.48,0,1,14.3,83.3,5,4,16.7,8,27.6,1,6,,,,65.1,90.3,69.8,,87.6,,,64.1,,,0,0,9,25.0,158.3,12.5,1,1,0,0,1,0,0.0,100,16.7,0,100.0,3,3,-3.0,1.53,0,0,0.0,100.0,3,0,0.0,3,10.3,0,0,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,3,1.0,12.37
