player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Nicholas Singleton,164188,HB,PENN STATE,1,11,3,3,69.5,73,0,105,0,0,3,63,114.5,3,4,266,0,6,73.7,70.4,76.3,,55.7,64.1,73.0,55.5,41,0,43,4,24,18,0,0,6,15,0,105,63,5.73,9.5,1.79,5
Carson Hansen,174669,HB,IOWA STATE,1,9,2,0,0.0,0,0,41,0,0,2,33,52.4,0,3,193,0,6,73.4,66.5,76.5,,29.2,67.3,67.5,60.0,9,0,12,5,22,11,0,0,5,14,0,41,33,3.67,4.6,0.55,3
Ethan Payne,145269,HB,MARSHALL,1,9,1,1,38.5,15,0,39,0,0,1,30,33.3,1,4,214,0,1,72.6,62.9,73.5,,29.4,60.7,67.1,46.8,15,0,0,1,7,13,0,0,1,10,1,39,30,3.33,4.3,0.0,8
Darian Mensah,169984,QB,TULANE,1,8,2,0,0.0,0,0,20,0,0,1,8,200.0,2,4,319,2,0,20.8,49.5,76.0,48.3,,,57.7,60.0,13,0,0,0,0,20,32,6,0,2,0,52,14,1.75,6.5,,0
Noah Short,163220,HB,ARMY,1,8,1,1,34.0,17,0,50,0,0,1,14,19.4,2,2,114,0,3,72.0,58.8,77.1,,,76.7,55.5,60.6,17,0,8,1,3,43,0,0,1,9,0,50,14,1.75,6.3,2.67,2
Kevin Jennings,158272,QB,SMU,1,8,0,1,54.5,24,0,44,0,0,0,7,0.0,1,2,287,1,4,47.1,78.0,77.8,73.9,62.2,,71.6,60.0,24,0,0,0,0,31,0,0,0,8,1,44,7,0.88,5.5,,3
Abu Sama III,174686,HB,IOWA STATE,1,8,0,1,59.3,16,0,27,0,0,0,11,0.0,2,2,193,2,5,9.1,35.2,72.3,,,57.4,37.9,60.0,16,0,0,0,4,11,0,0,0,8,0,27,11,1.38,3.4,0.0,3
Dre Washington,147143,HB,LA LAFAYET,1,8,0,0,0.0,0,0,19,0,0,0,14,0.0,0,1,207,0,2,72.1,66.1,73.1,,28.1,63.0,66.5,60.0,6,0,13,2,6,9,0,0,2,10,0,19,14,1.75,2.4,2.17,5
Dillon Gabriel,86272,QB,OREGON,1,7,0,0,0.0,0,0,2,0,0,0,4,0.0,1,2,264,1,1,34.6,79.5,77.2,84.9,,,53.4,60.2,11,0,0,0,0,40,14,2,0,5,0,16,23,3.29,2.3,,2
Daniel Beale,197861,QB,LA LAFAYET,1,7,1,0,0.0,0,0,0,0,0,0,3,0.0,0,0,207,0,0,69.5,45.5,75.5,52.4,,,44.4,60.0,9,1,0,0,0,14,14,5,0,2,0,14,10,1.43,2.0,,0
Sam Leavitt,175465,QB,ARIZONA ST,1,6,3,0,0.0,0,0,-1,0,0,1,3,75.0,2,4,110,0,2,68.7,71.1,75.2,63.4,,60.0,71.8,60.0,14,0,0,0,1,20,42,4,0,2,1,41,35,5.83,6.8,0.0,0
Jeff Sims,122496,QB,ARIZONA ST,1,6,1,0,0.0,0,0,31,0,0,1,16,44.4,1,2,110,0,6,70.5,90.7,70.7,,,,79.8,60.0,12,1,0,0,0,11,0,0,0,6,0,31,16,2.67,5.2,,0
Zylan Perry,156734,HB,LA LAFAYET,1,6,0,0,0.0,0,0,25,1,0,0,10,0.0,0,0,207,0,1,71.3,53.6,74.4,,79.0,36.0,61.3,54.6,6,0,0,0,18,9,0,0,1,6,0,25,10,1.67,4.2,0.0,5
Gunner Stockton,157072,QB,GEORGIA,1,6,1,0,0.0,0,0,23,0,0,1,12,48.0,0,2,173,1,1,70.3,53.5,75.2,49.1,,,61.7,60.0,9,0,0,0,0,24,3,1,0,5,0,26,12,2.0,4.3,,0
Drew Allar,164157,QB,PENN STATE,1,6,1,0,0.0,0,0,14,0,0,0,5,0.0,2,3,266,0,3,70.8,68.2,78.0,65.2,,57.2,68.6,60.3,22,0,0,0,0,32,35,2,0,4,1,49,28,4.67,8.2,,0
Jai'Den Thomas,174080,HB,UNLV,1,6,1,0,0.0,0,0,10,0,2,1,10,71.4,0,1,325,0,4,70.7,59.7,74.8,,68.0,63.3,57.9,57.9,4,0,6,1,11,12,0,0,1,7,0,10,10,1.67,1.7,0.55,2
Nate Frazier,191146,HB,GEORGIA,1,6,1,1,34.1,15,0,44,0,0,1,17,40.5,2,1,173,1,2,18.9,75.0,72.5,,74.4,70.7,73.6,59.5,15,0,9,1,7,8,0,0,1,7,0,44,17,2.83,7.3,1.29,4
DeCarlos Brooks,70933,HB,ARIZONA ST,1,5,1,0,0.0,0,0,12,0,0,1,17,68.0,1,1,110,0,4,69.7,65.9,72.9,,,,62.3,68.0,11,0,0,0,0,14,0,0,0,5,0,12,17,3.4,2.4,,1
Rocco Becht,157567,QB,IOWA STATE,1,5,2,0,0.0,0,0,8,0,0,0,1,0.0,1,4,193,0,1,70.4,90.2,76.7,81.9,,,83.7,60.0,10,0,0,0,0,24,15,2,0,3,0,23,21,4.2,4.6,,0
Greg Burrell,184204,HB,UNLV,1,5,6,2,102.1,48,0,47,0,0,6,53,1272.0,2,2,325,0,3,69.7,88.5,74.8,,55.6,57.3,92.1,58.5,31,0,0,0,5,10,0,0,0,5,1,47,53,10.6,9.4,0.0,2
Jay Haynes,170010,HB,CLEMSON,1,5,0,0,0.0,0,0,15,0,0,0,10,0.0,0,0,140,0,3,70.3,57.6,73.4,,56.2,56.4,58.8,60.0,7,0,3,1,8,10,0,0,1,6,0,15,10,2.0,3.0,0.38,2
Andrew Paul,124736,HB,JVILLE ST,1,5,1,0,0.0,0,0,8,0,0,1,9,36.0,0,0,196,0,1,69.7,58.6,70.1,,72.7,,58.5,59.8,8,0,0,0,0,8,0,0,0,5,0,8,9,1.8,1.6,,4
Bill Davis,176332,HB,LA LAFAYET,1,4,0,0,0.0,0,0,-2,0,0,0,4,0.0,0,1,207,0,1,68.6,62.5,71.5,,70.0,56.6,63.3,,1,0,0,0,6,4,0,0,0,4,0,-2,4,1.0,-0.5,0.0,3
Jordan Brunson,123342,HB,MIAMI OH,1,4,0,0,0.0,0,0,17,0,0,0,9,0.0,0,1,221,0,0,68.6,73.9,67.3,,,,70.7,,9,0,0,0,0,4,0,0,0,4,0,17,9,2.25,4.3,,4
