player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
LJ Martin,175035,HB,BYU,1,15,2,1,27.6,16,0,53,0,1,2,36,37.9,2,5,128,0,4,75.6,73.6,78.1,,80.8,72.0,71.9,57.5,16,0,36,4,21,31,0,0,5,19,0,58,36,2.4,3.9,1.71,11
Trequan Jones,204200,HB,DOMINION,1,16,3,1,24.1,21,0,87,0,0,3,55,64.5,1,4,263,1,9,28.0,76.2,75.7,,78.6,56.3,74.1,60.0,21,0,0,0,4,19,0,0,0,16,0,87,55,3.44,5.4,0.0,6
Shomari Lawrence,141839,HB,MO STATE,1,16,7,2,67.9,53,0,78,1,0,7,54,147.7,3,2,230,0,6,75.5,71.7,76.7,,24.5,33.2,78.8,58.3,32,0,0,0,11,21,0,0,1,16,1,78,54,3.38,4.9,0.0,10
Trent Howland,144833,HB,OKLA STATE,1,16,2,1,21.4,18,0,84,0,0,2,73,50.7,4,7,262,0,7,75.5,75.1,75.2,73.1,77.7,65.6,71.4,59.2,18,0,14,2,10,19,0,0,3,18,2,84,73,4.56,5.3,1.4,9
Caleb Hawkins,199001,HB,N TEXAS,1,16,9,3,45.7,64,0,140,0,3,9,115,479.2,5,7,251,0,8,76.2,90.3,75.2,,,81.3,86.1,60.0,27,0,78,2,11,22,0,0,3,18,2,140,115,7.19,8.8,7.09,8
Dylan Riley,190996,HB,BOISE ST,1,16,0,0,0.0,0,0,46,0,0,0,29,0.0,0,0,120,0,8,75.5,60.1,74.2,,,57.6,60.3,,6,0,0,1,8,16,0,0,1,17,0,46,29,1.81,2.9,0.0,8
Quinton Jackson,163001,HB,RICE,1,15,2,1,25.0,15,0,60,0,0,2,35,31.1,2,4,275,0,6,75.3,57.2,75.7,,10.2,55.4,63.5,55.2,15,0,0,0,9,20,0,0,0,15,0,60,35,2.33,4.0,0.0,9
Mike Washington Jr.,145672,HB,ARKANSAS,1,15,1,2,57.1,36,0,63,0,0,1,31,12.9,2,4,111,0,9,75.5,66.2,77.3,,39.8,57.2,68.3,58.4,21,0,6,1,14,25,0,0,1,16,0,63,31,2.07,4.2,0.43,6
London Montgomery,170288,HB,E CAROLINA,1,15,5,0,0.0,0,0,58,0,0,5,45,100.0,0,3,156,0,4,75.2,61.8,75.5,,0.0,52.5,67.5,58.8,8,0,0,0,16,18,0,0,1,15,0,58,45,3.0,3.9,0.0,11
Roman Hemby,144891,HB,INDIANA,1,15,6,3,55.8,48,0,86,0,0,6,61,152.5,3,3,190,1,6,27.7,65.4,75.8,,39.6,60.4,66.9,60.0,16,0,5,1,8,21,0,0,1,16,0,86,61,4.07,5.7,0.63,6
Javin Gordon,199370,HB,TULANE,1,15,2,1,32.1,25,0,78,0,0,2,41,36.4,2,4,319,0,10,75.5,74.0,76.7,,32.4,53.9,77.4,58.6,25,0,0,0,17,19,0,0,0,15,3,78,41,2.73,5.2,0.0,5
Terion Stewart,130386,HB,VA TECH,1,15,11,1,48.9,85,0,174,1,0,11,153,748.0,7,7,337,0,4,75.2,74.9,0.0,,72.0,30.3,85.8,59.2,85,1,0,0,19,20,0,0,2,15,0,174,153,10.2,11.6,0.0,11
Liam Szarka,197814,QB,AIR FORCE,1,15,2,2,61.8,94,0,145,0,0,2,30,30.6,2,3,101,0,11,74.0,91.4,75.4,92.0,,57.8,72.1,60.0,64,0,0,0,1,30,7,1,0,14,0,152,30,2.0,10.1,0.0,0
Turbo Richard,190199,HB,BOSTON COL,1,15,4,2,57.3,98,0,171,1,0,4,132,185.3,4,8,121,0,12,75.6,74.9,0.0,,70.9,58.5,82.5,,71,1,19,4,31,16,0,0,5,19,2,171,132,8.8,11.4,0.61,3
Cam Edwards,158615,HB,UCONN,1,15,3,0,0.0,0,0,57,0,0,3,38,44.7,1,3,146,0,3,75.2,73.2,77.0,,9.6,64.8,77.5,60.0,12,0,10,2,19,16,0,0,2,17,1,57,38,2.53,3.8,0.53,12
Nate Sheppard,198337,HB,DUKE,1,15,2,3,58.3,98,0,168,0,0,2,54,37.9,6,7,154,0,4,75.3,79.0,76.7,,76.6,65.6,78.6,,49,0,33,4,14,15,0,0,5,19,2,168,54,3.6,11.2,2.36,11
Kaden Feagin,174024,HB,ILLINOIS,1,14,1,0,0.0,0,0,58,0,0,1,29,13.9,1,3,187,1,5,74.0,62.3,74.3,,26.8,77.8,60.0,59.7,11,0,67,3,13,16,2,1,3,16,0,60,30,2.14,4.3,5.15,8
Nahree Biggins,145711,HB,C MICHIGAN,1,14,2,2,68.1,77,0,113,0,0,2,77,64.7,2,3,134,0,11,74.9,77.2,76.7,,73.8,72.6,76.5,58.0,49,0,23,3,11,25,0,0,3,17,1,113,77,5.5,8.1,2.09,3
Duke Watson,190596,HB,LOUISVILLE,1,14,5,1,31.9,15,0,47,0,0,5,40,95.2,1,2,210,0,6,74.8,60.6,75.4,,15.0,62.0,63.5,60.0,15,0,3,1,10,16,0,0,1,15,0,47,40,2.86,3.4,0.3,8
NaQuari Rogers,160350,HB,UTAH,1,14,4,1,31.1,19,0,61,0,0,4,44,83.8,2,5,328,0,12,74.8,62.6,74.9,,77.0,57.8,62.3,59.7,19,0,5,1,8,17,0,0,1,15,0,61,44,3.14,4.4,0.63,2
Jeremiyah Love,171090,HB,NOTRE DAME,1,14,3,1,26.3,15,0,57,0,1,3,46,69.2,2,5,258,0,5,74.9,79.5,75.2,,49.8,78.0,77.2,,15,0,70,5,18,14,0,0,5,19,2,57,46,3.29,4.1,3.89,9
Kaidon Salter,132046,QB,COLORADO,1,14,5,1,22.6,19,0,58,0,0,2,17,53.1,2,7,143,0,1,71.8,60.6,76.4,45.0,,,70.7,60.9,19,0,0,0,0,28,26,6,0,8,1,84,40,2.86,6.0,,7
Dominic Richardson,122985,HB,TULSA,1,14,3,0,0.0,0,0,48,0,0,3,38,47.9,0,1,320,0,4,74.9,61.4,77.2,,47.6,67.3,60.2,60.0,8,0,19,3,21,17,0,0,3,17,0,48,38,2.71,3.4,0.9,10
Zylan Perry,156734,HB,LA LAFAYET,1,14,4,2,58.7,44,0,75,0,0,4,59,105.4,2,2,207,0,4,74.8,62.9,76.8,,72.7,64.3,62.8,54.8,25,0,18,2,18,20,0,0,2,16,2,75,59,4.21,5.4,1.0,10
Bill Davis,176332,HB,LA LAFAYET,1,14,3,0,0.0,0,0,45,0,0,3,34,48.6,2,3,207,0,4,74.8,67.7,74.5,,78.2,72.0,65.1,60.0,12,0,16,1,6,16,0,0,1,15,0,45,34,2.43,3.2,2.67,10
Tommy Castellanos,158433,QB,FLORIDA ST,1,14,2,2,47.5,38,0,58,0,0,2,38,52.8,3,4,167,1,5,43.9,86.5,77.9,89.9,,59.9,63.8,60.2,22,0,0,0,1,45,22,2,0,12,1,80,38,2.71,5.7,0.0,2
Brendon Lewis,131687,QB,MEMPHIS,1,14,3,2,36.3,33,0,45,0,0,1,25,51.0,4,3,218,1,4,35.1,73.8,76.6,70.8,,,66.5,60.0,18,0,0,0,0,33,46,7,0,7,2,91,47,3.36,6.5,,2
Isaac Brown,183312,HB,LOUISVILLE,1,14,3,0,0.0,0,0,20,0,0,3,29,34.5,0,3,210,0,6,75.3,53.1,78.5,,13.9,57.9,56.9,60.0,9,0,16,4,25,17,0,0,4,18,0,20,29,2.07,1.4,0.64,8
Colton Joseph,172283,QB,DOMINION,1,14,4,3,70.8,63,0,89,0,0,4,47,95.9,4,6,263,1,10,42.1,69.9,23.3,70.1,,,64.7,60.0,23,1,0,0,0,43,0,0,0,14,0,89,47,3.36,6.4,,3
Bishop Davenport,163426,QB,S ALABAMA,1,13,0,1,44.7,34,0,56,0,0,0,49,0.0,2,5,288,0,6,72.9,59.6,29.1,53.3,,,68.8,60.0,34,1,0,0,0,39,20,4,0,9,1,76,53,4.08,5.8,,3
Dante Dowdell,174131,HB,KENTUCKY,1,13,0,0,0.0,0,0,24,0,0,0,26,0.0,0,4,202,0,9,74.4,58.8,74.9,,74.9,55.3,61.4,47.1,9,0,0,0,9,14,0,0,0,13,0,24,26,2.0,1.8,0.0,4
Jadarian Price,156985,HB,NOTRE DAME,1,13,2,2,41.9,36,0,86,0,1,2,30,49.5,3,5,258,0,7,74.4,71.5,74.0,,16.7,72.8,71.5,,20,0,35,1,11,13,0,0,1,14,1,86,30,2.31,6.6,3.18,6
Makenzie McGill II,173209,HB,N TEXAS,1,13,2,0,0.0,0,0,47,0,0,2,36,42.6,0,3,251,0,6,74.4,56.9,75.2,,58.5,53.1,57.9,60.1,8,0,0,0,16,18,0,0,0,13,0,47,36,2.77,3.6,0.0,6
Broc Lowry,173383,QB,W MICHIGAN,1,13,2,0,0.0,0,0,52,0,0,2,39,64.5,0,6,347,1,5,36.0,76.7,76.2,76.4,,,65.6,60.0,9,0,0,0,0,35,6,2,0,11,1,58,44,3.38,4.5,,6
Marquis Gillis,151714,HB,DELWARE ST,1,13,2,2,74.8,92,0,123,0,0,2,83,98.2,3,4,152,0,2,74.4,78.0,71.9,,,56.9,76.3,60.0,75,0,0,0,5,14,0,0,0,13,2,123,83,6.38,9.5,0.0,10
Landon Sims,146065,HB,HAWAII,1,13,1,1,26.3,15,0,57,1,1,1,47,48.2,2,4,180,0,4,74.5,68.8,76.7,,86.6,51.1,69.9,58.1,15,0,37,2,17,20,0,0,3,15,1,57,47,3.62,4.4,2.18,7
Jordan Gant,159654,HB,AKRON,1,13,2,0,0.0,0,0,22,0,0,2,27,27.7,0,2,102,0,0,74.5,67.4,75.0,,82.6,63.9,66.7,54.9,7,0,1,2,9,21,0,0,3,15,0,22,27,2.08,1.7,0.11,13
Braylon McReynolds,157876,HB,LA MONROE,1,13,9,2,56.0,42,0,75,0,2,9,68,411.0,3,4,209,0,6,74.0,86.1,76.4,,78.1,77.1,83.6,59.2,24,0,6,1,9,15,0,0,1,14,1,75,68,5.23,5.8,0.67,6
Dontae McMillan,103994,HB,E MICHIGAN,1,13,5,0,0.0,0,0,71,0,1,5,34,98.1,2,3,160,0,1,74.5,66.5,75.5,,78.3,63.7,64.5,71.3,14,0,33,3,18,18,0,0,3,16,0,71,34,2.62,5.5,1.83,12
Jalen Dupree,191053,HB,COLO STATE,1,13,2,1,39.7,27,0,68,1,0,2,46,44.2,2,4,144,0,1,74.5,63.6,74.0,,72.6,44.5,66.1,60.0,27,0,17,3,18,15,0,0,4,16,0,68,46,3.54,5.2,0.94,12
Scottre Humphrey,176767,HB,NEW MEXICO,1,13,0,0,0.0,0,0,41,0,0,0,22,0.0,1,3,241,1,2,26.0,53.2,74.2,,72.5,27.9,60.1,,10,0,8,1,7,12,0,0,1,14,0,41,22,1.69,3.2,1.14,10
Avery Johnson,173108,QB,KANSAS ST,1,13,2,0,0.0,0,0,20,0,0,0,7,0.0,4,2,199,2,4,22.5,74.8,77.4,73.5,,60.0,66.1,60.1,25,0,0,0,1,41,58,4,0,9,0,78,12,0.92,6.0,0.0,2
Ismail Mahdi,161419,HB,ARIZONA,1,13,2,2,48.2,41,0,85,0,0,2,37,35.6,3,5,109,0,4,75.1,65.0,76.5,,77.8,63.5,63.8,60.0,23,0,8,3,22,16,0,0,3,16,0,85,37,2.85,6.5,0.36,9
Parker Jenkins,173047,HB,E CAROLINA,1,13,5,0,0.0,0,0,36,0,0,5,31,91.7,0,1,156,0,6,74.4,66.6,73.2,,71.6,53.7,67.8,55.0,6,0,0,0,6,17,0,0,0,13,0,36,31,2.38,2.8,0.0,7
