player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Ozzy Trapilo,123552,T,BOSTON COL,1,0,121,86.1,0,0,16,100.0,100.0,100.0,0,0,0,16,16,83.1,0,0,6,100.0,100.0,100.0,0,0,6,6
Dante Bivens,77317,G,COLO STATE,1,0,144,74.3,0,0,16,100.0,100.0,100.0,0,0,0,16,16,65.8,0,0,8,100.0,100.0,100.0,0,0,8,8
Elijah Fisher,127950,G,LA MONROE,1,0,209,70.5,0,0,15,100.0,100.0,100.0,0,0,0,16,16,52.1,0,0,4,100.0,100.0,100.0,0,0,4,4
Steven Hubbard,122021,T,UTEP,1,0,330,74.9,0,0,15,100.0,100.0,100.0,0,0,0,16,16,52.3,0,0,3,100.0,100.0,100.0,0,0,3,3
Justin Mayers,100808,G,UTEP,1,0,330,82.0,0,0,15,100.0,100.0,100.0,1,0,0,16,16,76.1,0,0,3,100.0,100.0,100.0,0,0,3,3
Ben Sparks,121949,G,SMU,1,0,287,83.6,0,0,13,100.0,100.0,100.0,0,0,0,16,16,77.0,0,0,2,100.0,100.0,100.0,0,0,3,3
Nick Lowe,156100,G,LA MONROE,1,0,209,40.3,0,1,14,100.0,100.0,96.4,0,1,0,15,15,44.2,0,0,3,100.0,100.0,100.0,0,0,3,3
Luke Kandra,52487,G,LOUISVILLE,1,0,210,80.1,0,0,14,100.0,100.0,100.0,0,0,0,15,15,71.3,0,0,1,100.0,100.0,100.0,0,0,1,1
Andrew Meyer,81910,C,UTEP,1,0,330,79.4,0,0,14,100.0,100.0,100.0,0,0,0,15,15,74.9,0,0,3,100.0,100.0,100.0,0,0,3,3
Trey Simpson,81836,C,S ALABAMA,1,0,288,57.7,0,0,14,100.0,100.0,100.0,0,0,0,15,15,74.2,0,0,2,100.0,100.0,100.0,0,0,2,2
