player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
TyMir Brown,143960,CB,E CAROLINA,1,0,0,100.0,0,0,156,0,0,62.3,58.2,74.2,,46.4,28.1,0,0,0,0,15,50.0,1,0,0,118.8,1,0,0,3,27,19,31,0,0,0,0,0,0,31,0,12,1,0,1,0,1,0,0,15,0,15.0
Dontavius Nash,143972,CB,E CAROLINA,1,1,0,100.0,0,0,156,0,0,59.1,52.5,75.8,54.1,36.1,66.7,0,1,0,1,15,11.1,1,0,0,111.7,5,0,0,3,46,29,50,0,0,0,0,0,0,50,2,19,1,1,7,0,5,1,1,54,2,10.8
Sean Brown,143986,LB,NC STATE,1,1,0,,0,0,248,0,0,71.2,66.1,79.2,69.4,54.9,63.3,0,1,0,0,,11.1,1,0,0,0.0,0,0,0,36,0,26,70,30,0,0,30,0,0,40,10,34,4,2,7,1,0,1,0,0,0,
Travali Price,144002,ED,NC STATE,1,0,0,,0,0,248,0,0,61.6,63.9,77.4,62.8,54.0,74.6,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,56,56,0,2,10,44,0,0,29,27,0,2,3,1,0,2,0,0,0,
Tamarion Crumpley,144018,CB,PITTSBURGH,1,0,0,100.0,0,0,268,0,0,63.8,64.6,74.3,,62.1,26.9,0,0,0,0,-5,100.0,1,0,0,79.2,1,0,0,1,30,22,31,0,0,0,0,0,0,31,0,9,0,0,0,0,1,0,0,-5,0,-5.0
Javon McIntyre,144029,S,PITTSBURGH,1,2,0,80.0,0,0,268,0,0,54.2,56.4,76.9,,65.0,82.2,0,0,0,0,67,0.0,0,0,0,158.3,4,0,0,19,0,32,47,0,0,0,0,0,2,47,0,15,26,1,4,0,5,0,1,114,71,28.5
Phillip O'Brien Jr.,144033,S,PITTSBURGH,1,0,0,0.0,0,0,268,1,0,59.6,61.4,75.9,,62.4,74.3,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,17,0,37,43,0,0,0,0,0,10,43,0,6,16,0,1,0,1,0,0,0,0,
Duce Chestnut,144040,S,SYRACUSE,1,0,0,100.0,0,0,304,0,0,63.1,63.7,77.2,,62.8,63.1,0,0,0,0,29,16.7,1,0,0,118.8,2,0,0,28,2,40,67,3,0,0,3,0,26,64,0,27,8,5,5,0,2,0,0,35,8,17.5
Elijah Fuentes-Cundiff,144045,DI,SYRACUSE,1,1,0,,0,0,304,0,0,59.9,60.7,72.9,58.4,62.3,27.6,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,1,15,15,3,12,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,
Jatius Geer,144047,ED,S CAROLINA,1,0,0,,0,0,289,0,0,,59.2,72.5,56.9,60.9,,1,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,4,6,0,0,0,0,0,1,0,0,0,
Terry Lockett Jr.,144053,DI,JAMES MAD,1,0,0,,0,0,197,0,0,,72.4,72.2,62.7,71.3,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,16,16,0,13,0,3,0,0,10,6,0,0,0,0,0,1,0,0,0,
Clay Masters,144057,CB,SYRACUSE,1,0,0,100.0,0,0,304,0,0,59.0,59.1,71.2,,60.0,73.5,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,0,10,9,10,0,0,0,0,0,0,10,0,1,0,0,1,0,1,0,0,6,2,6.0
Derek McDonald,144059,LB,SYRACUSE,1,0,0,100.0,0,0,304,0,0,56.3,41.6,71.3,,60.7,,0,0,0,0,22,,0,0,0,118.8,1,0,0,4,0,2,6,1,0,0,1,0,0,5,0,4,1,0,0,0,1,0,0,22,2,22.0
Tommy Porter,144064,S,SYRACUSE,1,0,0,,0,0,304,0,0,62.4,63.2,69.5,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,
Will Johnson,144083,LB,VA TECH,1,0,0,100.0,0,0,337,0,0,54.9,52.5,66.2,,,26.3,0,0,0,0,9,100.0,1,0,0,104.2,1,0,0,4,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,9,5,9.0
Jaden Keller,144086,LB,VA TECH,1,1,0,75.0,0,0,337,0,0,51.7,59.6,75.9,55.7,71.0,82.2,0,0,0,0,12,0.0,0,0,0,137.5,3,0,0,58,0,26,62,0,0,0,0,0,0,62,4,32,4,3,5,0,4,0,1,32,17,10.7
Jorden McDonald,144093,ED,VA TECH,1,0,0,,0,0,337,0,0,,70.7,69.1,60.0,66.9,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,0,6,3,0,0,3,0,0,3,1,5,0,1,1,0,0,0,0,0,0,
Cole Nelson,144096,ED,VA TECH,1,3,0,100.0,0,0,337,0,0,63.6,56.8,78.8,54.7,55.8,53.1,0,1,0,0,6,14.3,1,0,0,91.7,1,0,0,1,0,2,52,51,0,0,47,4,0,1,24,26,0,1,3,0,1,1,0,6,5,6.0
Andrew Mukuba,144129,S,TEXAS,1,2,0,50.0,0,0,311,0,0,76.1,76.3,78.3,,72.1,70.6,0,0,0,1,7,10.0,1,0,0,18.8,1,0,0,21,2,57,102,0,0,0,0,0,68,102,0,45,11,4,7,0,2,0,0,7,0,7.0
