player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Coziah Izzard,129784,DI,PENN STATE,1,0,0,,0,0,266,0,0,,57.7,75.8,56.7,58.7,73.2,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,46,45,0,45,0,0,0,1,25,21,0,3,3,0,0,2,0,0,0,
Amin Vanover,129797,ED,PENN STATE,1,0,0,100.0,0,0,266,0,0,68.1,62.6,0.0,65.2,61.3,29.1,0,0,0,0,9,33.3,1,0,1,100.0,2,0,0,0,0,3,31,31,0,1,30,0,0,0,15,13,0,2,2,0,2,0,0,16,26,8.0
CJ West,130507,DI,INDIANA,1,3,0,,0,0,190,0,0,60.0,81.4,78.7,60.1,85.8,74.9,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,42,42,29,13,0,0,0,0,21,21,0,3,3,1,0,1,0,0,0,
Omarr Norman-Lott,131624,DI,TENNESSEE,1,0,0,,0,0,307,0,0,,55.1,71.8,65.6,50.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,13,13,0,12,1,0,0,0,7,6,0,0,0,0,0,0,0,0,0,
Mikail Kamara,138455,ED,INDIANA,1,2,0,,0,0,190,0,0,60.9,58.6,78.5,60.4,55.4,27.4,1,6,0,0,,50.0,3,0,0,0.0,0,0,0,0,0,4,67,67,0,0,49,18,0,0,36,27,0,1,1,0,0,7,0,0,0,
Shawn Asbury II,143814,S,INDIANA,1,0,0,66.7,0,0,190,0,0,66.8,63.5,78.4,,54.3,34.1,0,0,0,0,9,33.3,3,1,0,81.3,2,0,0,35,0,40,63,4,0,0,4,0,20,59,0,23,4,1,6,1,3,0,0,17,9,8.5
Barrett Carter,144109,LB,CLEMSON,1,0,0,66.7,0,0,140,0,0,41.8,51.5,79.9,57.2,64.3,80.6,0,0,0,0,21,0.0,0,0,0,99.3,2,0,0,41,1,29,75,27,0,0,27,0,0,48,3,43,6,3,5,0,3,0,0,30,27,15.0
Cade Denhoff,144114,ED,CLEMSON,1,0,0,,0,0,140,0,0,60.5,55.0,78.2,53.7,57.0,71.1,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,36,36,0,0,35,1,0,0,20,14,0,0,1,0,0,1,0,0,0,
Andrew Mukuba,144129,S,TEXAS,1,2,0,,0,0,311,0,0,76.6,76.5,76.3,,67.9,80.5,0,0,0,0,,0.0,0,1,0,0.0,0,0,0,7,1,34,49,0,0,0,0,0,33,49,0,15,8,0,1,0,0,0,0,0,0,
Payton Page,144131,DI,CLEMSON,1,3,0,,0,0,140,0,0,59.6,73.3,76.4,59.1,77.2,76.4,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,56,56,5,50,0,1,0,0,21,34,0,3,4,0,0,1,0,0,0,
Isaiah Nwokobia,144373,S,SMU,1,1,0,100.0,0,0,287,0,0,62.5,60.8,76.8,59.1,58.0,60.8,0,0,0,0,15,16.7,1,0,0,118.8,2,0,0,30,2,28,62,2,0,0,2,0,21,60,1,33,7,0,4,0,2,0,0,28,23,14.0
Jalen McMurray,144393,CB,TENNESSEE,1,0,0,100.0,0,0,307,0,0,56.3,49.3,72.0,,45.0,27.9,0,0,0,0,6,50.0,1,0,0,79.2,2,0,0,1,15,7,16,0,0,0,0,0,0,16,0,9,0,1,1,0,2,0,0,4,2,2.0
Jamier Johnson,144730,CB,INDIANA,1,1,0,100.0,0,0,190,0,0,56.4,50.6,72.3,,46.5,28.1,0,0,0,0,10,50.0,1,0,0,108.3,1,0,0,0,13,7,14,0,0,0,0,0,0,14,0,7,1,0,0,0,1,0,0,10,6,10.0
Michael Taaffe,144732,S,TEXAS,1,1,0,60.0,0,0,311,0,0,52.2,53.3,78.8,,58.8,24.3,0,0,0,0,28,60.0,3,2,0,143.8,3,0,0,8,0,41,55,0,0,0,0,0,39,55,0,14,8,1,1,0,5,0,1,63,9,21.0
