player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
O.J. Burroughs,144581,S,KANSAS,1,2,0,,0,0,198,0,0,63.6,61.9,72.4,,59.0,49.4,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,10,0,10,26,0,0,0,0,0,11,26,0,16,5,1,1,0,0,0,0,0,0,
Edwin White-Schultz,144583,S,KANSAS,1,0,0,,0,0,198,0,0,60.0,64.7,69.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,3,1,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,
Marvin Martin,144606,S,KANSAS ST,1,0,0,,0,0,199,0,0,64.2,67.2,72.3,,66.3,78.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,8,0,7,14,0,0,0,0,0,1,14,0,7,5,0,2,0,0,0,0,0,0,
Isaiah Coe,144619,DI,OKLAHOMA,1,0,0,,0,0,261,0,0,,71.4,72.6,71.2,61.0,,2,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,13,13,3,9,0,1,0,0,10,3,0,0,0,0,0,2,0,0,0,
Ethan Downs,144636,ED,OKLAHOMA,1,0,0,,0,0,261,0,0,,62.4,72.1,61.6,60.0,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,0,2,6,1,0,0,8,1,0,0,0,0,0,1,0,0,0,
Collin Oliver,144664,ED,OKLA STATE,1,0,0,,0,0,262,0,0,60.6,73.0,77.9,70.8,66.2,75.2,0,2,0,0,,0.0,0,0,0,0.0,0,1,0,2,0,3,29,27,0,0,27,0,0,2,18,8,0,2,1,0,0,3,0,0,0,
Da'Veawn Armstead,144700,S,TCU,1,1,0,100.0,0,0,305,0,0,40.8,45.8,76.0,,65.4,44.9,0,0,0,0,28,50.0,1,0,0,158.3,2,0,0,5,1,15,28,0,0,0,0,0,5,28,0,13,17,0,0,0,2,0,1,56,27,28.0
Shad Banks Jr.,144702,LB,TCU,1,0,0,100.0,0,0,305,0,0,54.2,53.6,70.9,,58.0,33.6,0,0,0,0,8,50.0,2,0,0,93.8,2,0,0,15,0,11,18,1,0,0,1,0,0,17,0,7,2,0,2,0,2,0,0,13,10,6.5
JD Coffey III,144729,S,TEXAS,1,1,0,100.0,0,0,311,0,0,41.4,47.5,72.1,,61.2,80.5,0,0,0,0,20,0.0,0,0,0,118.8,1,0,0,1,0,8,16,0,0,0,0,0,15,16,0,8,0,0,3,0,1,0,0,20,-1,20.0
Morice Blackwell Jr.,144733,LB,TEXAS,1,0,0,,0,0,311,0,0,41.5,33.5,65.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,4,0,3,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,
Saint McLeod,144789,S,W VIRGINIA,1,2,0,83.3,0,1,343,0,0,71.2,70.2,75.9,57.1,65.7,73.5,0,0,0,0,16,11.1,1,0,0,88.9,5,0,0,21,2,31,60,0,0,0,0,0,1,60,3,26,36,1,6,0,6,0,0,32,50,6.4
Edward Vesterinen,144794,DI,W VIRGINIA,1,0,0,,0,0,343,0,0,,58.2,72.2,65.3,58.8,69.7,0,0,0,0,,,0,0,0,0.0,0,1,0,0,0,0,10,10,4,4,0,2,0,0,8,2,0,0,0,0,0,1,0,0,0,
Tyler Strain,144814,CB,ILLINOIS,1,0,0,100.0,0,0,187,0,0,62.1,63.4,63.5,,,74.2,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6,7,6.0
Larry Smith III,144840,S,INDIANA,1,0,0,,0,0,190,0,0,,60.0,61.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Jordan Grier,144841,S,INDIANA,1,1,0,,0,0,190,0,0,61.2,68.8,69.8,,67.0,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,2,7,0,0,0,0,0,1,7,0,5,4,0,0,0,0,0,0,0,0,
Cooper DeJean,144867,CB,IOWA,1,0,0,50.0,0,0,192,0,0,56.4,56.1,69.0,,,74.2,0,0,0,0,24,0.0,0,0,0,93.8,1,0,0,0,6,6,6,0,0,0,0,0,0,6,0,0,0,0,1,0,2,0,0,24,4,24.0
