player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
E.J. Warner,156185,QB,FRESNO ST,4,20,5.0,0,169,0,0,40.0,20.0,95.0,5.0,0,0,1,8,4,20,19,1,3,3,0,1,15.0,15.0,0,0.0,5.0
Jalen Kitna,146688,QB,UAB,3,19,10.5,0,321,0,1,10.5,10.5,73.7,21.1,0,1,2,2,2,19,14,4,1,6,1,2,5.3,31.6,0,5.3,10.5
Baylor Hayes,192135,QB,TULSA,2,19,21.1,0,320,0,2,10.5,10.5,89.5,0.0,0,2,4,2,2,19,17,0,6,5,2,1,31.6,26.3,0,10.5,5.3
Bryce Underwood,198795,QB,MICHIGAN,3,19,10.5,0,222,0,3,15.8,21.1,78.9,5.3,0,3,2,3,4,19,15,1,3,3,3,0,15.8,15.8,0,15.8,0.0
Joe Fagnano,104768,QB,UCONN,3,19,15.8,0,146,0,0,15.8,31.6,100.0,0.0,0,0,3,3,6,19,19,0,3,4,0,2,15.8,21.1,0,0.0,10.5
Taylen Green,145996,QB,ARKANSAS,3,19,15.8,0,111,0,4,5.3,0.0,47.4,21.1,0,5,3,1,0,19,9,4,3,3,5,1,15.8,15.8,1,26.3,5.3
Demond Williams Jr.,183648,QB,WASHINGTON,2,19,0.0,0,340,0,5,10.5,26.3,47.4,15.8,0,7,0,2,5,19,9,3,2,0,7,0,10.5,0.0,2,36.8,0.0
Dru DeShields,176094,QB,KENT STATE,3,19,10.5,0,201,0,0,10.5,31.6,78.9,15.8,0,1,2,2,6,19,15,3,0,7,1,0,0.0,36.8,1,5.3,0.0
Drew Pyne,122910,QB,BOWL GREEN,3,19,0.0,0,122,0,1,15.8,21.1,73.7,10.5,0,3,0,3,4,19,14,2,2,8,3,0,10.5,42.1,2,15.8,0.0
Beau Pribula,164182,QB,MISSOURI,3,18,16.7,0,229,0,1,27.8,11.1,88.9,0.0,0,2,3,5,2,18,16,0,3,2,2,2,16.7,11.1,1,11.1,11.1
Diego Pavia,156927,QB,VANDERBILT,3,18,11.1,0,333,1,2,5.6,22.2,83.3,0.0,0,3,2,1,4,18,15,0,3,6,3,1,16.7,33.3,0,16.7,5.6
Garrett Nussmeier,146757,QB,LSU,3,18,0.0,0,211,0,0,27.8,27.8,88.9,5.6,0,2,0,5,5,18,16,1,1,7,2,0,5.6,38.9,2,11.1,0.0
Dexter Williams II,129457,QB,KENNESAW,3,18,5.6,0,200,0,3,5.6,50.0,83.3,0.0,0,3,1,1,9,18,15,0,1,6,3,1,5.6,33.3,0,16.7,5.6
