player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jared Hollins,184343,QB,S ALABAMA,2,100.0,2,2,2.5,2.95,0,0,0.0,100.0,2,0,2,0.0,2,0,0,288,61.8,70.4,79.6,,0,0,2,1,0.0,79.2,0.0,0,0,0,0,0,0,0.0,5,2.5
JC Evans,184302,QB,JAMES MAD,2,0.0,2,2,24.0,2.6,0,0,0.0,0.0,0,0,1,,2,0,0,197,71.8,69.0,47.6,71.2,0,0,2,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Samaj Jones,183797,QB,CINCINNATI,1,100.0,2,2,3.0,1.4,0,0,0.0,100.0,2,0,0,0.0,2,0,1,138,67.6,79.5,61.7,73.1,0,0,2,0,,158.3,0.0,0,0,0,0,1,0,0.0,53,26.5
Treyson Bourguet,158154,QB,BYU,1,50.0,2,2,25.0,2.35,0,0,0.0,50.0,1,0,0,0.0,2,0,0,128,64.4,67.6,59.8,63.5,0,0,2,0,,60.4,0.0,0,0,0,0,0,0,0.0,8,4.0
Chris Jimerson Jr.,198991,QB,N TEXAS,2,50.0,2,2,23.5,5.0,0,1,50.0,50.0,1,0,2,0.0,3,0,1,251,62.7,87.6,92.0,57.0,0,0,3,0,0.0,135.4,0.0,0,1,0,0,1,0,0.0,37,18.5
Carson Cruver,169906,QB,FAU,1,0.0,1,2,9.0,2.4,1,0,0.0,0.0,0,0,0,,2,0,0,165,61.8,27.4,27.7,,0,0,2,0,,39.6,0.0,0,0,0,0,0,1,50.0,0,0.0
Braden Streeter,185330,QB,DELAWARE,1,50.0,2,2,4.0,2.4,0,0,0.0,50.0,1,0,0,0.0,2,0,0,151,66.2,64.3,62.9,60.1,0,1,2,0,,16.7,0.0,0,0,0,0,0,0,0.0,5,2.5
Ryan Boe,190878,QB,NWESTERN,1,50.0,2,2,0.0,3.23,0,0,0.0,50.0,1,0,1,0.0,3,0,1,256,69.7,92.7,62.7,87.9,0,0,3,0,0.0,58.3,0.0,0,1,0,0,0,0,0.0,7,3.5
Jadyn Davis,183683,QB,MICHIGAN,1,0.0,2,2,16.5,2.43,0,0,0.0,0.0,0,0,1,,3,0,0,222,9.4,26.4,25.0,,0,1,3,0,100.0,0.0,33.3,1,0,0,0,0,2,66.7,0,0.0
Mason Love,184495,K,S CAROLINA,2,50.0,2,2,4.5,1.6,0,0,0.0,50.0,1,0,0,0.0,2,0,0,289,61.8,47.0,34.3,,0,1,2,0,,25.0,0.0,0,0,0,0,0,1,50.0,10,5.0
John Neider,171057,WR,UCONN,2,50.0,2,2,25.5,3.45,0,0,0.0,50.0,1,0,1,0.0,2,0,1,146,70.8,67.6,62.8,,0,0,2,1,0.0,114.6,0.0,0,0,0,0,1,0,0.0,15,7.5
Donovan Faupel,175668,WR,NEW MEX ST,2,50.0,2,2,21.5,4.55,0,0,0.0,50.0,1,0,0,0.0,2,0,1,242,74.3,70.9,62.7,,0,0,2,2,,135.4,0.0,0,0,0,0,1,0,0.0,34,17.0
Omari Kelly,157048,WR,MICH STATE,1,50.0,2,2,5.0,3.4,0,0,0.0,50.0,1,0,2,0.0,2,0,1,223,42.8,68.6,65.8,54.2,0,0,2,0,0.0,70.8,0.0,0,0,0,0,0,0,0.0,13,6.5
Devin Mockobee,145111,HB,PURDUE,2,50.0,2,2,7.5,3.0,0,0,0.0,50.0,1,0,1,0.0,2,0,1,273,66.1,73.0,35.4,75.7,0,1,2,0,0.0,72.9,0.0,0,0,0,0,1,1,50.0,14,7.0
