player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Sonny Styles,162876,LB,OHIO STATE,1,0,3.5,0,0,260,72.8,71.9,77.5,63.5,62.9,64.7,33.3,1,0,19,19,10.5,2,2
Audavion Collins,163676,CB,PENN STATE,1,0,,0,0,266,53.4,54.6,75.7,,62.7,76.2,,0,1,16,16,0.0,0,0
Ben Bolton,163759,LB,TENNESSEE,1,0,4.0,0,0,307,,77.7,67.2,,73.8,75.8,0.0,0,0,3,3,66.7,2,2
Christian Harrison,163763,CB,TENNESSEE,1,0,,0,0,307,67.2,67.4,75.4,,62.9,77.4,,0,0,13,13,0.0,0,0
Jayson Jenkins,163767,ED,TENNESSEE,1,0,,0,0,307,,60.4,76.0,59.3,60.3,,,0,0,12,12,0.0,0,0
Joshua Josephs,163768,ED,TENNESSEE,1,0,7.0,0,0,307,33.4,40.2,76.7,62.5,64.3,73.0,0.0,0,0,11,11,0.0,0,1
James Pearce Jr.,163770,ED,TENNESSEE,1,0,-1.0,0,0,307,73.8,76.7,78.4,67.6,67.8,76.6,0.0,0,0,13,13,7.7,1,1
Ethan Burke,163843,ED,TEXAS,1,0,2.0,0,0,311,,72.1,74.0,62.4,72.0,75.0,0.0,0,0,10,10,10.0,1,2
Abdul Carter,164160,ED,PENN STATE,1,0,-1.0,0,0,266,61.8,71.7,79.7,83.1,48.0,52.2,0.0,0,0,20,20,5.0,1,1
Dani Dennis-Sutton,164163,ED,PENN STATE,1,0,1.5,0,0,266,60.2,67.8,0.0,64.3,74.2,76.3,0.0,0,1,21,21,4.8,1,2
Zane Durant,164166,DI,PENN STATE,1,2,-0.5,0,0,266,60.6,61.4,76.4,49.0,68.8,49.5,0.0,0,0,21,21,4.8,1,2
Cam Miller,164178,CB,PENN STATE,1,0,-3.0,0,0,266,56.2,62.4,78.7,64.0,74.6,34.8,0.0,0,0,14,14,7.1,1,1
Alexander Kilgore,169965,LB,SMU,1,1,,0,0,287,42.5,39.0,71.2,,49.6,25.0,50.0,1,0,14,14,0.0,0,0
Khalil Barnes,170001,S,CLEMSON,1,1,7.0,0,0,140,51.4,51.9,79.2,,54.1,42.9,40.0,2,0,43,43,0.0,0,2
Vic Burley,170004,DI,CLEMSON,1,2,,0,0,140,60.0,61.8,71.7,60.0,60.3,75.2,0.0,0,0,7,7,0.0,0,0
Stephiylan Green,170008,DI,CLEMSON,1,0,,0,0,140,,59.3,70.2,57.6,60.0,,,0,0,2,2,0.0,0,0
A.J. Hoffler,170011,ED,CLEMSON,1,1,,0,0,140,,34.1,71.4,,38.8,71.1,0.0,0,0,7,7,0.0,0,0
Shelton Lewis,170015,CB,CLEMSON,1,0,,0,0,140,61.6,61.7,72.3,60.0,60.0,,,0,0,2,2,0.0,0,0
T.J. Parker,170021,ED,CLEMSON,1,1,4.0,0,0,140,60.0,62.0,80.2,56.1,64.4,53.0,25.0,1,0,38,38,2.6,1,2
Avieon Terrell,170031,CB,CLEMSON,1,0,22.0,0,0,140,39.1,40.3,77.5,59.9,50.7,57.8,50.0,1,3,42,42,0.0,0,1
Peter Woods,170034,DI,CLEMSON,1,3,1.8,0,0,140,59.8,70.3,77.4,58.2,74.2,78.9,0.0,0,0,35,35,11.4,4,5
Malik Hartford,170252,S,OHIO STATE,1,0,23.0,0,0,260,63.0,65.5,74.1,,64.7,74.3,0.0,0,0,7,7,0.0,0,1
Jermaine Mathews Jr.,170257,CB,OHIO STATE,1,0,26.0,0,0,260,66.8,68.0,75.9,,64.7,79.4,0.0,0,0,9,9,0.0,0,1
Jason Moore,170262,DI,OHIO STATE,1,0,3.0,0,0,260,,63.3,69.1,59.4,62.5,69.7,0.0,0,0,3,3,0.0,0,1
Arvell Reese,170264,LB,OHIO STATE,1,0,3.0,0,0,260,63.3,70.5,70.6,,72.2,73.2,0.0,0,0,8,8,12.5,1,1
Will Smith Jr.,170271,DI,OHIO STATE,1,0,,0,0,260,,62.1,69.0,59.4,61.6,,,0,0,3,3,0.0,0,0
Ty Blanding,170277,DI,PENN STATE,1,0,,0,0,266,,67.4,67.8,59.8,60.0,,,0,0,2,2,0.0,0,0
Tony Rojas,170297,LB,PENN STATE,1,0,-2.0,0,0,266,90.3,83.2,76.2,54.5,59.3,76.1,0.0,0,0,15,15,6.7,1,1
Zion Tracy,170301,CB,PENN STATE,1,0,7.0,0,0,266,59.5,58.8,79.7,46.5,69.3,35.2,0.0,0,0,16,16,0.0,0,2
Elliot Washington II,170303,CB,PENN STATE,1,0,,0,0,266,64.9,65.5,73.1,,60.2,74.2,,0,0,7,7,0.0,0,0
Jaiden Ausberry,171075,LB,NOTRE DAME,1,0,-1.5,0,0,258,63.3,58.8,73.3,56.9,54.9,76.0,0.0,0,0,11,11,18.2,2,2
Drayk Bowen,171077,LB,NOTRE DAME,1,0,-1.0,0,0,258,71.7,80.4,76.8,60.6,79.6,76.1,0.0,0,0,13,13,7.7,1,1
Adon Shuler,171098,S,NOTRE DAME,1,0,2.5,0,0,258,61.7,66.0,77.4,63.8,70.9,61.0,0.0,0,0,22,24,4.5,1,2
D'Angelo Ponds,172259,CB,INDIANA,1,0,7.0,0,0,190,65.3,62.5,76.8,57.1,50.1,47.3,0.0,0,0,27,27,0.0,0,1
Caleb Downs,172375,S,OHIO STATE,1,0,8.0,0,0,260,68.8,70.4,77.7,,69.5,82.3,0.0,0,0,19,19,0.0,0,3
Anthony Hill Jr.,173158,LB,TEXAS,1,2,6.0,0,0,311,45.8,51.8,78.4,52.7,71.8,83.8,0.0,0,0,20,20,0.0,0,2
Liona Lefau,173161,LB,TEXAS,1,0,4.0,0,0,311,79.2,78.6,72.5,60.0,60.0,79.9,0.0,0,0,9,9,11.1,1,1
Malik Muhammad,173165,CB,TEXAS,1,0,,0,0,311,59.5,59.8,77.8,58.2,63.7,81.0,,0,0,20,20,0.0,0,0
Amare Ferrell,173381,S,INDIANA,1,0,-5.0,0,0,190,65.1,66.4,77.6,77.7,57.8,29.6,50.0,1,0,26,26,3.8,1,1
A.J. Harris,173534,CB,PENN STATE,1,0,,0,0,266,63.6,52.6,76.5,,28.5,23.9,100.0,2,0,23,23,0.0,0,0
Rickey Gibson III,174724,CB,TENNESSEE,1,0,3.0,0,0,307,61.1,62.5,76.1,,65.6,80.6,0.0,0,0,22,22,4.5,1,1
Caleb Herring,174726,ED,TENNESSEE,1,0,1.5,0,0,307,,48.5,72.9,58.9,50.3,73.4,0.0,0,0,8,8,12.5,1,2
Daevin Hobbs,174727,DI,TENNESSEE,1,1,,0,0,307,,56.9,73.6,56.6,58.4,69.7,0.0,0,0,10,10,0.0,0,0
Nathan Robinson,174738,DI,TENNESSEE,1,1,,0,0,307,,69.4,67.4,,65.8,69.7,0.0,0,0,3,3,0.0,0,0
Jeremiah Telander,174745,LB,TENNESSEE,1,0,4.6,0,0,307,43.6,61.8,75.9,63.4,78.0,83.4,0.0,0,0,22,22,18.2,4,8
Tyree Weathersby,174748,ED,TENNESSEE,1,1,2.0,0,0,307,,73.0,70.9,58.9,71.1,73.7,0.0,0,0,5,5,20.0,1,1
Brandon Miyazono,175288,LB,SMU,1,1,-0.3,0,0,287,60.3,75.7,70.5,,75.1,49.2,20.0,1,0,11,11,27.3,3,3
Jelani McDonald,176180,S,TEXAS,1,1,6.0,0,0,311,67.5,69.0,74.2,,66.3,78.9,0.0,0,0,11,11,0.0,0,1
Jermod McCoy,176404,CB,TENNESSEE,1,1,,0,0,307,55.2,56.9,76.8,,65.3,78.9,0.0,0,1,22,22,0.0,0,0
Sammy Brown,183192,LB,CLEMSON,1,3,1.7,0,0,140,52.7,53.4,75.7,,56.1,67.2,14.3,1,0,41,41,4.9,2,3
Brandon Booker,183248,LB,SMU,1,0,7.0,0,0,287,,64.6,63.3,,61.8,74.3,0.0,0,0,2,2,50.0,1,1
Antoine Belgrave-Shorter,183596,S,PENN STATE,1,0,,0,0,266,62.2,62.8,68.6,,60.0,,,0,0,2,2,0.0,0,0
Xavier Gilliam,183605,DI,PENN STATE,1,0,,0,0,266,,58.8,69.9,56.9,60.4,,,0,0,3,3,0.0,0,0
Vaboue Toure,183613,S,PENN STATE,1,0,,0,0,266,60.0,60.6,68.4,,60.0,,,0,0,2,2,0.0,0,0
Mario Landino,183678,ED,INDIANA,1,0,3.0,0,0,190,,59.3,72.3,56.2,61.6,72.7,0.0,0,0,5,5,20.0,1,2
Eddrick Houston,183699,DI,OHIO STATE,1,0,,0,0,260,59.9,54.4,72.4,60.1,52.2,21.5,100.0,1,0,3,3,0.0,0,0
Jaylen McClain,183702,S,OHIO STATE,1,1,4.0,0,0,260,77.8,77.4,70.7,,66.7,80.6,0.0,0,0,7,7,14.3,1,1
Aaron Scott Jr.,183709,CB,OHIO STATE,1,0,,0,0,260,47.9,48.4,71.8,,60.0,,,0,0,7,7,0.0,0,0
Bryce West,183712,CB,OHIO STATE,1,0,,0,0,260,76.5,77.3,71.2,,60.7,,,0,0,7,7,0.0,0,0
Loghan Thomas,184103,ED,NOTRE DAME,1,0,,0,0,258,61.2,65.3,73.9,62.6,60.0,74.4,,0,0,1,1,0.0,0,0
Bryce Young,184110,ED,NOTRE DAME,1,0,,0,0,258,,63.8,74.6,64.2,60.0,71.1,,0,0,8,9,0.0,0,0
Colin Simmons,184515,ED,TEXAS,1,0,-3.0,0,0,311,59.1,52.5,0.0,61.6,54.9,25.6,50.0,1,1,12,12,8.3,1,1
Kaleb Beasley,184880,CB,TENNESSEE,1,0,,0,0,307,60.0,61.6,69.5,,60.0,,,0,0,5,5,0.0,0,0
Boo Carter,184881,CB,TENNESSEE,1,0,4.0,0,0,307,58.1,61.5,77.5,66.5,64.8,46.1,0.0,0,0,14,14,7.1,1,1
Edwin Spillman,184892,LB,TENNESSEE,1,1,,0,0,307,65.1,68.4,72.1,,66.3,37.3,50.0,1,0,13,13,0.0,0,0
Rolijah Hardy,188665,LB,INDIANA,1,0,0.0,0,0,190,47.7,60.2,76.3,57.9,77.8,49.0,0.0,0,0,14,14,21.4,3,3
Jordan Ross,188890,ED,TENNESSEE,1,0,-1.0,0,0,307,,70.2,69.5,60.0,65.0,71.5,0.0,0,0,2,2,50.0,1,1
