player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Tyreak Sapp,157752,ED,FLORIDA,1,1,2.0,0,0,163,,78.1,74.0,69.9,74.6,76.0,0.0,0,0,17,17,11.8,2,2
Uso Seumalo,157775,DI,KANSAS ST,1,0,,0,0,199,66.4,55.6,75.7,54.2,51.3,70.1,,0,0,9,10,0.0,0,0
Jacob Parrish,157777,CB,KANSAS ST,1,0,10.0,0,0,199,67.9,67.9,78.0,,63.8,46.5,0.0,0,0,30,31,3.3,1,3
VJ Payne,157780,S,KANSAS ST,1,1,11.3,0,0,199,59.7,60.6,77.6,56.3,63.1,55.1,20.0,1,0,26,28,7.7,2,3
Kobe Savage,157781,S,OREGON,1,3,9.5,0,0,264,71.5,69.7,76.6,,63.6,61.1,16.7,1,0,21,21,0.0,0,2
Colby McCalister,157782,S,KANSAS ST,1,0,4.0,0,0,199,51.5,48.9,73.6,,50.3,43.7,0.0,0,1,10,10,10.0,1,1
Gavin Forsha,157783,LB,S ALABAMA,1,1,,0,0,288,53.6,58.0,72.6,62.9,63.5,73.0,0.0,0,0,4,4,0.0,0,0
Tobi Osunsanmi,157786,ED,KANSAS ST,1,0,-4.0,0,0,199,60.0,50.4,0.0,57.7,55.9,74.1,0.0,0,1,10,10,10.0,1,1
Cameron Epps,157809,CB,OKLA STATE,1,0,,0,0,262,53.1,45.4,72.9,,44.9,21.4,,0,0,10,10,0.0,0,0
Gabe Brown,157812,LB,OKLA STATE,1,0,,0,0,262,,60.8,66.0,,60.0,,,0,0,1,1,0.0,0,0
DeSean Brown,157821,ED,OKLA STATE,1,1,5.0,0,0,262,60.0,62.5,77.4,66.6,56.3,73.7,0.0,0,0,16,17,0.0,0,1
Landon Dean,157822,ED,OKLA STATE,1,0,,0,0,262,,58.4,69.1,59.7,60.0,,,0,0,2,2,0.0,0,0
Ethan Powell,157838,LB,S JOSE ST,1,1,,0,0,285,65.1,68.7,76.6,73.3,60.7,27.4,50.0,1,0,10,11,0.0,0,0
Jordan Pollard,157845,LB,S JOSE ST,1,3,1.0,0,0,285,58.8,67.9,74.3,,75.2,84.3,0.0,0,0,28,29,10.7,3,4
Justin Stearns,157846,ED,S JOSE ST,1,0,2.0,0,0,285,,60.7,75.5,52.7,68.4,73.6,0.0,0,0,11,11,9.1,1,2
Justin Eklund,157848,LB,BOWL GREEN,1,0,11.0,0,0,122,61.9,48.3,74.8,56.8,41.7,38.1,33.3,1,0,8,8,12.5,1,2
Michael Dansby,157849,CB,S JOSE ST,1,0,7.7,1,0,285,55.4,56.1,0.0,58.3,74.4,79.1,0.0,0,2,25,25,4.0,1,3
Dejon Roney,157853,ED,S JOSE ST,1,0,2.0,0,0,285,,63.2,75.5,71.9,51.8,70.2,0.0,0,0,11,11,0.0,0,1
Marquise Robinson,157861,CB,ARKANSAS,1,1,,0,0,111,57.2,59.2,77.8,,66.3,83.2,0.0,0,2,36,36,0.0,0,0
Chrystyile Caldwell,157866,LB,S ALABAMA,1,0,,0,0,288,50.3,50.1,65.8,,60.0,,,0,0,2,2,0.0,0,0
Blayne Myrick,157874,LB,S ALABAMA,1,0,,0,0,288,65.7,67.3,71.8,64.9,61.9,78.7,,0,0,7,7,0.0,0,0
Mo Westmoreland,157883,ED,UTEP,1,1,2.7,0,0,330,52.8,80.0,0.0,86.2,80.8,79.8,0.0,0,1,25,25,12.0,3,3
Bryton Thompson,157884,ED,UTEP,1,0,3.5,0,0,330,60.0,67.6,75.2,84.1,64.5,28.0,33.3,1,0,12,12,16.7,2,2
Josiah Allen,157885,CB,UTEP,1,0,9.5,0,0,330,57.6,60.3,76.7,,68.9,63.6,0.0,0,0,29,29,0.0,0,2
Jerome Gaillard Jr.,157895,CB,AIR FORCE,1,0,,0,0,101,48.9,43.4,73.0,,44.5,76.2,,0,0,9,9,0.0,0,0
James Tomasi,157908,DI,AIR FORCE,1,1,2.0,0,0,101,60.0,46.3,75.8,55.7,44.6,73.9,0.0,0,0,27,28,0.0,0,1
Osaro Aihie,157917,LB,AIR FORCE,1,4,4.3,0,0,101,40.9,55.4,74.2,,69.3,41.9,20.0,2,0,34,35,8.8,3,4
Jamari Bellamy,157924,CB,AIR FORCE,1,0,10.5,0,0,101,46.7,46.8,74.8,,50.3,29.1,50.0,2,0,34,35,0.0,0,2
Jonathan Capo,157937,S,BUFFALO,1,0,,0,0,126,43.2,43.8,70.9,,60.8,27.6,,0,0,5,5,0.0,0,0
Red Murdock,157948,LB,BUFFALO,1,9,10.0,0,0,126,36.6,51.4,77.0,59.3,70.3,76.4,0.0,0,0,37,37,8.1,3,5
Kam Olds,157953,ED,KENT STATE,1,1,2.0,0,0,201,73.3,75.5,0.0,73.1,69.7,80.2,0.0,0,1,15,15,6.7,1,1
Devin Morgan,157955,DI,BUFFALO,1,0,,0,0,126,,37.5,74.0,56.2,34.7,16.5,100.0,2,0,12,12,0.0,0,0
Cornell Evans,157956,DI,BUFFALO,1,0,3.0,0,0,126,,47.4,74.8,56.1,46.8,72.4,0.0,0,0,21,21,9.5,2,2
Clevester Hines,157959,CB,BUFFALO,1,0,,0,0,126,75.6,66.0,71.1,,46.3,21.7,100.0,1,0,6,6,0.0,0,0
Keyshawn Cobb,157962,CB,NEVADA,1,1,7.0,0,0,239,59.4,66.9,75.0,71.4,69.4,65.9,25.0,1,0,14,14,7.1,1,2
Reid Williford,157970,LB,CHARLOTTE,1,2,5.7,0,0,136,62.8,64.3,75.0,58.0,63.9,82.8,0.0,0,0,32,34,12.5,4,7
Adam Trick,158021,ED,MIAMI OH,1,2,,0,0,221,59.5,62.8,76.8,60.9,65.3,24.3,33.3,1,0,18,18,0.0,0,0
Josh Lukusa,158025,ED,MIAMI OH,1,1,2.0,0,0,221,,68.1,74.2,69.8,60.6,73.2,0.0,0,0,10,10,10.0,1,1
Roy Williams,158037,ED,N ILLINOIS,1,3,7.5,0,0,254,60.5,70.2,77.9,57.9,74.6,77.8,0.0,0,0,19,19,0.0,0,2
Jake Gassaway,158049,LB,N ILLINOIS,1,0,,0,0,254,45.7,47.3,70.2,59.5,62.1,,,0,0,5,5,0.0,0,0
Amariyun Knighten,158059,CB,N ILLINOIS,1,0,,0,0,254,78.9,77.8,73.8,,62.6,74.2,,0,0,15,15,0.0,0,0
