player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Kee'yon Stewart,99257,CB,ARKANSAS,1,0,,,100.0,,,0,0,0,,111,67.0,68.7,74.9,,67.6,76.6,0,,,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0.0,
Demarco Jones,99259,CB,TULSA,1,0,15.0,100.0,100.0,4.0,4.0,0,0,0,0.0,320,36.1,36.0,71.7,,60.0,21.7,0,63,100.0,1,0,0,158.3,2,8,8,0,0,2,1,74,44,9.3,37.0
Kenyatta Watson II,99265,S,GA STATE,1,1,16.0,66.7,100.0,13.5,9.0,0,0,0,0.0,175,53.4,53.8,77.8,,57.3,66.4,0,20,0.0,0,0,0,136.1,2,30,30,0,2,3,1,28,1,1.0,14.0
Will Jones II,99276,S,DOMINION,1,0,12.2,66.7,100.0,7.0,4.7,0,0,1,16.7,263,56.6,59.3,77.4,,64.6,38.3,0,21,40.0,2,1,0,86.1,4,29,29,1,3,6,0,41,15,1.5,10.3
Logan Wilson,99280,S,CINCINNATI,1,0,23.0,50.0,100.0,9.5,4.8,0,0,1,25.0,138,66.4,67.2,74.5,,64.2,82.1,0,51,0.0,0,1,0,135.4,2,20,20,1,4,4,1,58,9,3.1,29.0
Trace Ford,99307,ED,OKLAHOMA,1,0,,,18.8,,,0,0,0,,261,60.5,64.0,76.7,62.8,61.4,,0,,,0,0,0,0.0,0,3,16,0,0,0,0,0,0,0.0,
David Gbenda,99370,LB,TEXAS,1,0,4.0,100.0,100.0,7.0,7.0,0,0,0,0.0,311,57.5,65.0,72.7,,70.6,36.2,0,11,50.0,1,0,0,95.8,2,14,14,0,1,2,0,14,6,1.0,7.0
Jared Bartlett,99374,LB,CINCINNATI,1,0,9.0,100.0,90.0,17.0,17.0,0,0,0,0.0,138,48.5,54.3,73.4,65.6,68.4,54.3,0,13,33.3,1,0,0,106.3,2,36,40,2,2,2,0,19,1,0.6,9.5
Zach Marcheselli,99378,LB,TULSA,1,1,0.0,100.0,81.8,18.0,18.0,0,0,0,0.0,320,66.6,60.8,73.7,57.1,53.9,79.5,0,4,0.0,0,0,0,83.3,1,18,22,1,1,1,0,4,4,0.2,4.0
Austin Moore,99388,LB,KANSAS ST,1,0,-1.0,100.0,58.1,9.0,9.0,0,0,1,50.0,199,70.9,73.5,75.0,54.1,78.1,79.6,0,6,0.0,0,0,0,91.7,2,18,31,0,1,2,0,12,14,0.7,6.0
