player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Dominic DeLuca,145095,LB,PENN STATE,1,0,1.5,50.0,77.8,12.0,6.0,0,0,0,0.0,266,76.5,76.5,76.7,88.3,53.9,27.6,2,13,100.0,1,0,0,31.3,1,14,18,0,0,2,0,13,11,1.1,13.0
Kobe King,145097,LB,PENN STATE,1,0,8.5,50.0,83.3,27.0,13.5,0,0,0,0.0,266,65.4,70.2,76.4,54.7,73.6,82.7,0,10,0.0,0,0,0,64.6,1,30,36,1,2,2,0,10,9,0.4,10.0
Zakee Wheatley,145099,S,PENN STATE,1,0,25.0,50.0,100.0,35.0,17.5,0,0,0,0.0,266,63.2,66.2,78.4,,71.0,64.2,0,8,25.0,1,0,0,60.4,1,38,38,0,3,2,0,8,10,0.2,8.0
Jaylen Reed,145100,S,PENN STATE,1,1,5.3,50.0,100.0,18.5,9.3,0,0,0,0.0,266,64.4,68.8,76.8,,75.2,83.2,0,18,0.0,0,0,0,65.6,2,40,40,0,0,4,0,21,22,0.6,10.5
Jakobe Thomas,145309,S,TENNESSEE,1,0,36.0,100.0,100.0,4.0,4.0,0,0,0,0.0,307,43.0,47.8,69.6,,61.9,74.8,0,40,0.0,0,0,0,118.8,1,4,4,0,1,1,0,40,4,10.0,40.0
Trey Moore,145527,ED,TEXAS,1,0,1.0,0.0,23.1,,9.0,0,0,0,0.0,311,63.6,64.8,79.2,65.2,57.4,73.7,0,,,0,0,0,39.6,0,9,39,0,0,1,0,0,0,0.0,
Cale Sanders Jr.,146036,S,SMU,1,0,6.5,75.0,95.0,6.3,4.8,0,0,0,0.0,287,53.1,52.4,76.0,47.5,63.5,28.7,0,25,66.7,2,0,0,107.3,3,19,20,0,1,4,0,41,14,2.2,13.7
Christian Charles,146944,S,TENNESSEE,1,0,-7.0,100.0,100.0,9.0,9.0,0,0,0,0.0,307,63.4,65.1,72.9,,63.8,37.9,0,0,50.0,1,0,0,79.2,1,9,9,1,1,1,0,0,7,0.0,0.0
Deuce Harmon,146998,CB,SMU,1,0,8.5,0.0,100.0,,11.0,0,0,0,0.0,287,67.1,65.1,75.4,,57.7,37.7,0,,,0,0,0,39.6,0,22,22,0,0,2,0,0,0,0.0,
Lorenzo Styles Jr.,147474,CB,OHIO STATE,1,0,22.0,0.0,100.0,,1.0,0,0,1,100.0,260,60.0,64.1,65.9,,,,0,,,0,1,0,39.6,0,1,1,0,0,1,0,0,0,0.0,
Ahmad Walker,147555,LB,SMU,1,1,-3.7,100.0,84.0,7.0,7.0,0,0,0,0.0,287,77.3,78.2,76.1,63.0,70.5,84.6,0,7,0.0,0,0,0,80.6,3,21,25,2,3,3,0,10,21,0.5,3.3
Jailin Walker,148369,LB,INDIANA,1,2,3.3,100.0,80.5,5.3,5.3,0,0,0,0.0,190,69.6,67.5,80.5,55.1,63.4,69.5,0,10,10.0,1,0,0,91.7,6,33,41,2,7,6,0,36,16,1.1,6.0
Wade Woodaz,156237,LB,CLEMSON,1,1,-4.0,66.7,93.8,13.5,9.0,0,0,1,33.3,140,73.4,72.2,80.8,58.3,67.1,45.7,0,10,25.0,1,1,0,70.1,2,30,32,2,2,3,0,4,14,0.1,2.0
Jeadyn Lukus,156247,CB,CLEMSON,1,0,38.0,100.0,100.0,2.0,2.0,0,0,0,0.0,140,45.7,32.8,72.4,,46.7,73.5,0,43,,0,0,0,118.8,1,2,2,0,0,1,0,43,5,21.5,43.0
Jamari Sharpe,156408,CB,INDIANA,1,0,20.3,75.0,100.0,10.7,8.0,0,0,0,0.0,190,60.8,62.6,76.3,78.2,53.7,63.6,0,44,25.0,1,0,0,116.7,3,33,33,0,3,4,0,51,7,1.6,17.0
C.J. Hicks,156483,LB,OHIO STATE,1,0,-1.0,100.0,100.0,5.0,5.0,0,0,0,0.0,260,63.2,58.7,69.4,,53.5,73.6,0,4,,0,0,0,83.3,1,5,5,0,0,1,0,4,5,0.8,4.0
Aiden Fisher,156725,LB,INDIANA,1,1,0.3,75.0,82.9,11.0,8.3,0,0,0,0.0,190,50.7,61.5,73.9,51.3,78.5,53.8,0,12,20.0,1,0,0,93.8,3,34,41,0,3,4,0,28,26,0.8,9.3
Jaylen Sneed,156972,LB,NOTRE DAME,1,0,10.5,100.0,45.8,5.0,5.0,0,0,0,0.0,258,46.3,62.3,78.3,68.7,69.9,79.1,0,15,0.0,0,0,0,118.8,2,11,24,0,1,2,0,25,4,2.5,12.5
Joshua Burnham,156977,ED,NOTRE DAME,1,0,,,3.4,,,0,0,0,,258,60.0,55.4,0.0,58.4,61.5,73.7,0,,,0,0,1,0.0,0,1,29,0,0,0,0,0,0,0.0,
Junior Tuihalamaka,156982,ED,NOTRE DAME,1,0,,,11.8,,,0,0,0,,258,60.1,71.8,0.0,84.9,61.0,72.2,0,,,0,0,1,0.0,0,2,17,0,0,0,0,0,0,0.0,
Jaelyn Davis-Robinson,157116,CB,SMU,1,0,6.0,100.0,100.0,8.0,8.0,0,0,0,0.0,287,73.2,65.7,69.9,,52.8,78.8,0,7,0.0,0,0,0,95.8,1,8,8,2,3,1,0,7,1,0.9,7.0
Davison Igbinosun,157129,CB,OHIO STATE,1,0,11.3,50.0,100.0,15.0,7.5,0,0,1,25.0,260,70.9,71.6,76.4,,66.1,29.5,0,14,66.7,2,1,0,69.8,2,31,31,0,1,4,0,25,9,0.8,12.5
Jaylon Guilbeau,157307,CB,TEXAS,1,1,8.0,71.4,89.5,6.8,4.9,0,0,0,0.0,311,52.0,55.8,77.8,61.7,69.6,66.4,0,22,20.0,1,0,0,137.5,5,34,38,1,3,7,1,61,32,1.8,12.2
Ahmaad Moses,158276,S,SMU,1,0,,,100.0,,,0,0,0,,287,55.3,51.5,72.9,,50.7,28.3,0,,0.0,0,0,0,0.0,0,11,11,0,1,0,0,0,0,0.0,
Sonny Styles,162876,LB,OHIO STATE,1,1,0.1,71.4,87.5,7.0,5.0,0,0,0,0.0,260,72.8,71.9,77.5,63.5,62.9,64.7,0,7,0.0,0,0,0,74.1,5,35,40,2,4,7,0,18,23,0.5,3.6
Audavion Collins,163676,CB,PENN STATE,1,0,13.0,75.0,100.0,8.0,6.0,0,0,0,0.0,266,53.4,54.6,75.7,,62.7,76.2,0,22,0.0,0,0,1,92.7,3,28,28,2,2,4,0,27,0,1.1,9.0
Christian Harrison,163763,CB,TENNESSEE,1,0,3.0,0.0,100.0,,7.0,0,0,0,0.0,307,67.2,67.4,75.4,,62.9,77.4,0,,0.0,0,0,0,39.6,0,9,9,0,2,1,0,0,0,0.0,
Joshua Josephs,163768,ED,TENNESSEE,1,0,14.0,100.0,41.7,1.7,1.7,0,0,0,0.0,307,33.4,40.2,76.7,62.5,64.3,73.0,0,26,,0,0,0,118.8,3,5,12,0,0,3,0,62,20,12.4,20.7
James Pearce Jr.,163770,ED,TENNESSEE,1,0,-1.0,100.0,4.2,1.0,1.0,0,0,0,0.0,307,73.8,76.7,78.4,67.6,67.8,76.6,0,8,0.0,0,0,0,100.0,1,1,24,1,2,1,0,8,9,8.0,8.0
Abdul Carter,164160,ED,PENN STATE,1,0,,,12.9,,,0,0,0,,266,61.8,71.7,79.7,83.1,48.0,52.2,0,,50.0,1,0,0,0.0,0,4,31,1,1,0,0,0,0,0.0,
Dani Dennis-Sutton,164163,ED,PENN STATE,1,0,,,10.3,,,0,0,0,,266,60.2,67.8,0.0,64.3,74.2,76.3,0,,,0,0,1,0.0,0,3,29,2,0,0,0,0,0,0.0,
Cam Miller,164178,CB,PENN STATE,1,0,8.5,75.0,84.0,6.0,4.5,0,0,0,0.0,266,56.2,62.4,78.7,64.0,74.6,34.8,0,28,50.0,1,0,0,129.2,3,21,25,1,1,4,1,24,13,1.3,8.0
Alexander Kilgore,169965,LB,SMU,1,0,5.0,100.0,100.0,3.0,3.0,0,0,0,0.0,287,42.5,39.0,71.2,,49.6,25.0,0,13,50.0,1,0,0,112.5,2,6,6,0,1,2,0,22,12,3.7,11.0
Khalil Barnes,170001,S,CLEMSON,1,0,2.5,75.0,100.0,9.7,7.3,0,0,0,0.0,140,51.4,51.9,79.2,,54.1,42.9,0,13,0.0,0,0,0,93.8,3,32,32,0,2,4,0,28,20,1.0,9.3
Shelton Lewis,170015,CB,CLEMSON,1,0,,,75.0,,,0,0,0,,140,61.6,61.7,72.3,60.0,60.0,,0,,,0,0,0,0.0,0,3,4,0,0,0,0,0,0,0.0,
T.J. Parker,170021,ED,CLEMSON,1,0,,,3.3,,,0,0,0,,140,60.0,62.0,80.2,56.1,64.4,53.0,0,,100.0,1,0,0,0.0,0,1,30,0,0,0,0,0,0,0.0,
Avieon Terrell,170031,CB,CLEMSON,1,1,9.3,33.3,96.9,28.0,9.3,0,1,0,0.0,140,39.1,40.3,77.5,59.9,50.7,57.8,0,10,0.0,0,0,3,43.8,1,31,32,0,3,3,0,10,1,0.4,10.0
Peter Woods,170034,DI,CLEMSON,1,2,,,4.3,,,0,0,0,,140,59.8,70.3,77.4,58.2,74.2,78.9,0,,0.0,0,0,0,0.0,0,1,23,0,0,0,0,0,0,0.0,
Malik Hartford,170252,S,OHIO STATE,1,0,,,100.0,,,0,0,0,,260,63.0,65.5,74.1,,64.7,74.3,0,,,0,0,0,0.0,0,5,5,0,0,0,0,0,0,0.0,
Jermaine Mathews Jr.,170257,CB,OHIO STATE,1,0,11.0,25.0,100.0,17.0,4.3,0,0,0,0.0,260,66.8,68.0,75.9,,64.7,79.4,0,2,0.0,0,0,0,39.6,1,18,18,1,2,4,0,2,0,0.1,2.0
Arvell Reese,170264,LB,OHIO STATE,1,0,,,100.0,,,0,0,0,,260,63.3,70.5,70.6,,72.2,73.2,0,,,0,0,0,0.0,0,11,11,0,0,0,0,0,0,0.0,
Kolin Dinkins,170280,CB,PENN STATE,1,0,,,100.0,,,0,0,0,,266,60.0,60.4,63.8,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Tony Rojas,170297,LB,PENN STATE,1,0,6.0,50.0,84.0,19.0,9.5,0,0,0,0.0,266,90.3,83.2,76.2,54.5,59.3,76.1,1,6,0.0,0,0,0,16.7,1,21,25,0,1,2,0,6,4,0.3,6.0
Zion Tracy,170301,CB,PENN STATE,1,0,-3.5,100.0,81.0,7.5,7.5,0,0,0,0.0,266,59.5,58.8,79.7,46.5,69.3,35.2,0,20,66.7,2,0,0,118.8,2,17,21,0,1,2,0,27,34,1.8,13.5
Elliot Washington II,170303,CB,PENN STATE,1,0,20.0,50.0,100.0,14.0,7.0,0,0,0,0.0,266,64.9,65.5,73.1,,60.2,74.2,0,10,0.0,0,0,0,64.6,1,16,16,0,1,2,0,10,5,0.7,10.0
Jaiden Ausberry,171075,LB,NOTRE DAME,1,0,,,85.7,,,0,0,0,,258,63.3,58.8,73.3,56.9,54.9,76.0,0,,,0,0,0,0.0,0,12,14,0,0,0,0,0,0,0.0,
Drayk Bowen,171077,LB,NOTRE DAME,1,0,-1.0,100.0,75.0,13.0,13.0,0,0,0,0.0,258,71.7,80.4,76.8,60.6,79.6,76.1,0,-1,0.0,0,0,0,79.2,1,15,20,1,1,1,0,-1,0,-0.1,-1.0
Adon Shuler,171098,S,NOTRE DAME,1,1,10.0,50.0,90.6,27.0,13.5,0,1,1,50.0,258,61.7,66.0,77.4,63.8,70.9,61.0,0,10,25.0,1,1,0,64.6,1,29,32,0,2,2,0,10,0,0.4,10.0
D'Angelo Ponds,172259,CB,INDIANA,1,1,5.8,50.0,95.1,19.0,9.5,0,0,0,0.0,190,65.3,62.5,76.8,57.1,50.1,47.3,1,10,33.3,1,0,0,22.9,2,39,41,0,1,4,0,18,11,0.5,9.0
Caleb Downs,172375,S,OHIO STATE,1,1,,,100.0,,,0,0,0,,260,68.8,70.4,77.7,,69.5,82.3,0,,0.0,0,0,0,0.0,0,40,40,1,2,0,0,0,0,0.0,
Anthony Hill Jr.,173158,LB,TEXAS,1,1,5.1,100.0,81.3,5.4,5.4,0,0,0,0.0,311,45.8,51.8,78.4,52.7,71.8,83.8,0,27,0.0,0,0,0,145.5,7,39,48,2,5,7,1,66,33,1.7,9.4
Liona Lefau,173161,LB,TEXAS,1,1,-5.0,0.0,96.3,,25.0,0,0,1,100.0,311,79.2,78.6,72.5,60.0,60.0,79.9,0,,0.0,0,1,0,39.6,0,26,27,0,2,1,0,0,0,0.0,
Malik Muhammad,173165,CB,TEXAS,1,0,10.4,71.4,97.9,9.2,6.6,0,0,0,0.0,311,59.5,59.8,77.8,58.2,63.7,81.0,0,30,0.0,0,0,0,113.7,5,47,48,1,5,7,0,92,11,2.0,18.4
Amare Ferrell,173381,S,INDIANA,1,0,-1.0,100.0,100.0,40.0,40.0,0,0,0,0.0,190,65.1,66.4,77.6,77.7,57.8,29.6,0,8,40.0,2,0,0,100.0,1,41,41,2,3,1,0,8,9,0.2,8.0
