player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Courtney Eubanks,125287,CB,COAST CAR,1,0,2.5,100.0,97.3,18.0,18.0,0,0,0,0.0,141,65.0,62.7,76.8,60.0,51.3,48.1,0,8,33.3,2,0,0,135.4,2,36,37,1,4,2,1,14,9,0.4,7.0
Marques Sigle,125305,S,KANSAS ST,1,0,17.4,60.0,94.7,12.0,7.2,0,0,0,0.0,199,60.5,62.6,79.2,70.2,61.3,80.4,0,22,0.0,0,0,0,91.3,3,36,38,0,1,5,0,47,21,1.3,15.7
Maurion Horn,126328,CB,TEXAS TECH,1,1,19.0,66.7,100.0,14.0,9.3,0,0,0,0.0,315,54.3,57.9,77.7,,67.2,76.4,0,33,0.0,0,0,0,109.7,2,28,28,0,0,3,0,52,7,1.9,26.0
Langston Patterson,126465,LB,VANDERBILT,1,0,17.0,0.0,94.4,,17.0,0,0,0,0.0,333,65.4,73.8,75.1,60.0,76.9,51.9,0,,,0,0,0,39.6,0,17,18,0,0,1,0,0,0,0.0,
Justin Weaver,126597,CB,ARMY,1,0,1.7,66.7,94.1,8.0,5.3,0,0,0,0.0,114,66.9,63.9,74.6,59.4,54.2,35.8,0,5,0.0,0,0,0,70.1,2,16,17,1,2,3,0,1,1,0.1,0.5
Avyonne Jones,127249,S,COAST CAR,1,1,21.0,0.0,100.0,,8.5,0,0,0,0.0,141,36.5,38.7,74.6,,54.0,40.0,0,,50.0,1,0,0,39.6,0,17,17,0,0,2,0,0,0,0.0,
Christian Gray,128036,CB,NOTRE DAME,1,0,12.7,57.1,100.0,9.8,5.6,0,0,2,28.6,258,58.6,59.8,77.3,,64.7,76.6,0,67,0.0,0,1,1,101.8,4,41,41,1,2,7,0,92,57,2.4,23.0
Herbert Gums,128130,DI,BOISE ST,1,0,,,9.5,,,0,0,0,,120,55.7,36.2,77.3,47.1,37.7,26.7,0,,100.0,1,0,0,0.0,0,2,21,0,0,0,0,0,0,0.0,
Henry Blackburn,128146,S,COLO STATE,1,0,16.5,50.0,100.0,28.0,14.0,0,0,0,0.0,144,52.1,57.7,78.0,82.0,56.7,54.1,0,40,100.0,1,0,0,95.8,1,29,29,1,0,2,0,40,41,1.4,40.0
Chase Wilson,128170,LB,COLO STATE,1,0,4.0,100.0,84.6,21.0,21.0,0,0,0,0.0,144,59.4,55.0,75.4,56.8,52.9,79.9,0,9,,0,0,0,104.2,1,22,26,0,0,1,0,9,5,0.4,9.0
