player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jaheim Thomas,54193,LB,CINCINNATI,13,20,0,60.0,0,1,138,0,0,51.9,74.7,20.8,84.1,80.6,69.9,4,9,0,0,20,11.1,8,0,2,76.3,6,2,0,297,3,139,443,125,0,0,125,0,0,318,66,238,18,26,44,4,10,15,0,58,25,9.7
Isaiah Norman,54967,S,MARSHALL,8,2,0,66.7,0,0,214,1,0,51.1,56.1,26.6,58.0,69.9,85.8,0,1,0,0,37,3.8,1,0,1,137.5,8,0,0,134,5,200,377,4,0,0,4,0,116,373,3,174,118,5,23,0,12,1,2,116,61,14.5
Aapri Washington,55013,CB,E CAROLINA,10,5,0,62.5,1,0,156,0,0,63.5,66.6,82.2,59.3,79.3,73.2,0,1,0,0,24,8.3,2,0,1,101.6,10,0,0,9,239,144,251,3,0,0,3,0,0,248,2,105,0,3,17,1,16,1,1,102,40,10.2
Tim Terry,55020,LB,AKRON,10,10,0,77.8,0,0,102,0,0,76.2,75.3,82.8,61.7,72.0,73.8,2,8,0,0,40,11.1,6,1,0,118.8,14,0,0,376,1,185,406,16,0,0,16,0,1,390,34,187,11,29,38,2,18,10,1,145,115,10.4
Isaiah King,55037,CB,BUFFALO,9,5,0,51.2,1,1,126,1,0,57.1,62.4,83.8,62.9,79.8,57.6,0,1,0,0,33,16.7,6,3,2,108.8,22,0,0,58,360,251,457,10,0,0,10,0,6,447,8,198,23,5,25,0,43,1,5,261,113,11.9
Chibueze Onwuka,55044,DI,BOSTON COL,12,8,0,,0,0,121,0,0,58.2,73.1,86.4,60.4,78.7,57.6,2,12,0,0,,11.9,5,0,0,0.0,0,1,0,0,0,1,497,497,125,367,0,5,0,0,266,230,0,24,29,5,0,15,0,0,0,
Devonni Reed,55046,S,S CAROLINA,11,11,0,90.5,0,0,289,0,0,43.3,43.8,83.9,54.2,45.8,57.5,0,1,0,0,78,21.1,12,1,1,134.6,19,0,0,171,2,170,373,10,0,0,10,0,150,363,6,197,40,9,34,2,21,1,1,302,198,15.9
Troy Brown,55050,LB,OLE MISS,13,20,1,76.9,0,2,226,0,0,64.2,72.0,0.0,68.1,78.8,83.0,2,9,0,0,46,6.9,7,2,3,108.7,30,0,0,537,0,273,565,8,0,0,8,0,2,557,27,265,16,45,74,4,39,11,1,318,166,10.6
Angelo Howze,55073,ED,AKRON,3,1,0,,0,0,102,0,0,,31.7,74.6,55.2,34.7,25.6,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,1,0,0,11,10,0,0,9,1,0,1,5,6,0,0,0,0,0,0,0,0,0,
Jabari Taylor,55075,ED,CINCINNATI,12,11,3,,0,1,138,1,1,60.0,70.9,71.5,72.0,67.4,28.4,3,26,0,0,,29.7,11,0,1,0.0,0,3,0,1,0,0,606,605,11,109,342,143,0,1,290,316,0,12,15,1,0,32,0,0,0,
