player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Moroni Anae,81437,LB,UTAH,1,0,,,75.0,,,0,0,0,,328,62.3,79.7,71.1,78.1,69.3,73.2,0,,,0,0,0,0.0,0,6,8,0,0,0,0,0,0,0.0,
Brendon Harris,83446,S,MIDDLE TN,2,1,1.0,50.0,100.0,33.0,16.5,0,0,0,0.0,224,72.7,69.9,77.2,,62.0,84.1,0,1,0.0,0,0,0,56.3,1,34,34,2,3,2,0,1,-1,0.0,1.0
Jayden Dunlap,85725,CB,BYU,2,0,,,94.4,,,0,0,0,,128,60.4,65.0,73.5,73.9,60.0,21.8,0,,100.0,1,0,0,0.0,0,17,18,0,0,0,0,0,0,0.0,
Kalib Perry,86267,LB,LOUISVILLE,2,0,4.5,50.0,91.7,19.0,9.5,0,0,0,0.0,210,53.5,59.6,76.3,59.8,66.7,39.4,0,9,50.0,1,0,0,62.5,1,22,24,0,1,2,0,9,4,0.5,9.0
Blake Ruffin,86298,S,LOUISVILLE,1,1,-3.0,100.0,87.5,5.0,5.0,0,0,0,0.0,210,65.3,67.0,74.3,60.0,65.2,76.8,0,7,0.0,0,0,0,95.8,1,7,8,0,0,1,0,7,10,1.4,7.0
Samuel Scaife IV,86521,S,DELWARE ST,1,0,13.0,50.0,100.0,21.5,10.8,0,0,0,0.0,152,52.9,55.0,78.4,,63.1,76.2,0,18,,0,0,0,75.0,2,47,47,0,0,4,0,30,6,0.7,15.0
Jalil Tucker,86578,CB,OREGON ST,2,0,19.2,63.6,100.0,6.4,4.1,0,0,1,9.1,265,59.1,62.1,77.7,,73.3,48.6,1,35,28.6,2,1,0,69.3,7,46,46,1,5,11,0,146,47,3.2,20.9
Ceyair Wright,86877,CB,NEBRASKA,2,0,10.8,25.0,100.0,41.0,10.3,0,0,1,25.0,238,71.0,71.9,78.4,,69.1,,0,4,,0,1,0,39.6,1,46,46,0,0,4,0,4,1,0.1,4.0
David Reese,90079,ED,SYRACUSE,2,0,-3.0,100.0,24.6,6.5,6.5,0,0,0,0.0,304,43.9,68.8,84.0,74.1,72.4,82.9,0,21,0.0,0,0,0,118.8,2,15,61,0,1,2,0,30,36,2.3,15.0
Ose Egbase,90529,ED,UNLV,3,2,,,1.9,,,0,0,0,,325,65.5,58.0,79.9,68.7,39.8,29.0,0,,0.0,0,0,0,0.0,0,1,53,1,1,0,0,0,0,0.0,
Tyrice Ivy Jr.,90783,S,OREGON ST,1,1,6.3,100.0,94.1,5.3,5.3,0,0,0,0.0,265,57.9,64.0,74.3,59.4,72.3,83.4,0,19,0.0,0,0,0,147.9,3,16,17,0,1,3,1,30,11,1.9,10.0
Allen Smith,97148,S,DELWARE ST,1,0,7.0,100.0,96.6,12.5,12.5,1,0,0,0.0,152,63.9,59.1,0.0,60.0,58.0,78.7,0,13,0.0,0,0,1,112.5,2,28,29,1,2,2,0,22,8,0.9,11.0
Solomon Brown,97386,S,BUFFALO,2,1,11.0,50.0,96.6,18.7,9.3,0,0,1,16.7,126,61.2,66.9,79.7,59.8,80.4,61.5,0,15,20.0,2,1,0,67.4,3,57,59,2,7,6,0,34,4,0.6,11.3
Marvae Myers,97517,CB,MARSHALL,2,0,13.9,62.5,97.1,12.6,7.9,0,0,0,0.0,214,59.1,61.4,78.8,56.5,69.7,63.0,1,52,25.0,1,0,0,101.0,5,67,69,1,3,8,2,90,39,1.4,18.0
Jett Elad,97543,S,RUTGERS,2,0,15.4,85.7,97.0,10.3,8.9,0,0,0,0.0,278,45.1,45.6,0.0,58.7,57.4,27.1,0,62,33.3,2,0,1,118.8,6,65,67,1,4,7,0,132,42,2.1,22.0
Mohamed Toure,97751,LB,MIAMI FL,2,0,2.0,75.0,75.8,4.0,3.0,0,0,0,0.0,220,45.4,68.8,79.0,69.1,90.5,70.9,0,15,33.3,1,0,0,90.6,6,25,33,0,2,8,0,50,48,2.1,8.3
Zaylin Wood,97761,DI,VANDERBILT,2,0,,,2.2,,,0,0,0,,333,59.4,57.0,77.6,61.6,54.5,45.7,0,,,0,0,0,0.0,0,1,45,1,0,0,0,0,0,0.0,
Mark Davis,97886,CB,VANDERBILT,2,0,,,100.0,,,0,0,0,,333,65.9,56.9,73.8,,40.1,23.4,0,,100.0,1,0,0,0.0,0,9,9,0,0,0,0,0,0,0.0,
Shammond Cooper,97918,LB,AKRON,2,0,2.3,77.8,93.0,7.4,5.8,0,0,0,0.0,102,65.8,76.2,79.2,63.3,81.6,77.3,0,22,12.5,1,0,0,129.6,7,53,57,5,7,9,1,56,38,1.1,8.0
Richie Hagarty,98121,ED,NWESTERN,2,0,,,3.7,,,0,0,0,,256,60.0,56.5,78.0,52.5,60.6,42.5,0,,,0,0,0,0.0,0,1,27,0,0,0,0,0,0,0.0,
Jalen Catalon,98867,S,MISSOURI,2,0,11.3,75.0,91.8,13.3,10.0,0,0,0,0.0,229,56.2,63.4,77.8,57.3,78.5,85.9,0,25,0.0,0,0,0,116.7,3,45,49,1,4,4,0,52,22,1.3,17.3
Isaiah Gibson Sr.,98952,DI,SO MISS,2,0,,,2.6,,,0,0,0,,296,59.4,68.5,79.1,55.4,75.2,74.9,0,,,0,0,0,0.0,0,1,39,0,0,0,0,0,0,0.0,
Brandon Mack II,99105,ED,HOUSTON,2,0,0.5,100.0,27.3,4.5,4.5,0,0,0,0.0,182,71.4,80.9,0.0,79.3,78.2,80.4,0,4,0.0,0,0,1,81.3,2,9,33,3,1,2,0,7,6,0.8,3.5
Will Jones II,99276,S,N TEXAS,2,0,9.7,33.3,93.8,20.0,6.7,0,0,1,16.7,251,64.1,67.6,78.7,67.6,68.8,85.1,0,15,0.0,0,0,0,47.2,2,45,48,0,2,6,0,25,29,0.6,12.5
Logan Wilson,99280,CB,CINCINNATI,1,0,6.7,66.7,100.0,10.5,7.0,0,1,2,33.3,138,63.6,62.3,77.1,,56.0,43.1,0,15,40.0,2,2,0,91.0,4,42,42,0,3,6,0,48,17,1.1,12.0
Isheem Young,99281,S,MEMPHIS,2,0,,,100.0,,,0,0,0,,218,58.5,57.9,75.5,,57.2,21.6,0,,100.0,1,0,0,0.0,0,18,18,0,0,0,0,0,0,0.0,
Virdel Edwards II,99286,CB,HAWAII,3,0,11.7,66.7,100.0,30.0,20.0,0,0,1,33.3,180,70.3,67.2,78.5,,49.7,29.2,0,29,33.3,1,1,1,104.9,2,62,62,2,2,3,0,34,4,0.6,17.0
Deshawn McCuin,99502,S,S DIEGO ST,2,0,8.7,66.7,97.2,17.0,11.3,0,0,0,0.0,284,67.0,60.8,76.5,59.2,44.7,26.9,0,5,50.0,1,0,0,70.1,2,35,36,1,1,3,0,9,11,0.3,4.5
Cecil Powell,99735,CB,SM HOUSTON,3,1,5.2,66.7,89.9,7.0,4.7,1,1,3,16.7,281,59.9,61.3,84.6,59.7,64.3,64.2,0,48,14.3,2,2,1,88.9,12,89,99,1,11,18,0,135,79,1.6,11.3
Jordan Huff,99745,S,GA STATE,2,0,15.0,100.0,100.0,45.0,45.0,0,0,0,0.0,175,81.5,77.0,77.2,,63.6,59.7,1,16,0.0,0,0,0,79.2,1,47,47,0,4,1,0,16,1,0.4,16.0
Rico Watson III,99809,ED,USF,2,1,2.0,80.0,46.4,6.3,5.0,0,0,0,0.0,327,51.6,66.7,81.5,68.1,77.1,56.9,0,15,33.3,2,0,0,100.8,4,26,56,2,3,5,0,41,34,1.6,10.3
