player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Kenneth Hall,162552,CB,NAVY,1,0,,0,0,237,61.7,62.8,68.7,,60.0,,,0,0,3,3,0.0,0,0
Adam Klenk,162559,ED,NAVY,6,5,4.3,0,0,237,65.6,71.8,83.5,73.9,63.6,65.0,11.1,1,0,40,40,5.0,2,3
Chreign LaFond,162561,ED,NAVY,6,2,0.0,0,0,237,60.0,62.5,79.4,57.4,64.3,54.2,16.7,1,0,33,34,9.1,3,3
Kenneth McShan,162567,S,NAVY,6,0,2.7,0,0,237,62.8,69.8,83.4,80.4,68.9,54.3,22.2,2,0,59,60,8.5,5,7
Tyler Narayan,162571,ED,NAVY,1,0,,0,0,237,,60.9,69.1,60.0,60.0,,,0,0,2,2,0.0,0,0
Luke Pirris,162574,ED,NAVY,6,9,4.8,0,0,237,76.4,68.4,63.2,59.6,66.0,49.9,19.4,6,1,155,156,4.5,7,16
Ian Pourciau,162576,LB,NAVY,2,2,,0,0,237,60.3,61.0,75.6,54.8,63.7,79.0,0.0,0,0,15,15,0.0,0,0
Landon Robinson,162580,DI,NAVY,6,8,1.3,0,0,237,60.0,85.8,84.7,91.0,69.7,71.6,4.5,1,0,166,167,5.4,9,13
Kendall Whiteside,162594,DI,NAVY,6,0,2.5,0,0,237,,59.5,78.9,54.9,62.5,53.6,20.0,1,0,49,50,4.1,2,4
Eddie Kelly Jr.,162609,ED,W VIRGINIA,6,4,1.9,0,0,343,62.6,65.4,83.0,62.8,63.8,61.9,6.7,1,0,97,98,9.3,9,10
Bryce Lambeth,162620,CB,C MICHIGAN,1,0,,0,0,134,61.6,62.5,67.0,,60.0,,,0,0,1,1,0.0,0,0
Antwone Santiago,162623,LB,VA TECH,4,3,2.8,0,0,337,52.5,59.6,79.7,58.0,64.6,62.2,0.0,0,0,28,30,10.7,3,4
NuNu Campbell,162626,CB,TULSA,5,1,2.0,0,0,320,71.2,70.6,75.2,,64.4,57.2,33.3,1,0,36,37,2.8,1,1
Vontroy Malone,162631,ED,IOWA STATE,7,1,2.5,0,0,193,64.8,56.1,77.0,58.1,45.0,57.3,25.0,1,0,24,25,4.2,1,2
Tai Newhouse,162633,DI,TULSA,6,4,2.0,0,0,320,58.2,65.9,81.8,59.2,69.6,58.7,8.3,1,0,106,108,4.7,5,7
Jackson Barker,162638,LB,E CAROLINA,6,5,0.5,0,0,156,71.5,68.4,77.7,50.4,68.3,65.0,12.5,1,0,38,39,2.6,1,2
Preston Carr,162640,DI,E CAROLINA,6,1,3.0,0,0,156,61.7,68.5,82.6,62.8,68.7,79.0,0.0,0,0,82,87,4.9,4,6
CJ Mims,162651,DI,N CAROLINA,5,2,2.7,0,0,245,72.5,75.2,81.7,67.8,70.8,58.3,15.4,2,0,69,71,10.1,7,9
CJ Clinkscales Jr.,162658,CB,CHARLOTTE,6,3,7.7,0,0,136,51.2,59.9,81.7,,83.9,60.9,0.0,0,1,142,143,2.1,3,6
Daveon Crouch,162660,LB,BOSTON COL,3,5,7.6,0,0,121,76.2,69.7,78.5,62.3,60.0,44.7,23.1,3,0,63,67,4.8,3,5
Isaiah Farris,162662,CB,BOSTON COL,6,1,31.3,0,0,121,69.5,67.7,82.1,54.5,57.6,79.5,0.0,0,2,117,120,0.9,1,3
Tim Hays,162669,LB,BOSTON COL,1,0,,0,0,121,60.0,60.6,69.4,59.7,60.0,,,0,0,1,1,0.0,0,0
Kwan Williams,162676,DI,BOSTON COL,5,4,2.0,0,0,121,60.7,72.4,81.9,56.6,77.2,66.9,8.3,1,0,82,86,8.5,7,7
Clive Wilson Jr.,162677,DI,BOSTON COL,4,0,1.5,0,0,121,60.0,81.6,76.2,79.0,72.8,73.6,0.0,0,0,20,20,10.0,2,2
Fletcher Cothran,162682,LB,CLEMSON,2,0,7.0,0,0,140,52.7,46.8,66.5,56.8,62.1,26.7,0.0,0,0,2,2,0.0,0,1
Dawson Andrew,162691,S,DUKE,5,0,1.0,0,0,154,66.0,71.9,71.9,,74.7,80.4,0.0,0,0,17,17,5.9,1,2
Wesley Williams,162704,ED,DUKE,6,3,1.0,0,0,154,63.2,65.7,0.0,68.4,70.0,60.6,11.1,2,5,117,121,11.1,13,13
George Wright,162705,CB,DUKE,1,0,,0,0,154,49.2,49.5,69.3,,60.0,76.2,,0,0,1,1,0.0,0,0
Ben Hollerbach,162712,CB,GA TECH,1,0,,0,0,176,60.0,50.6,70.5,,45.2,21.8,100.0,1,0,5,5,0.0,0,0
Chris Graves Jr.,162733,CB,OLE MISS,6,2,4.5,0,0,226,57.0,58.9,81.2,53.8,67.7,28.0,20.0,1,2,110,112,0.0,0,2
Jaden Harris,162734,CB,GEORGIA,1,0,,0,0,173,50.7,51.6,76.4,59.7,61.4,76.9,,0,0,4,4,0.0,0,0
Ahmad Moten Sr.,162737,DI,MIAMI FL,5,1,1.5,0,0,220,69.4,78.8,81.8,71.8,75.5,50.9,10.0,1,0,82,83,6.1,5,8
Marcus Allen,162743,CB,N CAROLINA,5,1,1.0,1,0,245,57.0,58.9,81.7,59.7,68.1,56.2,0.0,0,3,104,106,1.0,1,2
Will Hardy,162751,S,N CAROLINA,5,6,7.8,0,0,245,57.3,61.9,81.5,58.6,70.0,62.2,14.3,2,0,93,94,3.2,3,6
Tayon Holloway,162754,CB,LOUISVILLE,5,2,7.4,0,0,210,65.1,70.2,82.2,88.8,74.9,81.7,22.2,2,1,129,131,1.6,2,5
Bryson Jennings,162756,ED,LIBERTY,4,0,6.0,0,0,206,70.5,60.5,77.0,53.3,57.0,75.7,0.0,0,0,9,9,0.0,0,1
CJ Murphy,162761,ED,AKRON,2,0,2.0,0,0,102,65.6,72.2,74.4,58.7,62.5,75.2,0.0,0,0,8,8,12.5,1,1
Kyle Louis,162770,LB,PITTSBURGH,6,10,7.0,1,0,268,77.5,74.8,10.0,61.8,78.1,69.3,6.9,2,2,171,176,4.7,8,17
Jimmy Scott,162774,ED,PITTSBURGH,6,3,1.3,0,0,268,62.3,67.6,34.4,68.6,66.2,32.4,33.3,3,2,140,144,2.1,3,3
Venson Sneed,162783,ED,W KENTUCKY,6,1,1.4,0,0,346,58.2,56.3,83.2,58.6,53.8,59.5,10.0,1,0,116,117,3.4,4,8
Perry Fisher,162792,CB,UAB,4,3,9.6,0,0,321,61.3,64.4,82.7,,70.7,57.2,0.0,0,2,103,107,3.9,4,5
Eli Mason,162799,HB,MARYLAND,1,0,,0,0,215,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Daniel Owens,162801,TE,MARYLAND,4,1,2.0,0,0,215,59.4,62.7,76.4,49.7,73.8,54.4,0.0,0,0,24,25,16.7,4,4
Lavain Scruggs,162803,S,MARYLAND,6,3,5.0,0,0,215,60.7,66.8,81.5,54.7,79.1,77.5,12.5,2,0,104,105,3.8,4,11
Lionell Whitaker,162806,CB,COAST CAR,6,0,14.0,0,0,141,54.5,57.3,81.8,,65.6,84.9,0.0,0,1,110,112,0.9,1,5
Kellan Wyatt,162807,ED,INDIANA,6,4,3.5,0,0,190,66.3,76.0,84.3,67.3,78.2,74.2,5.9,1,0,82,82,11.0,9,12
Nico Andrighetto,162808,S,MICHIGAN,1,0,0.0,0,0,222,60.0,74.9,69.0,64.5,62.5,74.3,0.0,0,0,2,2,50.0,1,1
Chibi Anwunah,162809,DI,MICHIGAN,2,0,,0,0,222,,69.7,71.9,64.3,66.7,,,0,0,8,8,0.0,0,0
Zeke Berry,162810,CB,MICHIGAN,4,1,27.0,0,0,222,71.3,73.0,81.5,60.3,72.6,52.3,0.0,0,0,92,92,0.0,0,2
Micah Pollard,162824,LB,LIBERTY,1,0,,0,0,206,61.8,63.9,69.7,,60.0,,,0,0,1,1,0.0,0,0
Jimmy Rolder,162825,LB,MICHIGAN,6,9,2.6,0,0,222,52.5,64.2,83.2,58.2,76.4,82.5,9.1,2,0,113,113,7.1,8,11
Deuce Spurlock,162826,LB,LIBERTY,5,3,3.8,0,0,206,54.4,58.1,77.0,59.0,62.3,51.6,18.2,2,0,37,37,8.1,3,6
Dylan Parrott,162834,DI,NEBRASKA,2,1,2.0,0,0,238,,73.5,72.4,58.3,73.4,73.6,0.0,0,0,10,10,10.0,1,2
Braydon Brus,162836,LB,NWESTERN,6,4,3.4,0,0,256,40.7,51.9,81.7,63.7,62.9,33.3,22.6,7,1,152,153,8.6,13,20
Robert Fitzgerald,162839,S,NWESTERN,6,8,5.0,0,0,256,57.0,65.0,84.8,53.8,77.4,62.4,14.0,6,0,152,153,12.5,19,29
Brendan Flakes,162840,DI,NWESTERN,6,1,4.6,0,0,256,60.0,61.1,79.9,61.9,58.9,26.5,40.0,4,0,80,80,2.5,2,5
Jason Reynolds II,162849,LB,NWESTERN,1,0,,0,0,256,,62.7,72.1,60.0,61.7,,,0,0,5,5,0.0,0,0
Anto Saka,162850,ED,NWESTERN,5,0,7.5,0,0,256,60.8,69.6,30.6,77.3,58.9,53.2,33.3,1,1,49,50,2.0,1,2
Evan Smith,162851,CB,NWESTERN,4,1,,0,0,256,68.5,70.5,76.0,,70.4,78.2,0.0,0,0,17,17,0.0,0,0
Kenny Soares Jr.,162852,LB,NC STATE,7,2,3.1,1,0,248,58.7,67.4,0.0,70.7,78.3,66.6,5.6,1,5,99,100,12.1,12,15
Braden Turner,162854,CB,NWESTERN,6,2,4.0,0,0,256,71.6,69.9,83.1,55.1,63.2,64.8,18.2,2,0,85,85,5.9,5,7
Kenyatta Jackson Jr.,162868,ED,OHIO STATE,6,2,-2.0,0,0,260,63.3,69.8,47.6,67.3,70.8,36.8,42.9,3,1,73,73,2.7,2,2
Hero Kanu,162870,DI,TEXAS,6,5,2.0,0,0,311,55.5,79.4,81.2,71.4,81.9,56.6,11.8,2,0,78,82,10.3,8,10
Sonny Styles,162876,LB,OHIO STATE,6,2,3.6,0,0,260,74.9,78.8,84.9,65.2,81.2,90.9,0.0,0,0,113,113,12.4,14,21
Hudson Miller,162887,LB,TOLEDO,6,1,4.0,0,0,316,60.5,77.3,75.6,66.7,82.9,81.6,0.0,0,0,27,28,3.7,1,2
Domanick Moon,162888,LB,W MICHIGAN,4,1,5.0,0,0,347,87.6,90.8,74.0,72.8,79.3,82.4,0.0,0,0,20,20,10.0,2,4
Roman Pitre,162890,ED,ARIZONA ST,4,0,18.0,0,0,110,60.0,59.4,78.8,59.1,58.4,29.9,0.0,0,0,20,20,0.0,0,1
Dariel Djabome,162903,LB,RUTGERS,6,3,3.1,0,1,278,55.8,65.2,84.0,62.6,72.8,76.0,10.5,2,0,127,129,6.3,8,14
Timmy Hinspeter,162906,LB,UMASS,6,20,4.4,0,1,216,59.2,76.4,83.4,79.3,84.1,84.2,8.2,4,0,154,156,9.1,14,25
Sebastian Jusma,162907,CB,RUTGERS,3,0,,0,0,278,62.4,63.7,76.0,,61.7,,,0,0,12,13,0.0,0,0
Fitzroy Ledgister,162908,CB,W MICHIGAN,3,0,,0,0,347,44.3,44.3,70.4,,60.1,74.2,,0,0,7,7,0.0,0,0
David Onuoha,162913,ED,UMASS,6,5,5.2,0,0,216,70.6,73.0,53.9,69.9,70.4,59.8,12.5,2,1,103,105,6.8,7,9
Jordan Walker,162919,ED,RUTGERS,6,3,4.0,0,0,278,78.6,62.3,18.1,62.1,59.4,85.2,0.0,0,2,81,82,7.4,6,10
Zilan Williams,162922,LB,RUTGERS,2,0,5.0,0,0,278,60.0,64.0,72.3,,62.4,72.2,0.0,0,0,6,6,0.0,0,1
Micah Wing,162923,ED,BALL ST,5,2,5.4,0,0,117,58.1,62.3,85.1,62.9,60.4,73.5,10.0,1,0,60,60,6.7,4,7
Alexander Kocher,162934,ED,FAU,1,0,1.0,0,0,165,,69.1,69.8,60.0,65.6,71.1,0.0,0,0,3,3,33.3,1,1
Jamarrion Solomon,162949,DI,CHARLOTTE,5,0,1.0,0,0,136,68.4,65.8,80.9,55.0,67.7,79.0,0.0,0,0,79,80,7.6,6,7
Joseph Auzenne,162951,DI,TEMPLE,6,2,1.3,0,0,306,69.0,64.5,81.5,56.8,64.5,76.6,0.0,0,0,68,68,2.9,2,3
Joshua Cobbs,162955,S,LA TECH,6,1,20.5,0,0,208,58.9,58.9,80.8,,58.2,53.1,25.0,1,1,47,49,0.0,0,2
Zion Nason,162962,DI,LA TECH,6,2,1.0,0,0,208,59.4,59.9,83.7,57.1,60.7,58.3,0.0,0,0,73,79,8.2,6,6
Jhamal Shelby Jr.,162966,CB,LA TECH,6,4,,0,0,208,70.3,69.7,84.0,57.6,63.4,53.3,33.3,2,2,124,130,0.0,0,0
Muaaz Byard,162971,LB,MIDDLE TN,6,5,5.4,0,0,224,53.3,49.8,79.6,56.9,47.9,47.1,19.2,5,0,137,139,5.1,7,16
Trevon Ferrell,162973,CB,MIDDLE TN,1,1,,0,0,224,66.6,62.7,0.0,,65.1,73.1,0.0,0,1,18,19,0.0,0,0
