player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Damon Payne,146611,DI,MICHIGAN,9,1,1,222,61.7,0,2,113,100.0,6.2,7,1,0.9,0,121,121,2,1,61.7,0,1,29,100.0,10.3,3,1.7,0,31,31,1
Anquin Barnes Jr.,146615,DI,COLORADO,9,0,0,143,65.3,1,2,88,100.0,6.8,6,4,1.7,0,94,94,3,0,72.8,1,1,34,100.0,11.8,4,2.9,0,36,36,2
Monkell Goodwine,146616,DI,S CAROLINA,9,1,0,289,61.8,1,9,188,99.5,5.9,11,0,2.7,0,198,197,10,0,61.2,1,8,76,100.0,9.2,7,5.9,0,78,78,9
Tim Keenan III,146617,DI,ALABAMA,6,0,0,103,60.4,0,3,93,100.0,2.2,2,0,2.7,1,102,102,4,0,65.8,0,2,24,100.0,8.3,2,4.2,0,28,28,2
Cameron Ball,146644,DI,ARKANSAS,8,0,0,111,65.9,3,14,214,100.0,8.9,19,0,4.0,0,234,234,17,0,60.0,2,5,76,100.0,7.9,6,4.6,0,88,88,7
Ahmari Harvey,146674,CB,GA TECH,6,0,0,176,62.1,1,0,4,2.4,0.0,0,1,12.5,0,167,4,1,0,66.6,1,0,2,3.2,0.0,0,25.0,0,63,2,1
Lee Hunter,146676,DI,TEXAS TECH,10,0,1,315,74.0,2,19,224,100.0,12.1,27,2,6.0,3,239,239,24,0,82.6,1,9,74,100.0,21.6,16,10.8,3,84,84,13
Ian Mathews,146679,ED,GA STATE,9,2,0,175,60.0,1,4,105,100.0,3.8,4,1,2.4,0,113,113,5,0,60.0,0,1,26,100.0,7.7,2,1.9,0,30,30,1
Scooby Williams,146701,LB,TEXAS A&M,6,0,0,312,90.5,0,2,16,20.7,6.3,1,0,12.5,1,92,19,3,0,95.5,0,2,5,16.1,20.0,1,40.0,1,31,5,3
Jordan Young,146705,CB,ARKANSAS,9,0,0,111,46.9,1,2,6,3.2,0.0,0,3,25.0,0,186,6,3,0,57.5,1,0,2,2.4,0.0,0,25.0,0,83,2,1
Chief Borders,146707,ED,UNLV,9,0,1,325,67.8,6,15,222,96.7,9.0,20,2,4.7,0,246,238,21,0,71.6,1,9,77,98.9,15.6,12,6.5,0,88,87,10
Chris Thomas,146708,DI,SYRACUSE,10,0,0,304,60.3,1,2,43,97.8,7.0,3,0,3.5,0,45,44,3,0,63.4,0,1,14,100.0,14.3,2,3.6,0,15,15,1
Justus Boone,146709,ED,ARKANSAS,9,0,0,111,56.7,2,7,165,97.3,5.5,9,1,3.3,1,185,180,10,0,56.4,2,5,60,97.2,8.3,5,5.8,0,71,69,7
Nyland Green,146720,CB,ARIZONA ST,3,0,0,110,69.9,1,0,2,7.7,0.0,0,0,25.0,0,26,2,1,0,65.4,1,0,1,14.3,0.0,0,50.0,0,7,1,1
