player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Malcolm Hartzog Jr.,156462,CB,NEBRASKA,1,26,13.0,8.7,238,0,85.4,2,3,0,20,15,0.77
Tracy Revels,173374,S,BOWL GREEN,1,13,13.0,6.5,122,0,56.3,1,2,0,4,5,0.31
Cam Miller,164178,CB,PENN STATE,1,13,13.0,3.3,266,0,39.6,1,4,0,9,2,0.69
DaShawn Stone,170060,S,DUKE,1,13,13.0,13.0,154,0,118.8,1,1,0,13,6,1.0
Jakob Robinson,128395,CB,BYU,1,26,13.0,13.0,128,0,79.2,2,2,0,3,0,0.12
Wesley Bissainthe,156341,LB,MIAMI FL,1,13,13.0,13.0,220,0,143.8,1,1,1,9,0,0.69
Kajuan Banks,158125,CB,USF,1,24,12.0,6.0,327,0,95.8,2,4,1,9,1,0.38
Marvin Ham II,100461,LB,ARK STATE,1,12,12.0,3.0,113,0,41.7,1,4,0,14,12,1.17
Johnathan Baldwin,146214,CB,UNLV,1,35,11.7,7.0,325,0,77.9,3,5,0,31,7,0.89
Shamar Hawkins,72496,S,JACKSON ST,1,35,11.7,5.8,194,0,56.3,3,6,0,8,-1,0.23
Rayuan Lane III,144326,S,NAVY,1,11,11.0,3.7,237,0,42.4,1,3,0,7,1,0.64
Shaquan Loyal,145143,S,RUTGERS,1,11,11.0,5.5,278,0,56.3,1,2,0,3,3,0.27
Nick Jackson,98640,LB,IOWA,1,11,11.0,11.0,192,0,87.5,1,1,0,5,1,0.45
Mbiti Williams Jr.,144352,S,NAVY,1,10,10.0,5.0,237,0,62.5,1,2,0,9,4,0.9
Jordan Polk,160091,S,TEXAS ST,1,30,10.0,7.5,314,0,116.7,3,4,0,54,19,1.8
Jaden Voisin,97506,S,S ALABAMA,1,10,10.0,10.0,288,0,87.5,1,1,0,5,1,0.5
D'Marco Augustin,105925,S,USF,1,10,10.0,10.0,327,0,95.8,1,1,0,7,2,0.7
DJ Walker,171364,S,OHIO,1,10,10.0,10.0,259,0,118.8,1,1,0,15,9,1.5
Ayden Hector,131933,CB,COLO STATE,1,10,10.0,10.0,144,0,118.8,1,1,0,17,11,1.7
Tavin Ward,156214,S,USF,1,10,10.0,3.3,327,0,42.4,1,3,0,3,0,0.3
Amarion Fortenberry,184339,CB,S ALABAMA,1,10,10.0,2.5,288,0,42.7,1,4,0,15,2,1.5
Michael Taaffe,144732,S,TEXAS,1,10,10.0,5.0,311,0,70.8,1,2,0,13,8,1.3
Ibn McDaniels,197075,CB,SYRACUSE,1,10,10.0,5.0,304,0,56.3,1,2,0,-3,0,-0.3
Jaylen Reed,145100,S,PENN STATE,1,10,10.0,5.0,266,0,64.6,1,2,0,10,6,1.0
Caleb Downs,172375,S,OHIO STATE,1,10,10.0,10.0,260,0,83.3,1,1,0,4,10,0.4
Matt Salopek,97704,LB,MIAMI OH,1,10,10.0,3.3,221,0,42.4,1,3,0,9,13,0.9
Jordan Clark,97324,CB,NOTRE DAME,1,28,9.3,7.0,258,0,102.1,3,4,0,36,10,1.29
Kaj Sanders,184665,S,RUTGERS,1,9,9.0,9.0,278,0,158.3,1,1,1,13,5,1.44
Zavier Mincey,184541,S,ALABAMA,1,9,9.0,4.5,103,0,58.3,1,2,0,7,1,0.78
John Saunders Jr.,130527,S,OLE MISS,1,18,9.0,3.6,226,0,110.8,2,5,1,43,4,2.39
Kendrick Simpkins,123466,S,BAYLOR,1,9,9.0,4.5,118,0,72.9,1,2,0,14,18,1.56
Kekoura Tarnue,170438,S,W VIRGINIA,1,9,9.0,4.5,343,0,56.3,1,2,0,4,5,0.44
DeShon Singleton,156476,S,NEBRASKA,1,9,9.0,4.5,238,0,56.3,1,2,0,5,1,0.56
Javien Toviano,172497,S,LSU,1,17,8.5,2.1,211,0,49.5,2,8,0,43,9,2.53
Ta'Shawn James,174672,S,IOWA STATE,1,17,8.5,4.3,193,0,95.8,2,4,1,8,0,0.47
Isiah Revis,174881,S,S JOSE ST,1,8,8.0,8.0,285,0,79.2,1,1,0,3,6,0.38
Jordan Pollard,157845,LB,S JOSE ST,1,8,8.0,4.0,285,0,64.6,1,2,0,10,17,1.25
Brenden Jordan,133060,S,TEXAS TECH,1,8,8.0,2.0,315,0,39.6,1,4,0,12,6,1.5
Terrence Spence,143073,CB,JAMES MAD,1,8,8.0,4.0,197,0,56.3,1,2,0,6,0,0.75
Travis Hunter,160766,CB,COLORADO,1,16,8.0,4.0,143,0,66.7,2,4,0,22,17,1.38
Carl Williams IV,174651,CB,BAYLOR,1,8,8.0,8.0,118,0,91.7,1,1,0,6,1,0.75
Chance Keith,147333,S,ARMY,1,16,8.0,5.3,114,0,109.7,2,3,0,40,24,2.5
Adon Shuler,171098,S,NOTRE DAME,1,8,8.0,4.0,258,0,87.5,1,2,0,21,14,2.63
Kadin Schmitz,171359,LB,OHIO,1,8,8.0,2.7,259,0,42.4,1,3,0,8,7,1.0
Kerry Brown,173399,S,MINNESOTA,1,8,8.0,4.0,225,0,89.6,1,2,0,22,0,2.75
Mishael Powell,100390,S,MIAMI FL,1,23,7.7,5.8,220,0,86.5,3,4,0,21,6,0.91
Davhon Keys,184459,LB,LSU,1,15,7.5,7.5,211,0,122.9,2,2,1,8,15,0.53
Jeremiah Cooper,157608,S,IOWA STATE,1,15,7.5,5.0,193,0,78.5,2,3,0,15,11,1.0
Jalon Kilgore,174323,CB,S CAROLINA,1,15,7.5,5.0,289,1,70.1,2,3,0,70,46,4.67
Jack Howell,146020,S,COLO STATE,1,7,7.0,3.5,144,0,89.6,1,2,0,22,12,3.14
Myles Purchase,144548,CB,IOWA STATE,1,7,7.0,2.3,193,0,42.4,1,3,0,9,0,1.29
Jeffrey Bassa,146552,LB,OREGON,1,7,7.0,7.0,264,0,118.8,1,1,0,18,23,2.57
Jordan Shaw,175991,CB,WASHINGTON,1,7,7.0,7.0,340,0,83.3,1,1,0,4,2,0.57
Anthony Hill Jr.,173158,LB,TEXAS,1,7,7.0,7.0,311,0,100.0,1,1,0,8,13,1.14
